 56 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 9 ; Продано в зале ; 4400 
 57 ; 25 копеек ; 1860 ; СПБ ФБ ; Ag ; VF-XF ; 26 ; ksv11 ; 4794 
 58 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 20 ; Продано в зале ; 3600 
 59 ; 25 копеек ; 1880 ; СПБ НФ ; Ag ; XF ; 15 ; verunk1 ; 7000 
 60 ; 25 копеек ; 1893 ; (АГ) АГ ; Ag ; VF-XF ; 22 ; int1965708 ; 14280 
 61 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; AU ; 20 ; Продано в зале ; 20000 
 62 ; 25 копеек ; 1895 ; АГ ; Ag ; XF/AU ; 22 ; verunk1 ; 6888 
 63 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 24 ; Продано в зале ; 6200 
 64 ; 25 копеек ; 1900 ; АГ ; Ag ; VF+ ; 20 ; ksv11 ; 14209 
 65 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF- ; 4 ; Продано в зале ; 1300 
 66 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 30 ; verunk1 ; 4080 
 67 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 10 ; Продано в зале ; 1500 
 68 ; 20 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 18 ; Продано в зале ; 1500 
 69 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 12 ; Продано в зале ; 2600 
 70 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 9 ; verunk1 ; 2000 
 71 ; 15 копеек ; 1785 ; СПБ ; Ag ; VF+ ; 39 ; Sky2 ; 4261 
 72 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 27 ; verunk1 ; 4000 
 73 ; 15 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 19 ; нумизмат ; 1700 
 74 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 21 ; verunk1 ; 5001 
 75 ; Гривна ; 1735 ;  ; Ag ; VF- ; 36 ; UFO ; 25470 
 76 ; Гривенник ; 1747 ;  ; Ag ; XF ; 29 ; serg2010 ; 8222 
 77 ; 10 копеек ; 1813 ; СПБ ПС ; Ag ; XF- ; 68 ; UFO ; 2009 
 78 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; VF+ ; 24 ; serg2010 ; 6120 
 79 ; 10 копеек ; 1839 ; СПБ НГ ; Ag ; XF- ; 18 ; Продано в зале ; 1600 
 80 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 19 ; Продано в зале ; 4600 
 81 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 9 ; Продано в зале ; 1100 
 82 ; 10 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 14 ; Горюн ; 3060 
 83 ; 10 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 17 ; Эфес ; 1486 
 84 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; XF/AU ; 23 ; СВИ ; 17340 
 85 ; 5 копеек ; 1820 ; СПБ ПД ; Ag ; AU/XF ; 17 ; verunk1 ; 3401 
 86 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF+ ; 8 ; Продано в зале ; 1700 
 87 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 38 ; Продано в зале ; 5500 
 88 ; 5 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 20 ; 439 ; 6122 
