 6644 ; Альбом для фотографий. Девушки. Вьетнам 1958 г. ;  ;  ;  ;  ; 50 ; Sky2 ; 275 
 6645 ; Ежедневник с записями. Издательство Отто Кирхеръ. Санкт-Петербург. 1914 г. ;  ;  ;  ;  ; 26 ; Sk-masshtab ; 102 
 6646 ; Карманное издание В.Шекспиръ. Король Ричардъ Третiй. 1914г. ;  ;  ;  ;  ; 11 ; vorgarik ; 141 
 6647 ; Альбом Царство растений и минералов. ;  ;  ;  ;  ; 47 ; alapabula ; 2550 
 6648 ; Сочинения Императрицы Екатерины II. Издание А.Ф. Маркса. Санкт-Петербург, 1893 г. ;  ;  ;  ;  ; 43 ; Sky2 ; 2360 
 6649 ; Сочинения И.С. Тургенева. Том 4. Издание А.Ф. Маркса. Санкт-Петербург 1898 г. ;  ;  ;  ;  ; 25 ; rss-78 ; 310 
 6650 ; Собрание стихотворений Н.А. Некрасова ;  ;  ;  ;  ; 11 ; yuri.gruzdev ; 221 
 6651 ; Лот книг до 1914 года, 4 шт. ;  ;  ;  ;  ; 23 ; lavist ; 1210 
 6652 ; Походный набор столовых приборов 3 шт ;  ;  ;  ;  ; 49 ; ulf ; 1241 
 6653 ; Связка ключей 10 шт. ;  ;  ;  ;  ; 5 ; alapabula ; 235 
 6654 ; Ваза Индия ;  ;  ; Ж/м ;  ; 75 ; chet ; 1299 
 6655 ; Модель. Москвич 408. Herpa. Масштаб 1/87. Германия. Из коробки не вынималась ; 1990-е гг ;  ;  ;  ; 40 ; fish77 ; 548 
 6656 ; Модель. Ауди кабрио. Rietze. Германия ; 1980-е гг ;  ;  ;  ; 29 ; kadja20083 ; 459 
 6549 ; Скульптура Иннокентия Жукова на почтовых карточках. Санкт-Петербург 2005г ;  ;  ;  ;  ; 5 ; cr5400 ; 34 
 6550 ; Н.В. Ивочкин. Возникновение бумажно-денежного обращения в Китае Эпохи Тан и Сун. Издательство: "НАУКА". Москва 1990 ;  ;  ;  ;  ; 107 ; прохожий ; 908 
 6551 ; Оптовый лот. 72 книги (коробка). Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 22 ; всёмоё ; 5099 
