 52 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 24 ; Участник № 392 ; 19000 
 53 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; XF+ ; 25 ; Участник № 392 ; 19000 
 54 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 27 ; Участник № 51 ; 8500 
 55 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; VF-XF ; 28 ; Участник № 147 ; 15000 
 56 ; 5 копеек (Петров-5р, Ильин-1р) ; 1780 ; КМ "Сибирь" ; Cu ; VF ; 10 ; Участник № 148 ; 8000 
 57 ; 5 копеек ; 1782 ; КМ ; Cu ; VF-XF ; 16 ; Участник № 392 ; 2600 
 58 ; Полуполтинник (Петров-1р) ; 1785 ; СПБ ЯА ; Ag ; VF+ ; 39 ; Участник № 1556 ; 5500 
 59 ; Рубль ; 1786 ; СПБ ЯА TI ; Ag ; XF+ ; 27 ; Участник № 51 ; 24000 
 60 ; 15 копеек ; 1787 ; СПБ ; Ag ; XF ; 53 ; dimon46 ; 5100 
 61 ; 5 копеек (Ильин-5р) ; 1788 ; ЕМ ; Cu ; VF+ ; 28 ; Участник № 148 ; 9000 
 62 ; 5 копеек (Петров-10р, Ильин-10р) ; 1788 ; ММ ; Cu ; F-VF ; 37 ; finger ; 25471 
 63 ; 5 копеек ; 1790 ; ЕМ ; Cu ; XF ; 67 ; 100924 ; 908 
 64 ; Копейка ; 1790 ; ЕМ ; Cu ; VF+ ; 52 ; Iova ; 1020 
 65 ; 5 копеек ; 1791 ; ЕМ ; Cu ; XF- ; 9 ; grec ; 375 
 66 ; 5 копеек ; 1791 ; АМ ; Cu ; XF- ; 11 ; Участник № 148 ; 1200 
 67 ; 5 копеек ; 1791 ; КМ ; Cu ; XF- ; 29 ; vvt ; 4533 
 68 ; 5 копеек ; 1794 ; КМ ; Cu ; VF-XF ; 32 ; Участник № 18 ; 3600 
 69 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF-XF ; 28 ; Участник № 148 ; 13000 
 70 ; 2 копейки ; 1797 ;  ; Cu ; VF- ; 33 ; SSK ; 4050 
 71 ; 2 копейки ; 1797 ; ЕМ ; Cu ; VF-XF ; 26 ; 55=55 ; 2002 
 72 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF- ; 30 ; Участник № 1739 ; 4200 
 73 ; 5 копеек (Ильин-3р) ; 1803 ; ЕМ ; Cu ; F-VF ; 13 ; Участник № 1556 ; 4200 
 74 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF- ; 13 ; SSK ; 2750 
 75 ; 5 копеек ; 1804 ; КМ ; Cu ; VF- ; 23 ; Участник № 1556 ; 3800 
 76 ; 5 копеек (Петров-2,5р, Ильин-2р) ; 1806 ; КМ ; Cu ; XF- ; 46 ; Участник № 148 ; 10000 
 77 ; 10 копеек ; 1811 ; СПБ ФГ ; Ag ; XF+ ; 63 ; deasd ; 3825 
 78 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF+ ; 28 ; SSK ; 922 
 79 ; 5 копеек ; 1813 ; СПБ ПС ; Ag ; AU/XF ; 16 ; toto ; 828 
 80 ; Полтина ; 1814 ; СПБ МФ ; Ag ; VF+ ; 21 ; TDN ; 3787 
 81 ; Рубль. Аверс/Реверс 20 градусов ; 1818 ; СПБ ПС ; Ag ; VF-XF ; 19 ; toto ; 2607 
 82 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; VF+ ; 20 ; dimon46 ; 1438 
 83 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; XF+ ; 4 ; Участник № 51 ; 850 
 84 ; Полтина ; 1829 ; СПБ НГ ; Ag ; VF+ ; 34 ; TDN ; 7242 
 85 ; Двойной абаз ; 1829 ; АТ Грузия ; Ag ; VF ; 36 ; Sky2 ; 5400 
 86 ; Рубль ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 32 ; Участник № 1739 ; 6500 
 87 ; Рубль ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 26 ; denizen ; 6301 
 88 ; 1 злотый ; 1831 ; KG Польша ; Ag ; VF+ ; 64 ; sg1945 ; 4590 
 89 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 22 ; art67 ; 2754 
 90 ; 10 копеек ; 1834 ; ЕМ ФХ ; Cu ; VF+ ; 12 ; Участник № 1739 ; 4400 
 91 ; 5 копеек ; 1836 ; СПБ НГ ; Ag ; AU/XF ; 22 ; Участник № 147 ; 1600 
 92 ; 10 копеек ; 1836 ; ЕМ ФХ ; Cu ; VF ; 26 ; ААФ ; 1658 
 93 ; 20 копеек ; 1837 ; СПБ НГ ; Ag ; AU ; 21 ; vvt ; 7142 
 94 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 20 ; Участник № 1461 ; 2600 
 95 ; Копейка ; 1840 ; Новодел ; Cu ; Unc/AU ; 23 ; Участник № 51 ; 16000 
 96 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; VF+ ; 26 ; Iova ; 506 
 97 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 23 ; elac ; 7357 
 98 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF- ; 69 ; bazis ; 5327 
 99 ; Полтина ; 1845 ; СПБ КБ ; Ag ; VF-XF ; 22 ; Участник № 1389 ; 4200 
 100 ; Рубль ; 1846 ; СПБ ПА ; Ag ; AU ; 79 ; Участник № 392 ; 12500 
 1 ; Алтын ; 1704 ; БК ; Ag ; VF+ ; 41 ; lvd ; 10000 
 2 ; Копейка ; 1714 ; НД ; Cu ; VF ; 19 ; TDN ; 917 
 3 ; Рубль (Петров-4р) ; 1721 ;  ; Ag ; VF ; 49 ; Ч.С. ; 40100 
 4 ; 5 копеек ; 1723 ; Дата снизу вверх ; Cu ; F-VF ; 52 ; Iova ; 7650 
 5 ; Рубль (Петров-5р) ; 1724 ; ОК ; Ag ; VF-XF ; 62 ; Участник № 1461 ; 34000 
 6 ; Рубль (Петров-10р) ; 1725 ;  ; Ag ; VF- ; 23 ; TDN ; 24140 
 7 ; Рубль. Возможно ремонт 12 часов ; 1726 ;  ; Ag ; VF+ ; 28 ; int1965708 ; 42942 
 8 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF+ ; 73 ; vvt ; 3621 
 9 ; Копейка. В капсуле NGC ; 1728 ;  ; Cu ; XF 45 ; 51 ; finger ; 14282 
 10 ; Рубль ; 1729 ;  ; Ag ; XF- ; 37 ; Участник № 66 ; 82000 
 11 ; Рубль. Большая голова ; 1731 ;  ; Ag ; VF ; 35 ; finger ; 30602 
 12 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 30 ; Ohotnik ; 14461 
 13 ; Рубль ; 1733 ;  ; Ag ; XF+ ; 35 ; Участник № 51 ; 40000 
 14 ; Полтина (Петров-3р) ; 1733 ;  ; Ag ; VF+ ; 20 ; finger ; 26000 
 15 ; Полтина ; 1735 ;  ; Ag ; VF ; 29 ; TDN ; 20402 
 16 ; Рубль ; 1742 ; СПБ ; Ag ; VF/VF+ ; 22 ; serg2010 ; 11220 
