 6715 ; Пуговица ;  ;  ; Ж/м ;  ; 10 ; ОВМ ; 99 
 6716 ; Пуговица ;  ;  ; Ж/м ;  ; 6 ; 2184421 ; 34 
 6617 ; Чайная ложка Лев, серебро. ;  ;  ; Ag875 ;  ; 87 ; 1023oxana ; 1234 
 6618 ; Чайная ложка Роза серебро ;  ;  ; Ag925 ;  ; 47 ; 1023oxana ; 941 
 6619 ; Чайная ложка Mallorca серебро ;  ;  ; Ag915 ;  ; 41 ; Alexdav ; 617 
 6620 ; Блюдце розы. ;  ;  ; Ж/м ;  ; 76 ; russich ; 173 
 6621 ; Тарелка средняя. ;  ;  ; Ж/м ;  ; 75 ; rem. ; 181 
 6622 ; Тарелка большая. ;  ;  ; Ж/м ;  ; 42 ; Ricky Spanish ; 99 
 6623 ; Конфетница? ;  ;  ; Ж/м ;  ; 6 ; kygeCHuk ; 26 
 6624 ; Кулон ;  ;  ;  ;  ; 63 ; von_Schwarz ; 357 
 6625 ; Кокарда ;  ;  ; Ж/м ;  ; 15 ; Vladzers ; 1090 
 6626 ; Колокольчик КУПИ НЕСКУПИСЬ ЕЗДИ ВЕСЕЛИСЬ ;  ;  ; Ж/м ;  ; 17 ; пмт79 ; 1325 
 6627 ; Лот колокольчиков 4 шт. ;  ;  ; Ж/м ;  ; 13 ; pollipol ; 160 
 6628 ; Замок IDAM. Германия ;  ;  ; Ж/м ;  ; 22 ; Oleg72 ; 69 
 6629 ; Ключи 2 шт. ;  ;  ; Ж/м ;  ; 18 ; фрегат ; 274 
 6630 ; Печать для сургуча Е.Е. ;  ;  ; Ж/м ;  ; 31 ; evgen 66 ; 541 
 6631 ; Спортивный кубок - I приз. Финляндия ;  ;  ; Ж/м ;  ; 17 ; Asandr ; 51 
 6632 ; Спортивный кубок - III приз. Финляндия ;  ;  ; Ж/м ;  ; 17 ; Asandr ; 62 
 6633 ; Губная гармошка Koh-i-Noor. Германия ;  ;  ;  ;  ; 58 ; ВЕПРЬ ; 910 
 6634 ; Вилки 2шт Завод им.Сталина г.Павлов ;  ;  ; Ж/м ;  ; 21 ; miha5855 ; 159 
 6635 ; Печать Госприемка. СССР ;  ;  ;  ;  ; 28 ; teddy300178 ; 918 
 6636 ; Кронциркуль SCHUCHARDT&SCHUTTE. Германия ;  ;  ;  ;  ; 25 ; Meshok ; 1022 
 6637 ; Нож пуукко в чехле. Финляндия ;  ;  ; Ж/м ;  ; 77 ; Meshok ; 2464 
 6638 ; Лот предметов 3 шт. Финляндия ;  ;  ;  ;  ; 40 ; ОПА ЭТО Я ; 368 
 6639 ; Комплект предметов для пионера. ;  ;  ;  ;  ; 15 ; alapabula ; 499 
 6640 ; Пионерская пряжка от ремня ;  ;  ; Ж/м ;  ; 7 ; ОПА ЭТО Я ; 113 
 6641 ; Пепельница? Европа ;  ;  ; Ж/м ;  ; 5 ; Ricky Spanish ; 14 
 6642 ; Бюст Ленина ЛФЗ. ;  ;  ;  ;  ; 25 ; teddy300178 ; 922 
 6643 ; Статуэтка фарфоровая Бульдог, ЛФЗ. ;  ;  ;  ;  ; 53 ; Vova1950 ; 920 
 6644 ; Статуэтка фарфоровая Колли, ЛФЗ ;  ;  ;  ;  ; 44 ; arsenich-s ; 794 
 6645 ; Статуэтка фарфоровая Мальчик, ЛФЗ ;  ;  ;  ;  ; 43 ; arsenich-s ; 2527 
 6646 ; Тарелка сувенирная 1978. Дания ;  ;  ;  ;  ; 20 ; Антип Водогон ; 793 
 6647 ; Тарелка сувенирная 1977. Дания ;  ;  ;  ;  ; 16 ; Антип Водогон ; 680 
 6648 ; Тарелка сувенирная Gronland. Дания ;  ;  ;  ;  ; 24 ; lenohota ; 1043 
 6649 ; Тарелка сувенирная Девушка. Дания ;  ;  ;  ;  ; 7 ; lenohota ; 426 
 6650 ; Блюдце фарфор 2 шт. Германия .1940-е ;  ;  ;  ;  ; 66 ; варяг42 ; 1411 
 6651 ; Русско-немецкий разговорник для бойца и младшего командира 1941г. ;  ;  ;  ;  ; 65 ; Moryak ; 2866 
 6652 ; Санкт-Петербург в старых фотографиях. Издательство Лики России Санкт-Петербург 2013 год. ;  ;  ;  ;  ; 56 ; sm-dc ; 2244 
 6653 ; Основы марксиссткой философии.. Учебник. Москва 1963 год. ;  ;  ;  ;  ; 30 ; sm-dc ; 68 
 6654 ; История Компартии Советского Союза. ;  ;  ;  ;  ; 19 ; sm-dc ; 107 
 6655 ; Полное собрание сочинений Ант.П. Чехова. Издание А.Ф. Маркса Санкт-Петербург 1903 год ;  ;  ;  ;  ; 21 ; ОВМ ; 1259 
 6656 ; Полное собрание сочинений Н.С. Лъскова. Издание А.Ф. Маркса 1903 год. ;  ;  ;  ;  ; 12 ; R_o_m_a_n ; 636 
 6657 ; Полное собрание сочинений И.А. Гончарова. Издание А.Ф. Маркса 1899 год. ;  ;  ;  ;  ; 48 ; R_o_m_a_n ; 1103 
 6658 ; Э. Лесгафт. Краткий курс физической географии. Издательство Москва-Ленинград 1928 год ;  ;  ;  ;  ; 31 ; fish77 ; 475 
 6659 ; Журнал Трудовая помощь №2 февраль 1908 год. ;  ;  ;  ;  ; 27 ; dira ; 510 
 6660 ; А. Авдеенко. Над Тиссой. ;  ;  ;  ;  ; 23 ; yuve ; 102 
 6661 ; 24 репродукции Государственной Третьяковской галлереи. Издательство Москва-Ленинград 1939 год. ;  ;  ;  ;  ; 59 ; никсер ; 945 
 6662 ; Каталог работ Ильи Глазунова. 30 репродукций. ;  ;  ;  ;  ; 7 ; никсер ; 283 
 6663 ; Каталог работ М.К. Чюрлёнис. 31 репродукция. ;  ;  ;  ;  ; 5 ; lavist ; 153 
 6664 ; Газета Правда от 29 марта 1968 г. ;  ;  ;  ;  ; 23 ; Luidor ; 167 
 6665 ; Газета Советское искусство от 8 августа 1938 г. ;  ;  ;  ;  ; 3 ; anna22 ; 23 
 6666 ; Иллюстрированная Газета №10 от 15 мая 1940 г. ;  ;  ;  ;  ; 10 ; DormiDont ; 354 
 6464 ; Каталог-справочник. Монеты Украины 1992-2013 гг. Редакция 5, 2013 год ;  ;  ;  ;  ; 16 ; vladmarkin ; 30 
 6465 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2019 годов. Редакция 46 ;  ;  ;  ;  ; 22 ; baik25 ; 39 
 6466 ; Каталог-справочник. Монеты Латвии, Литвы и Эстонии. Редакция 2, 2013 год ;  ;  ;  ;  ; 31 ; дилитант ; 38 
 6467 ; Репринтное издание. Ю. Иверсена. 1874 год. Неизданные и редкие русские медали ;  ;  ;  ;  ; 3 ; Sovetnic ; 79 
 6468 ; Б.С. Юсупов. Монеты Российской Империи (1699-1725). Книга первая. Дополненное и переработанное издание. Казань 2003 ;  ;  ;  ;  ; 23 ; aziya11 ; 813 
 6469 ; Б.С. Юсупов. Монеты Российской Империи (1725-1801). Книга вторая. Дополненное и переработанное издание. Казань 2004 ;  ;  ;  ;  ; 13 ; aziya11 ; 803 
