 5621 ; Бона иностранная. Китай ;  ;  ;  ;  ; 8 ; 425899 ; 30 
 5622 ; Бона иностранная. Китай ;  ;  ;  ;  ; 20 ; valery2010f ; 30 
 5623 ; Бона иностранная. Китай ;  ;  ;  ;  ; 8 ; SER 888 ; 30 
 5624 ; Бона иностранная. Польша ;  ;  ;  ;  ; 5 ; maks1 ; 30 
 5625 ; Бона иностранная. Польша ;  ;  ;  ;  ; 6 ; вэл ; 31 
 5626 ; Бона иностранная. Польша ;  ;  ;  ;  ; 7 ; maks1 ; 50 
 5627 ; Лот нотгельдов ( 120шт.) ;  ;  ;  ;  ; 40 ; Ok203 ; 4075 
 5528 ; Бона иностранная Танзания ;  ;  ;  ;  ; 21 ; 2128508 ; 93 
 5529 ; Бона иностранная Тунис ;  ;  ;  ;  ; 9 ; митяй ; 181 
 5530 ; Бона иностранная Тунис ;  ;  ;  ;  ; 10 ; митяй ; 119 
 5531 ; Бона иностранная Тунис ;  ;  ;  ;  ; 25 ; митяй ; 270 
 5532 ; Бона иностранная Лаос ;  ;  ;  ;  ; 9 ; vladmarkin ; 142 
 5533 ; Бона иностранная Гондурас ; 1991 ;  ;  ; AU ; 30 ; Andreyspb ; 445 
 5534 ; Бона иностранная Мексика ;  ;  ;  ;  ; 17 ; Либра ; 62 
 5535 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 5 ; adler ; 30 
 5536 ; Лот бон Германия 2 шт ;  ;  ;  ;  ; 16 ; Yaroslav2908 ; 200 
 5537 ; Чек Монголия ;  ;  ;  ;  ; 30 ; Olimpia ; 152 
 5538 ; 2 кроны Венгрия ;  ;  ;  ;  ; 20 ; велес ; 130 
 5539 ; 2 доллара Белиз ; 2011 ;  ;  ; AU ; 42 ; vfuflfy49 ; 286 
 5540 ; 2 доллара Канада ; 1986 ;  ;  ; AU ; 24 ; arusakov02 ; 357 
 5541 ; 5 динар Кувейт ;  ;  ;  ; AU ; 29 ; pelmen761 ; 453 
 5542 ; Бона иностранная Босния и Герцеговина ;  ;  ;  ;  ; 45 ; banks ; 131 
 5543 ; Лот бон иностранных 2 шт ; 1993 ;  ;  ; AU ; 13 ; pref ; 57 
 5544 ; 10 драм Армения ; 1993 ;  ;  ; AU ; 20 ; CASABLANCA ; 71 
 5545 ; Бона иностранная. Иран ;  ;  ;  ;  ; 5 ; lenskij1837 ; 50 
 5546 ; Бона иностранная. Иран ;  ;  ;  ;  ; 27 ; class ; 147 
 5547 ; Бона иностранная. Иран ;  ;  ;  ;  ; 6 ; lenskij1837 ; 33 
 5548 ; Бона иностранная. Иран ;  ;  ;  ;  ; 25 ; 6x6 ; 102 
 5549 ; Бона иностранная. Иран ;  ;  ;  ;  ; 5 ; гус4 ; 32 
 5550 ; Лот бон ( 3шт.) ;  ;  ;  ;  ; 5 ; 333985 ; 31 
 5551 ; Лот бон Беларусь 8 шт ; 1992 ;  ;  ;  ; 24 ; DBA123 ; 317 
 5552 ; Лот бон Беларусь 5 шт ; 1998-2000 ;  ;  ;  ; 39 ; иржик86 ; 148 
 5553 ; Лот бон Беларусь 5 шт ; 2000 ;  ;  ;  ; 17 ; Vova1950 ; 48 
 5554 ; 10000 рублей Беларусь ; 2000 ;  ;  ;  ; 13 ; lelik13821 ; 230 
 5555 ; 50 крон Швеция ; 1976 ;  ;  ;  ; 43 ; ashep ; 254 
 5556 ; 5 марок Германия ; 1948 ;  ;  ;  ; 24 ; alesjane ; 167 
 5557 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 13 ; доллар капут ; 81 
 5558 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 17 ; dimon-2007 ; 114 
 5559 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 23 ; dimon-2007 ; 124 
 5560 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 20 ; dimon-2007 ; 126 
 5561 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 56 ; dimon-2007 ; 125 
 5562 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 23 ; dimon-2007 ; 125 
 5563 ; Бона иностранная. Египет ;  ;  ;  ;  ; 13 ; Вадим Скифский ; 31 
 5564 ; Бона иностранная. Египет ;  ;  ;  ;  ; 15 ; DBA123 ; 34 
 5565 ; Бона иностранная. Хорватия ;  ;  ;  ;  ; 27 ; valery2010f ; 51 
 5566 ; Бона иностранная. Хорватия ;  ;  ;  ;  ; 17 ; 4758 ; 84 
 5567 ; Бона иностранная. Бангладеш ;  ;  ;  ;  ; 8 ; alesjane ; 50 
 5568 ; Бона иностранная. Бангладеш ;  ;  ;  ;  ; 15 ; Maxim914 ; 101 
 5569 ; Бона иностранная. Биафра ;  ;  ;  ;  ; 104 ; Sterh ; 206 
 5570 ; Бона иностранная. Биафра ;  ;  ;  ;  ; 18 ; Maxim914 ; 114 
 5571 ; Бона иностранная. Нидерландские Антиллы ;  ;  ;  ;  ; 19 ; alesjane ; 254 
 5572 ; Бона иностранная. Нидерландские Антиллы ;  ;  ;  ;  ; 15 ; alesjane ; 254 
 5573 ; Бона иностранная. Нидерландские Антиллы ;  ;  ;  ;  ; 27 ; alesjane ; 255 
 5574 ; Бона иностранная. Нидерландские Антиллы ;  ;  ;  ;  ; 15 ; sos1 ; 250 
 5575 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 45 ; ZIMOGOR ; 138 
 5576 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 9 ; 2128508 ; 60 
 5577 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 17 ; 2128508 ; 76 
 5478 ; 1 фунт Великобритания ;  ;  ;  ;  ; 36 ; volkova21 ; 390 
