 101 ; А. В. Орешников. Денежные знаки домонгольской Руси. Выпуск шестой ;  ;  ;  ;  ; 26 ; cr3131 ; 1000 
 75 ; Копейка ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 40 ; electra ; 2200 
 76 ; Копейка ; 1795 ; ЕМ ; Cu ; VF-XF ; 33 ; max96 ; 3162 
 77 ; Копейка ; 1798 ; ЕМ ; Cu ; VF-XF ; 14 ; Druja ; 1600 
 78 ; Копейка. Капсула NGC ; 1828 ; ЕМ ИК ; Cu ;  ; 24 ; sax ; 4108 
 79 ; Копейка ; 1834 ; ЕМ ФХ ; Cu ; XF- ; 30 ; Kupferberg ; 2448 
 80 ; Копейка ; 1842 ; ЕМ ; Cu ; XF- ; 26 ; arcadymer ; 821 
 81 ; Копейка ; 1855 ; ВМ ; Cu ; VF+ ; 24 ; MUPS ; 2346 
 82 ; Копейка ; 1858 ; ВМ Венз.уже ; Cu ; XF ; 29 ; Продано в зале ; 11000 
 83 ; Денга ; 1707 ;  ; Cu ; F+ ; 49 ; Продано в зале ; 1900 
 84 ; Денга. Брак ; 1749 ;  ; Cu ; VF ; 37 ; Гавр ; 3000 
 85 ; Денга ; 1788 ; КМ ; Cu ; VF+ ; 20 ; Продано в зале ; 3400 
 86 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; VF-XF ; 17 ; papinazu ; 1100 
 87 ; Денежка ; 1861 ; ВМ ; Cu ; XF ; 58 ; CapsulЪ ; 3611 
 88 ; 1/2 копейки. Капсула NGC ; 1880 ; СПБ ; Cu ;  ; 21 ; Худой Бердыев ; 1791 
 89 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; AU ; 21 ; JohnSilver ; 1700 
 90 ; Полушка ; 1786 ; КМ ; Cu ; F ; 10 ; electra ; 750 
 91 ; Полушка ; 1797 ; ЕМ ; Cu ; VF-XF ; 45 ; Продано в зале ; 10500 
 92 ; Полушка. Капсула PCGS ; 1854 ; ЕМ ; Cu ;  ; 23 ; il468 ; 2754 
 93 ; Полушка ; 1855 ; ЕМ ; Cu ; VF+ ; 26 ; CapsulЪ ; 3411 
 94 ; 1/4 копейки (Ильин - 2р.) ; 1882 ; СПБ ; Cu ; XF ; 78 ; 24/6 ; 16000 
 95 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 29 ; tisa66 ; 1700 
 96 ; 1/4 копейки ; 1915 ;  ; Cu ; XF ; 27 ; CapsulЪ ; 8670 
 97 ; Георгиевский крест IV степени № 537437. Р-ры 34х34мм ;  ;  ; Ag ; XF ; 43 ; Продано в зале ; 15000 
 98 ; Георгиевский крест IV степени № 911805. Р-ры 34х34мм ;  ;  ; Ag ; VF+ ; 21 ; Sky2 ; 9500 
 99 ; Медаль За храбрость 4 степени № 1052634. D-28мм ;  ;  ; Ag ; VF-XF ; 33 ; Продано в зале ; 6000 
 100 ; Медаль За храбрость 4 степени № 1052898. D-28мм ;  ;  ; Ag ; VF+ ; 38 ; icebreaker ; 7000 
 1 ; Дукат. Нидерланды. Петербургской чеканки (Признаки по В.В.Узденикову- все дукаты Петербургской чеканки). М-3,48г ; 1838 ;  ; Au ; AU ; 57 ; Продано в зале ; 30000 
 2 ; Рубль. В капсуле NGC ; 1723 ;  ; Ag ;  ; 24 ; bratss ; 31212 
 3 ; Рубль ; 1725 ;  ; Ag ; VF-XF ; 36 ; Продано в зале ; 33000 
 4 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 30 ; snupi ; 34000 
 5 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 33 ; snupi ; 19000 
 6 ; Рубль ; 1736 ;  ; Ag ; VF-XF ; 21 ; SIBPROPILOT ; 24000 
 7 ; Рубль. В капсуле NGC ; 1750 ; ММД ; Ag ;  ; 23 ; stilspb ; 17332 
 8 ; Рубль. В капсуле PCGS ; 1769 ; СПБ СА TI ; Ag ;  ; 30 ; I3 ; 25000 
 9 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 31 ; snupi ; 26000 
 10 ; Рубль ; 1820 ; СПБ ПД ; Ag ; XF ; 47 ; snupi ; 6750 
