 138 ; Лот из трех каталогов Adolph Hess. Репринты 1931 и1939, июнь 2007 ;  ;  ;  ;  ; 7 ; Kartu ; 1632 
 139 ; Лот из девяти каталогов Гелос. Февраль 1997, апрель 1997, сентябрь 1997, декабрь 1997, сентябрь 1998, декабрь 1998, февраль 1999, октябрь 1999, октябрь 2000 ;  ;  ;  ;  ; 28 ; Продано в зале ; 3000 
 140 ; Лот из четырех каталогов Dieter Gorny, Munchen. Июнь 1979, январь 1984, октябрь 1997, октябрь 2004 ;  ;  ;  ;  ; 28 ; Продано в зале ; 4200 
 141 ; Лот из шести книг. Б. С. Юсупов, Монеты Российской империи 1699 - 1725. Каталог UBS, январь 2002. Каталог The New York Sale январь 2009. Elmen ноябрь 2008 и май 2009. Goldberg, май 2008 ;  ;  ;  ;  ; 33 ; Продано в зале ; 3200 
 142 ; Лот из 12 книг. The New York Sale Auction VIII, XII, XIII, XV, XVIII - XXI, XXIV, XXVI, XXIX ;  ;  ;  ;  ; 53 ; Продано в зале ; 6600 
 143 ; Лот из трех книг. Восьмая всероссийская нумизматическая конференция, Москва 2000.  Эрмитаж, Нумизматический сборник, 2003. Эрмитаж, Материалы и исследования отдела нумизматики, СПб., 2005 ;  ;  ;  ;  ; 19 ; Продано в зале ; 1300 
 144 ; Каталог Superior Galleries, Irving Goodman Collection, февраль 1991 ;  ;  ;  ;  ; 30 ; Продано в зале ; 4800 
 145 ; Базовый каталог. Монеты России 1700-1917. Владимир Семенов. Редакция 14, сентябрь 2015 ;  ;  ;  ;  ; 38 ; Sky2 ; 4600 
 146 ; Лот из 6 каталогов Конрос-информ. Русские деньги X - XVII вв, ред. 7. Монеты России 1700 - 1917 гг., ред. 15. Монеты РСФСР, СССР и Росии 1921 - 2019 гг, ред. 46. Бумажные деньги России, часть I, ред. 10, часть II, ред. 8. Награды Российской империи, ред.5 ;  ;  ;  ;  ; 26 ; Foks ; 1500 
 147 ; Лот из 5 каталогов аукциона Конрос "Петербургский аукцион", 35 - 39 ;  ;  ;  ;  ; 37 ; Продано в зале ; 3600 
 148 ; Лот из 5 книг В. Е. Семенова, Конрос-информ. Монеты России 1700 - 1917, базовый каталог, ред. 16, 2018. Монетный передел 1700 - 1917. Псевдонимы российского рубля. Подделки росийских монет. Монетное дело Российской империи ;  ;  ;  ;  ; 48 ; рад ; 3279 
 149 ; Мюнцкабинет. Дерево. 5 лотков с 20-ю ячейками, два - по 40 мм, три - по 50 мм. Замок, ключ ;  ;  ;  ;  ; 49 ; 111111 ; 15000 
 51 ; Гривенник ; 1747 ;  ; Ag ; VF+ ; 14 ; N.A.S.A ; 1224 
 52 ; Гривенник ; 1771 ; СПБ TI ; Ag ; VF-XF ; 31 ; Sumo ; 2000 
 53 ; 10 копеек. В капсуле NGC ; 1804 ; СПБ ФГ ; Ag ;  ; 39 ; ДЫРЯЕВ 2015 ; 18000 
 54 ; 10 копеек ; 1834 ; СПБ НГ ; Ag ; XF ; 49 ; Logistik ; 5900 
 55 ; 10 копеек. Капсула NGC ; 1865 ; СПБ НФ ; Ag ;  ; 12 ; ААФ ; 1599 
 56 ; 5 копеек ; 1757 ; СПБ ; Ag ; VF+ ; 29 ; N.A.S.A ; 1259 
 57 ; 5 копеек. В капсуле NGC ; 1826 ; СПБ НГ ; Ag ;  ; 52 ; tisa66 ; 9085 
 58 ; 5 копеек ; 1832 ; СПБ НГ ; Ag ; VF-XF ; 32 ; Alex22D ; 5500 
 59 ; 5 копеек. Капсула ННР ; 1845 ; СПБ КБ ; Ag ;  ; 41 ; Alex22D ; 4879 
 60 ; 2 копейки (Петров-4р) ; 1757 ; Ливонез ; Ag ; XF ; 62 ; Сема ; 36363 
 61 ; 2 злотых. Капсула ННР ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ;  ; 21 ; Dzmitry ; 9670 
 62 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF- ; 15 ; Sallaxx1961 ; 9815 
 63 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF- ; 24 ; gurt72 ; 8058 
 64 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF ; 17 ; Продано в зале ; 10500 
 65 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 16 ; Продано в зале ; 7500 
 66 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF ; 16 ; fgd ; 10500 
 67 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF ; 28 ; fgd ; 8000 
 68 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 14 ; Продано в зале ; 9500 
 69 ; 5 копеек ; 1724 ; Хвост широкий ; Cu ; F ; 20 ; Zenit 2222 ; 10000 
 70 ; 5 копеек. Подделка для обращения ; 1725 ; МД Дата снизу вверх ; Cu ; F+ ; 45 ; Продано в зале ; 6000 
 71 ; 5 копеек. Подделка для обращения ; 1727 ; НД Дата снизу вверх ; Cu ; F ; 36 ; 1727 ; 5300 
 72 ; 5 копеек. Подделка для обращения ; 1727 ;  ; Cu ; F ; 26 ; Продано в зале ; 5500 
 73 ; 5 копеек. Подделка для обращения ; 1730 ; МД Хвост широкий ; Cu ; VG ; 24 ; Продано в зале ; 2600 
 74 ; 5 копеек ; 1761 ;  ; Cu ; VF ; 21 ; Zenit 2222 ; 1100 
 75 ; 5 копеек ; 1763 ; ММ ; Cu ; VF- ; 19 ; Zenit 2222 ; 906 
 76 ; 5 копеек ; 1763 ; СПМ ; Cu ; VF- ; 22 ; Продано в зале ; 1900 
 77 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 14 ; Продано в зале ; 5500 
 78 ; 5 копеек. Капсула ННР ; 1776 ; ЕМ ; Cu ;  ; 13 ; раскручу на бабки ; 1500 
 79 ; 5 копеек ; 1786 ; КМ ; Cu ; XF ; 15 ; Продано в зале ; 3750 
 80 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF- ; 16 ; Продано в зале ; 5500 
 81 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF-XF ; 21 ; Продано в зале ; 10000 
 82 ; 5 копеек ; 1796 ; АМ ; Cu ; XF ; 22 ; krugerrand ; 5770 
 83 ; 5 копеек ; 1802 ; ЕМ ; Cu ; VF-XF ; 20 ; Uncirculated ; 5667 
 84 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 8 ; double ; 3400 
 85 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 31 ; gurt72 ; 3735 
 86 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF ; 14 ; taa ; 3609 
 87 ; 5 копеек ; 1806 ; ЕМ ; Cu ; XF ; 17 ; Худой Бердыев ; 5827 
 88 ; 5 копеек. Капсула ННР ; 1836 ; ЕМ ФХ ; Cu ;  ; 56 ; ЛАВ-13 ; 6500 
 89 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF+ ; 31 ; N.A.S.A ; 1696 
 90 ; 5 копеек ; 1874 ; ЕМ ; Cu ; XF ; 45 ; делетант ; 4200 
 91 ; 3 копейки ; 1844 ; СМ ; Cu ; VF+ ; 19 ; Продано в зале ; 7000 
 92 ; 3 копейки (Ильин-1р) ; 1858 ; ВМ ; Cu ; VF+ ; 103 ; Dima740 ; 13000 
 93 ; 2 копейки ; 1761 ;  ; Cu ; VF+ ; 22 ; nik41 ; 3040 
 94 ; 2 копейки ; 1764 ; ММ ; Cu ; VF ; 54 ; 98565цу ; 1320 
 95 ; 2 копейки ; 1764 ; ЕМ ; Cu ; F-VF ; 33 ; Худой Бердыев ; 6472 
 96 ; 2 копейки ; 1788 ; ММ ; Cu ; VF ; 19 ; IYRII ; 1389 
 97 ; 2 копейки ; 1788 ; СПМ ; Cu ; VF ; 18 ; Sumo ; 3500 
 98 ; 2 копейки (Петров - 30р. Ильин - 20р.) ; 1788 ; ТМ ; Cu ; F-VF ; 54 ; eastern wind ; 27642 
 99 ; 2 копейки (Петров - 20р. Ильин - 20р.) ; 1789 ; ММ ; Cu ; F-VF ; 74 ; I3 ; 32000 
 100 ; 2 копейки. Новодел ; 1797 ; Новодел ; Cu ; XF ; 57 ; papinazu ; 23000 
 1 ; Рубль. М-1,24г ; 1779 ; "Для дворцового обихода" ; Au ; VF+ ; 36 ; Продано в зале ; 24000 
 2 ; Рубль (Петров-7р) ; 1704 ;  ; Ag ; VF-XF ; 67 ; Продано в зале ; 420000 
 3 ; Рубль ; 1724 ; СПБ ; Ag ; VF-XF ; 50 ; Продано в зале ; 160000 
 4 ; Рубль ; 1725 ;  ; Ag ; XF ; 52 ; Продано в зале ; 60000 
 5 ; Рубль ; 1727 ;  ; Ag ; XF ; 46 ; Продано в зале ; 105000 
 6 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 13 ; gelo ; 28091 
 7 ; Рубль ; 1732 ;  ; Ag ; VF-XF ; 20 ; iustas ; 18564 
 8 ; Рубль ; 1733 ;  ; Ag ; XF- ; 28 ; gelo ; 32000 
 9 ; Рубль ; 1737 ;  ; Ag ; VF-XF ; 17 ; gelo ; 20502 
 10 ; Рубль ; 1740 ;  ; Ag ; VF-XF ; 46 ; habibbulin ; 26000 
 11 ; Рубль ; 1740 ;  ; Ag ; XF- ; 42 ; habibbulin ; 42000 
 12 ; Рубль ; 1751 ; СПБ ; Ag ; VF-XF ; 15 ; habibbulin ; 20447 
 13 ; Рубль ; 1752 ; СПБ ЯI ; Ag ; XF+ ; 45 ; Продано в зале ; 65000 
 14 ; Рубль ; 1754 ; ММД EI ; Ag ; VF-XF ; 21 ; Sky2 ; 21000 
 15 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; XF+ ; 28 ; Гопnik ; 23000 
 16 ; Рубль ; 1773 ; СПБ ЯЧ TИ ; Ag ; XF+ ; 46 ; habibbulin ; 36000 
 17 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; VF-XF ; 23 ; N.A.S.A ; 10001 
 18 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF ; 30 ; gurt72 ; 20000 
 19 ; Рубль ; 1801 ; СМ АИ ; Ag ; XF ; 35 ; Борис Моисеевич ; 30515 
 20 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF ; 38 ; Продано в зале ; 12000 
 21 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF+/AU ; 57 ; grut ; 28000 
 22 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF- ; 17 ; Sky2 ; 6750 
 23 ; Рубль. Капсула Конрос ; 1859 ; На открытие памятника Николаю I ; Ag ;  ; 22 ; gurt72 ; 50998 
 24 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; VF-XF ; 37 ; gurt72 ; 49020 
 25 ; Рубль ; 1886 ; (АГ) ; Ag ; VF-XF ; 23 ; habibbulin ; 23000 
 26 ; Рубль ; 1891 ; (АГ) ; Ag ; VF-XF ; 15 ; habibbulin ; 14000 
 27 ; Рубль ; 1893 ; (АГ) ; Ag ; XF- ; 36 ; рад ; 21000 
 28 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF+ ; 60 ; Sky2 ; 9500 
 29 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF ; 51 ; habibbulin ; 15000 
 30 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 54 ; habibbulin ; 18000 
 31 ; Рубль. Капсула ННР ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ;  ; 30 ; papinazu ; 10500 
 32 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF ; 19 ; Лидер ; 11500 
 33 ; Полтина ; 1733 ;  ; Ag ; XF+ ; 37 ; Продано в зале ; 67000 
 34 ; Полтина (Петров - 2,5р. Ильин - 3р.) ; 1738 ; СПБ ; Ag ; VF ; 36 ; маманя ; 27604 
 35 ; Полтина ; 1845 ; СПБ КБ ; Ag ; VF-XF ; 18 ; Sky2 ; 4000 
 36 ; Полтина ; 1877 ; СПБ HI ; Ag ; XF ; 36 ; AlexMar ; 7650 
 37 ; Полтина ; 1913 ; (ЭБ) АГ ; Ag ; XF- ; 34 ; Продано в зале ; 4800 
 38 ; Полуполтинник ; 1756 ; ММД МБ ; Ag ; VF-XF ; 30 ; Борис Моисеевич ; 5723 
 39 ; 25 копеек ; 1836 ; СПБ НГ ; Ag ; XF- ; 23 ; CapsulЪ ; 3366 
 40 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; VF-XF ; 34 ; gelo ; 2142 
 41 ; 25 копеек ; 1849 ; СПБ ПА ; Ag ; XF ; 46 ; fgd ; 3000 
 42 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 25 ; barkin ; 4000 
 43 ; 25 копеек (Петров-2,5р, Ильин-3р). Редкие ; 1866 ; СПБ НФ ; Ag ; VF-XF ; 39 ; sergius ; 57966 
 44 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 20 ; Ser_doh ; 671 
 45 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 38 ; Лидер ; 1866 
 46 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 36 ; papinazu ; 2400 
 47 ; 20 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 58 ; Sky2 ; 1600 
 48 ; 15 копеек ; 1767 ; ММД ; Ag ; VF+ ; 55 ; taa ; 6867 
 49 ; 15 копеек-1 злотый ; 1837 ; MW Рус.-Пол. ; Ag ; VF-XF ; 50 ; Logistik ; 3570 
 50 ; 15 копеек ; 1861 ; СПБ ; Ag ; XF ; 21 ; Лидер ; 1128 
