 1200 ; Рубль ; 1922 ; (ПЛ) ; Ag ; XF+ ; 10 ; pmaster ; 9747 
 1201 ; Рубль. В капсуле  NGS ; 1924 ; (ПЛ) ; Ag ; Unc (details) ; 11 ; Galal ; 2500 
 1202 ; Один полтинник. В капсуле  NGS ; 1927 ; (ПЛ 9 грамм) ; Ag ; MS-62 ; 11 ; 525 ; 3060 
 1203 ; Жетон  в память коронации Александра I. М-6,05гр ; 1801 ;  ; Au ; XF ; 21 ; Продано в зале ; 155000 
 1204 ; Жетон  в память коронации Александра I ; 1801 ;  ; Ag ; AU ; 10 ; Продано в зале ; 18000 
 1205 ; Жетон в память коронации Николая I ; 1826 ;  ; Ag ; AU ; 2 ; Skyline ; 5100 
 1206 ; Орден Святой Анны 3-й степени без мечей. Клейма под эмалью Фирма «Дмитрий Осипов». ;  ;  ; Br ; AU ; 28 ; srr283 ; 36618 
 1207 ; Медаль. В память 300-летия царствования Дома Романовах (1613-1913). D-28мм ;  ;  ; Br ; XF+ ; 13 ; Эфес ; 3535 
 1208 ; Медаль. В память 300-летия царствования Дома Романовах (1613-1913). D-28мм ;  ;  ; Br ; XF+ ; 0 ; Не продан ; 0 
 1209 ; Знак военных врачей Императорской военно-медицинской академии. Размер 65x48 мм. Фирма Эдуардъ ;  ;  ; Ag ; XF ; 9 ; Продано в зале ; 33000 
 1210 ; Знак Московского Сельско-Хозяйственного Института. Размер 58x38 мм. Утраты листьев ;  ;  ; Ag ; XF- ; 0 ; Не продан ; 0 
 1211 ; Знак. 100 летие 8-го уланского Вознесенского полка. Фирма Эдуардъ ;  ;  ; Br ; XF+ ; 12 ; bag1809 ; 20094 
 1212 ; Знак об окончании немедицинских факультетов Им- ператорских Российских университетов ;  ;  ; Ag, эмаль ; XF+ ; 12 ; Skyline ; 8160 
 1213 ; Солдатский знак Латышского Стрелкового батальона ;  ;  ; Br ; VF+ ; 15 ; nikolas1957 ; 6200 
 1114 ; Полтина ; 1913 ; (ВС) АГ ; Ag ; AU ; 21 ; Продано в зале ; 32000 
 1115 ; Полуполтинник ; 1739 ;  ; Ag ; VF+ ; 7 ; pavel32 ; 46920 
 1116 ; Полуполтинник ; 1746 ; ММД ; Ag ; XF- ; 6 ; cr2283 ; 8456 
 1117 ; Полуполтинник ; 1756 ; ММД МБ ; Ag ; XF- ; 3 ; andry1 ; 9066 
 1118 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; VF+ ; 1 ; vvr ; 5000 
 1119 ; Полуполтинник ; 1770 ; ММД ДМ ; Ag ; VF+ ; 0 ; Не продан ; 0 
 1120 ; Полуполтинник ; 1779 ; СПБ ФЛ ; Ag ; XF+ ; 5 ; Продано в зале ; 19000 
 1121 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; XF- ; 2 ; ksv11 ; 3060 
 1122 ; 25 копеек ; 1887 ; (АГ) АГ ; Ag ; XF+ ; 15 ; igors1969 ; 46000 
 1123 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; AU ; 15 ; Продано в зале ; 18000 
 1124 ; 20 копеек ; 1766? ; ММД ; Ag ; XF ; 3 ; Продано в зале ; 15000 
 1125 ; 20 копеек ; 1767 ; ММД ; Ag ; XF ; 3 ; Продано в зале ; 12000 
 1126 ; 20 копеек ; 1771 ; СПБ TI ; Ag ; XF/AU ; 26 ; Продано в зале ; 22000 
 1127 ; 20 копеек ; 1783 ; СПБ ; Ag ; XF- ; 15 ; Стемп ; 8717 
 1128 ; 20 копеек ; 1784 ; СПБ ; Ag ; VF+ ; 11 ; dimon46 ; 3661 
 1129 ; 20 копеек ; 1786 ; СПБ ; Ag ; XF- ; 23 ; Продано в зале ; 13500 
 1130 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 11 ; dimon46 ; 5102 
 1131 ; 20 копеек ; 1827 ; СПБ НГ ; Ag ; VF+ ; 5 ; Стемп ; 5000 
 1132 ; 20 копеек ; 1828 ; СПБ НГ ; Ag ; XF ; 25 ; Продано в зале ; 20000 
 1133 ; 20 копеек ; 1829 ; СПБ НГ ; Ag ; VF/XF ; 6 ; Продано в зале ; 5000 
 1134 ; 20 копеек ; 1830 ; СПБ НГ ; Ag ; VF+ ; 4 ; Продано в зале ; 3500 
 1135 ; 20 копеек (Ильин - 5р.) ; 1830 ; СПБ НГ ; Ag ; XF ; 29 ; Продано в зале ; 33000 
 1136 ; 20 копеек ; 1831 ; СПБ НГ ; Ag ; VF+ ; 1 ; Стемп ; 3000 
 1137 ; 20 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 1 ; Продано в зале ; 9000 
 1138 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; Unc/AU ; 7 ; Продано в зале ; 5500 
 1139 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 1 ; A.A.A. ; 2000 
 1140 ; 20 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 13 ; tisa66 ; 6111 
 1141 ; 20 копеек ; 1883 ; СПБ ДС ; Ag ; XF ; 3 ; валенок ; 2244 
 1142 ; 20 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 5 ; est4o ; 3570 
 1143 ; 15 копеек ; 1765 ; ММД ; Ag ; XF ; 5 ; Продано в зале ; 16000 
 1144 ; 15 копеек ; 1787 ; СПБ ; Ag ; XF+ ; 15 ; Стемп ; 12000 
 1145 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 7 ; 25 ; 6800 
 1146 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 1 ; Продано в зале ; 4400 
 1147 ; Гривенник ; 1751 ; А ; Ag ; XF- ; 11 ; cr2283 ; 10082 
 1148 ; Гривенник ; 1752 ; IШ ; Ag ; XF ; 1 ; cr2283 ; 6000 
 1149 ; Гривенник ; 1785 ; СПБ ; Ag ; XF+ ; 5 ; Molot ; 7344 
 1150 ; 10 копеек ; 1798 ; СМ МБ ; Ag ; XF ; 1 ; luda ; 20000 
 1151 ; 10 копеек ; 1802 ; СПБ АИ ; Ag ; VF-XF ; 0 ; Продано в зале ; 22000 
 1152 ; 10 копеек. (Петров - 5 рублей) ; 1810 ; СПБ ФГ ; Ag ; XF+ ; 42 ; Продано в зале ; 36000 
 1153 ; 10 копеек ; 1815 ; СПБ МФ ; Ag ; XF+ ; 3 ; Продано в зале ; 9000 
 1154 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 2 ; vvr ; 3060 
 1155 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 1 ; serg2010 ; 3000 
 1156 ; 10 копеек ; 1827 ; СПБ НГ ; Ag ; XF- ; 5 ; Продано в зале ; 8000 
 1157 ; 10 копеек ; 1836 ; СПБ НГ ; Ag ; AU ; 14 ; Продано в зале ; 19000 
 1158 ; 10 копеек ; 1843 ; СПБ АЧ ; Ag ; VF-XF ; 9 ; Продано в зале ; 19000 
 1159 ; 10 копеек ; 1844 ; СПБ КБ ; Ag ; AU ; 18 ; Продано в зале ; 26000 
 1160 ; 10 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 2 ; ААФ ; 3060 
 1161 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 1 ; SSSSSSSSS ; 3000 
 1162 ; 10 копеек ; 1864 ; СПБ НФ ; Ag ; XF+ ; 2 ; ААФ ; 2040 
 1163 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 2 ; ААФ ; 2040 
 1064 ; Рубль ; 1825 ; СПБ ПД ; Ag ; XF+ ; 29 ; Продано в зале ; 46000 
 1065 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF+ ; 32 ; monos72 ; 38017 
 1066 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF ; 8 ; Продано в зале ; 8500 
 1067 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF+ ; 16 ; dron777 ; 20703 
 1068 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF+ ; 17 ; Продано в зале ; 14500 
 1069 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF ; 10 ; II.II.II.II.II ; 9942 
 1070 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF+ ; 5 ; Продано в зале ; 12000 
 1071 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 1 ; andry1 ; 10000 
 1072 ; Рубль ; 1845 ; СПБ КБ ; Ag ; XF+ ; 24 ; Продано в зале ; 18000 
 1073 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF+ ; 2 ; Продано в зале ; 14000 
 1074 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF+ ; 14 ; andry1 ; 19899 
 1075 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 21 ; Продано в зале ; 19000 
 1076 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; AU ; 13 ; dron777 ; 68024 
 1077 ; Рубль ; 1867 ; СПБ HI ; Ag ; XF+ ; 26 ; 496 ; 42420 
 1078 ; Рубль ; 1868 ; СПБ HI ; Ag ; XF+ ; 33 ; 496 ; 39390 
 1079 ; Рубль ; 1869 ; СПБ HI ; Ag ; XF ; 9 ; Продано в зале ; 50000 
 1080 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF+ ; 11 ; Продано в зале ; 22000 
 1081 ; Рубль ; 1880 ; СПБ НФ ; Ag ; AU ; 6 ; 25 ; 24000 
 1082 ; Рубль ; 1881 ; СПБ НФ ; Ag ; XF ; 6 ; Продано в зале ; 32000 
 1083 ; Рубль ; 1886 ; (АГ) ; Ag ; XF+ ; 14 ; очень дорого ; 45000 
 1084 ; Рубль ; 1895 ; (АГ) ; Ag ; VF+ ; 26 ; vcn ; 22000 
 1085 ; Рубль ; 1898 ; ( ** ) ; Ag ; XF/AU ; 13 ; Продано в зале ; 16000 
 1086 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF ; 16 ; Продано в зале ; 120000 
 1087 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF+ ; 1 ; Продано в зале ; 9000 
 1088 ; Рубль ; 1901 ; (ФЗ) ; Ag ; XF/AU ; 36 ; Продано в зале ; 42000 
 1089 ; Рубль ; 1904 ; (АР) ; Ag ; VF+ ; 5 ; iprit ; 92820 
 1090 ; Рубль ; 1910 ; (ЭБ) ; Ag ; XF- ; 15 ; брат ; 15300 
 1091 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU ; 27 ; Продано в зале ; 95000 
 1092 ; Рубль ; 1914 ; (ВС) ; Ag ; AU ; 42 ; Продано в зале ; 55000 
 1093 ; Полтина. (Петров-20 рублей) ; 1702 ;  ; Ag ; XF- ; 9 ; dron777 ; 441634 
 1094 ; Полтина. (Петров-5 рублей) ; 1719 ; L ; Ag ; XF ; 13 ; Продано в зале ; 150000 
 1095 ; Полтина ; 1721 ;  ; Ag ; XF- ; 19 ; luda ; 51759 
 1096 ; Полтина. (Петров - 4 рубля) ; 1725 ;  ; Ag ; XF- ; 17 ; Продано в зале ; 55000 
 1097 ; Полтина ; 1737 ;  ; Ag ; VF-XF ; 13 ; Продано в зале ; 42000 
 1098 ; Полтина ; 1745 ; ММД ; Ag ; VF-XF ; 15 ; cr2283 ; 54000 
 1099 ; Полтина ; 1762 ; СПБ НК ; Ag ; VF+ ; 9 ; luda ; 136000 
 1100 ; Полтина ; 1800 ; СМ ОМ ; Ag ; VF ; 11 ; Стемп ; 42000 
 1101 ; Полтина ; 1814 ; СПБ МФ ; Ag ; VF+ ; 15 ; Продано в зале ; 7500 
 1102 ; Полтина ; 1842 ; СПБ АЧ ; Ag ; XF- ; 25 ; брат ; 11934 
 1103 ; Полтина ; 1844 ; СПБ КБ ; Ag ; XF ; 3 ; САМ1 ; 15300 
 1104 ; Полтина ; 1845 ; СПБ КБ ; Ag ; XF+ ; 1 ; SSSSSSSSS ; 5000 
 1105 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; XF/AU ; 1 ; Продано в зале ; 8000 
 1106 ; Полтина. Разновидность ; 1860 ; СПБ ФБ ; Ag ; VF+/VF ; 11 ; igors1969 ; 30600 
 1107 ; Полтина ; 1867 ; СПБ HI ; Ag ; XF ; 11 ; niki ; 42840 
 1108 ; Полтина ; 1894 ; (АГ) ; Ag ; AU ; 12 ; Продано в зале ; 34000 
 1109 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; AU ; 8 ; 496 ; 19890 
 1110 ; Полтина ; 1899 ; (ФЗ) АГ ; Ag ; AU ; 27 ; Продано в зале ; 42000 
 1111 ; Полтина ; 1907 ; (ЭБ) АГ ; Ag ; XF+ ; 11 ; Продано в зале ; 25000 
 1112 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF ; 0 ; Не продан ; 0 
 1113 ; Полтина ; 1912 ; (ЭБ) АГ ; Ag ; AU ; 2 ; Продано в зале ; 14000 
 1014 ; 3 рубля. М-10,32 гр. ; 1830 ; СПБ ; Pt ; XF ; 21 ; Стемп ; 95000 
 1015 ; 3 рубля. М-10,3 гр. ; 1842 ; СПБ ; Pt ; XF- ; 5 ; жулик ; 70000 
 1016 ; 20 марок. М-6,45 гр. Редкая датировка ; 1880 ; S Финляндия ; Au ; AU ; 14 ; luda ; 54900 
 1017 ; 20 марок. М-6,45 гр. ; 1891 ; L Финляндия ; Au ; AU ; 3 ; жулик ; 21952 
 1018 ; 4 дуката с болгарской контрамаркой, по A.Basok  R5. М-12,7 гр. ; 1905 ;  ; Au ; AU ; 1 ; Skyline ; 40000 
 1019 ; Дукат. Петербургской чеканки. М-3,48 гр. ; 1830 ;  ; Au ; XF+ ; 3 ; Продано в зале ; 20500 
 1020 ; Сребреник. Утраты. М-2,2 гр. ; 980-1015 ; Владимир Святославович(Святой) ; Ag ; F-VF ; 1 ; cr2283 ; 50000 
 1021 ; Ефимок. В капсуле NGC ; 1655 ; Алексей Михайлович ; Ag ; VF30 ; 7 ; luda ; 60000 
 1022 ; 1,5 рубля ; 1839 ; На открытие бородинского памятника-часовни ; Ag ; XF- ; 24 ; Стемп ; 660000 
 1023 ; Рубль. ( Петров-15 рублей) ; 1720 ;  ; Ag ; XF- ; 1 ; спарта ; 160000 
 1024 ; Рубль. (Петров-4 рубля) ; 1720 ;  ; Ag ; XF- ; 3 ; A.G. ; 49980 
 1025 ; Рубль ; 1721 ; K ; Ag ; XF ; 13 ; Продано в зале ; 70000 
 1026 ; Рубль ; 1723 ; ОК ; Ag ; VF-XF ; 14 ; Продано в зале ; 55000 
 1027 ; Рубль. (Петров-10рублей) ; 1725 ;  ; Ag ; VF-XF ; 1 ; A.G. ; 60000 
 1028 ; Рубль. (Петров-8 рублей) ; 1725 ; СПБ ; Ag ; VF+ ; 9 ; pavel32 ; 78540 
 1029 ; Рубль ; 1725 ;  ; Ag ; VF+ ; 5 ; luda ; 42636 
 1030 ; Рубль ; 1726 ;  ; Ag ; XF- ; 26 ; Продано в зале ; 60000 
 1031 ; Рубль ; 1726 ;  ; Ag ; XF- ; 8 ; САМ1 ; 40327 
 1032 ; Рубль ; 1727 ;  ; Ag ; XF- ; 17 ; Продано в зале ; 70000 
