 147 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 23 ; Участник № 133 ; 2800 
 148 ; 15 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 17 ; Участник № 384 ; 2800 
 149 ; 10 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 16 ; Участник № 147 ; 3200 
 150 ; 5 копеек ; 1888 ; СПБ АГ ; Ag ; AU/Unc ; 21 ; ААФ ; 1020 
 51 ; 5 копеек ; 1792 ; ЕМ ; Cu ; VF-XF ; 1 ; Участник № 66 ; 480 
 52 ; Денга ; 1792 ; КМ ; Cu ; VF ; 44 ; Cristofel ; 3470 
 53 ; 5 копеек ; 1794 ; АМ ; Cu ; VF-XF ; 5 ; Участник № 66 ; 1100 
 54 ; Рубль (Петров-15р, Ильин-4р) ; 1795 ; СПБ IC TI ; Ag ; F-VF ; 14 ; TDN ; 8160 
 55 ; 5 копеек ; 1795 ; ЕМ ; Cu ; VF-XF ; 1 ; Участник № 66 ; 550 
 56 ; 5 копеек ; 1795 ; КМ ; Cu ; XF- ; 20 ; monos72 ; 3292 
 57 ; 2 копейки ; 1795 ; ЕМ ; Cu ; VF+ ; 56 ; Net ; 3400 
 58 ; Копейка (Петров-1,5р, Ильин-3р) ; 1795 ;  ; Cu ; F-VF ; 13 ; SSK ; 1838 
 59 ; 5 копеек ; 1796 ; КМ ; Cu ; VF-XF ; 18 ; 55=55 ; 3200 
 60 ; Деньга (Ильин-3р) ; 1797 ; КМ ; Cu ; F-VF ; 15 ; TDN ; 1023 
 61 ; 2 копейки ; 1799 ; ЕМ ; Cu ; VF-XF ; 12 ; pmaster ; 411 
 62 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF-XF ; 15 ; double ; 7401 
 63 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 13 ; Участник № 66 ; 1400 
 64 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 11 ; Участник № 1739 ; 1900 
 65 ; 2 копейки ; 1810 ; ИМ МК ; Cu ; VF+ ; 25 ; кве ; 4089 
 66 ; 5 копеек (Петров-2р, Ильин-3р) ; 1811 ; СПБ ФГ ; Ag ; F-VF ; 32 ; TDN ; 7446 
 67 ; Рубль ; 1813 ; СПБ ПС ; Ag ; VF+ ; 18 ; Sky2 ; 2662 
 68 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF ; 48 ; bazis ; 5332 
 69 ; Рубль ; 1819 ; СПБ ПС ; Ag ; VF-XF ; 24 ; Участник № 1865 ; 5500 
 70 ; 20 копеек ; 1820 ; СПБ ПД ; Ag ; XF- ; 50 ; Участник № 384 ; 3600 
 71 ; Рубль ; 1822 ; СПБ ПД ; Ag ; VF+ ; 18 ; Участник № 1792 ; 3800 
 72 ; 20 копеек ; 1822 ; СПБ ПД ; Ag ; AU/XF ; 32 ; OMT ; 6687 
 73 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; VF-XF ; 11 ; serg2010 ; 1530 
 74 ; 2 копейки ; 1825 ; ЕМ ПГ ; Cu ; XF- ; 14 ; Участник № 18 ; 850 
 75 ; 2 копейки ; 1826 ; ЕМ ИК ; Cu ; XF ; 26 ; Участник № 18 ; 1700 
 76 ; Рубль ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 24 ; Sky2 ; 6373 
 77 ; Рубль ; 1828 ; СПБ НГ ; Ag ; VF+ ; 22 ; Mike! ; 4123 
 78 ; Рубль ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 22 ; ksv11 ; 5668 
 79 ; 5 копеек (Ильин-1р) ; 1831 ; СМ ; Cu ; VF+ ; 40 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 4200 
 80 ; 5 копеек (Ильин-1р) ; 1832 ; СМ ; Cu ; VF ; 18 ; Участник № 1865 ; 3200 
 81 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 32 ; VAG ; 3978 
 82 ; Рубль ; 1834 ; СПБ НГ ; Ag ; VF-XF ; 23 ; Участник № 1344 ; 4800 
 83 ; 5 копеек (Ильин-1р) ; 1834 ; СМ ; Cu ; VF ; 15 ; 55=55 ; 918 
 84 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF-XF ; 49 ; Участник № 1 ; 8500 
 85 ; 5 копеек (Петров-1,5р, Ильин-1р) ; 1835 ; СМ ; Cu ; VF ; 35 ; Cristofel ; 12243 
 86 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF- ; 50 ; Участник № 384 ; 11500 
 87 ; Дукат. Нидерланды. Петербургский чекан. М-3,50гр ; 1837 ;  ; Au ; XF/AU ; 47 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 16000 
 88 ; Рубль ; 1837 ; СПБ НГ ; Ag ; VF-XF ; 24 ; Участник № 384 ; 11500 
 89 ; 10 копеек ; 1837 ; СПБ НГ ; Ag ; AU ; 54 ; Участник № 384 ; 12500 
 90 ; 5 копеек ; 1837 ; ЕМ КТ ; Cu ; VF ; 19 ; ksv11 ; 1700 
 91 ; 5 копеек ; 1838 ; СПБ НГ ; Ag ; XF- ; 11 ; Участник № 767 ; 1300 
 92 ; 20 копеек ; 1839 ; СПБ НГ ; Ag ; AU ; 28 ; antiquar ; 6500 
 93 ; 2 копейки ; 1839 ; СМ ; Cu ; XF- ; 28 ; gerz ; 3162 
 94 ; Рубль ; 1840 ; СПБ НГ ; Ag ; VF-XF ; 20 ; Участник № 767 ; 5600 
 95 ; 3 копейки ; 1840 ; СПМ ; Cu ; VF+ ; 34 ; ZOLTAN333 ; 1249 
 96 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+ ; 12 ; кротик ; 6000 
 97 ; 2 копейки ; 1841 ; ЕМ ; Cu ; VF ; 21 ; pmaster ; 408 
 98 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF+ ; 31 ; Участник № 1 ; 13000 
 99 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF- ; 23 ; serg2010 ; 7011 
 100 ; Рубль ; 1842 ; MW ; Ag ; VF+ ; 22 ; Sky2 ; 4090 
 1 ; Копейка ; 1713 ; М Д ; Cu ; F-VF ; 17 ; Участник № 51 ; 1200 
 2 ; Рубль (Ильин-3р) ; 1726 ;  ; Ag ; VF+ ; 28 ; Участник № 1792 ; 40000 
 3 ; Рубль ; 1731 ;  ; Ag ; VF+ ; 30 ; Участник № 1 ; 16000 
 4 ; Рубль (Петров-3,5р) ; 1732 ;  ; Ag ; VF+ ; 18 ; Участник № 1739 ; 14000 
 5 ; Рубль (Петров-4р) ; 1733 ;  ; Ag ; VF ; 21 ; мяу ; 12000 
 6 ; Рубль ; 1736 ;  ; Ag ; VF+ ; 19 ; Участник № 1556 ; 11500 
 7 ; Рубль (Петров-10р, Ильин-3р) ; 1737 ;  ; Ag ; VF- ; 17 ; Участник № 1556 ; 23000 
 8 ; Рубль ; 1739 ; СПБ ; Ag ; VF+ ; 33 ; Участник № 133 ; 21000 
 9 ; Гривенник ; 1747 ;  ; Ag ; VF ; 19 ; serg2010 ; 1838 
 10 ; Рубль ; 1748 ; СПБ ; Ag ; VF ; 24 ; TDN ; 13518 
 11 ; Гривенник ; 1750 ;  ; Ag ; VF-XF ; 29 ; Участник № 384 ; 6200 
 12 ; Денга. Инкузный след от застрявшей в штемпеле монеты ; 1750 ;  ; Cu ; F-VF ; 11 ; Sky2 ; 590 
 13 ; Полуполтинник (Петров-1р) ; 1752 ; ММД Е ; Ag ; VF-XF ; 33 ; coinlover ; 5202 
 14 ; Копейка ; 1755 ; ММД ; Cu ; VF+ ; 52 ; monos72 ; 17895 
 15 ; Копейка ; 1756 ; СПБ ; Cu ; VF+ ; 59 ; Cristofel ; 8620 
 16 ; Рубль (Петров-5р) ; 1757 ; ММД МБ ; Ag ; VF+ ; 28 ; кронин ; 18000 
 17 ; 5 копеек ; 1758 ;  ; Cu ; VF ; 70 ; overshtag ; 6000 
 18 ; Полушка (Петров-2р, Ильин-1р) ; 1758 ;  ; Cu ; VF- ; 35 ; lvd ; 3621 
 19 ; Денга ; 1760 ;  ; Cu ; VF ; 27 ; SSK ; 2300 
 20 ; 5 копеек ; 1761 ;  ; Cu ; VF ; 47 ; 439 ; 918 
 21 ; 10 копеек ; 1762 ;  ; Cu ; F-VF ; 32 ; double ; 23000 
 22 ; 4 копейки ; 1762 ;  ; Cu ; VF ; 26 ; SSK ; 14484 
 23 ; 2 копейки ; 1762 ;  ; Cu ; F-VF ; 24 ; ANK ; 16320 
 24 ; 2 копейки ; 1763? ; ММ ; Cu ; VF+ ; 29 ; ANK ; 1000 
 25 ; Копейка. ММ ; 176? ;  ; Cu ; VF+ ; 22 ; Cristofel ; 2900 
 26 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; VF+ ; 10 ; нумизмат ; 15608 
 27 ; 5 копеек ; 1765 ; СПМ ; Cu ; VF ; 32 ; monos72 ; 6500 
 28 ; Полуполтинник (Петров-1р) ; 1767 ; ММД ЕI ; Ag ; VF+ ; 43 ; coinlover ; 4346 
