 86 ; Копейка ; 1819 ; КМ АД ; Cu ; VF-XF ; 27 ; EON ; 340 
 87 ; Копейка ; 1829 ; ЕМ ИК ; Cu ; VF-XF ; 23 ; В зaле ; 850 
 88 ; Копейка ; 1858 ; ВМ Венз.уже ; Cu ; AU ; 79 ; Продано в зале ; 29000 
 89 ; Копейка ; 1873 ; ЕМ ; Cu ; VF-XF ; 37 ; cotangens ; 3200 
 90 ; Денга ; 1703 ;  ; Cu ; VF- ; 66 ; krugerrand ; 3111 
 91 ; Денга ; 1788 ;  ; Cu ; VF ; 36 ; *@*#* ; 4600 
 92 ; Денга (Петров-1р, Ильин-1р) ; 1795 ; КМ ; Cu ; F-VF ; 11 ; кабан ; 1022 
 93 ; 1/2 копейки ; 1879 ; СПБ ; Cu ; VF-XF ; 15 ; Demenzia ; 3200 
 94 ; 1/2 копейки. Капсула NGC ; 1893 ; СПБ ; Cu ;  ; 46 ; Demenzia ; 6000 
 95 ; Полушка ; 1766 ; ЕМ ; Cu ; VF+ ; 94 ; *@*#* ; 13000 
 96 ; Полушка ; 1767 ; КМ "Сибирь" ; Cu ; F-VF ; 38 ; dagomas00 ; 1000 
 97 ; Полушка ; 1770 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; Acronis ; 1259 
 98 ; Полушка ; 1774 ; КМ "Сибирь" ; Cu ; VF ; 30 ; I3 ; 2800 
 99 ; Полушка (Петров-3р, Ильин-5р) ; 1788 ; КМ ; Cu ; F+ ; 17 ; кабан ; 1600 
 100 ; Полушка ; 1790 ; КМ ; Cu ; VF ; 24 ; Demenzia ; 2600 
 1 ; Рубль ; 1719 ; OK ; Ag ; VF- ; 43 ; 333985 ; 28000 
 2 ; Рубль ; 1719 ; OK ; Ag ; VF- ; 38 ; eastern wind ; 34229 
 3 ; Рубль ; 1726 ;  ; Ag ; VF-XF ; 34 ; Продано в зале ; 42000 
 4 ; Рубль (Петров-3,5р, Ильин-3р) ; 1727 ;  ; Ag ; VF-XF ; 61 ; 333985 ; 65000 
 5 ; Рубль ; 1734 ;  ; Ag ; VF-XF ; 21 ; iustas ; 28000 
 6 ; Рубль ; 1738 ; СПБ ; Ag ; XF- ; 42 ; vic-dmitri ; 38000 
 7 ; Рубль ; 1740 ;  ; Ag ; VF+ ; 52 ; Продано в зале ; 21000 
 8 ; Рубль ; 1743 ; СПБ ; Ag ; XF- ; 33 ; iustas ; 26653 
 9 ; Рубль ; 1745 ; СПБ ; Ag ; VF-XF ; 36 ; borej ; 34000 
 10 ; Рубль ; 1746 ; СПБ ; Ag ; VF+ ; 37 ; Инструктор ; 19021 
 11 ; Рубль ; 1747 ; СПБ ; Ag ; VF-XF ; 30 ; Продано в зале ; 25000 
 12 ; Рубль ; 1748 ; СПБ ; Ag ; VF-XF ; 42 ; 333985 ; 26000 
 13 ; Рубль ; 1753 ; СПБ IM ; Ag ; VF-XF ; 23 ; 333985 ; 20000 
 14 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF ; 31 ; Продано в зале ; 19000 
 15 ; Рубль ; 1823 ; СПБ ПД ; Ag ; XF+/AU ; 85 ; 23011976 ; 15000 
 16 ; Рубль. Капсула NGC ; 1844 ; СПБ КБ ; Ag ;  ; 43 ; olgont ; 14849 
 17 ; Рубль ; 1849 ; СПБ ПА ; Ag ; VF-XF ; 30 ; eastern wind ; 7709 
 18 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF ; 34 ; vic-dmitri ; 11000 
