 100 ; Полушка (Петров - 3р. Ильин - 3р.) ; 1797 ; КМ ; Cu ; F-VF ; 22 ; Си+ ; 2317 
 1 ; 5 рублей. М-6,5г ; 1844 ; СПБ КБ ; Au ; VF-XF ; 40 ; а1945 ; 42000 
 2 ; 5 рублей. М-6,5г ; 1851 ; СПБ АГ ; Au ; XF+ ; 14 ; vic-dmitri ; 45000 
 3 ; 5 рублей. М-6,5г ; 1878 ; СПБ НФ ; Au ; XF ; 12 ; а1945 ; 46000 
 4 ; 3 рубля. М-3,89г ; 1874 ; СПБ НI ; Au ; XF+ ; 14 ; Коллекционер СНГ ; 91800 
 5 ; Рубль (Петров-3р) ; 1721 ; K ; Ag ; VF ; 21 ; Изид ; 66402 
 6 ; Рубль ; 1723 ;  ; Ag ; VF ; 13 ; Аполлон 17 ; 30005 
 7 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 16 ; бриз33 ; 33293 
 8 ; Рубль (Петров-10р) ; 1729 ;  ; Ag ; VF+ ; 55 ; gelo ; 68798 
 9 ; Рубль ; 1731 ;  ; Ag ; VF-XF ; 40 ; а1945 ; 19000 
 10 ; Рубль ; 1737 ;  ; Ag ; VF-XF ; 15 ; Ravak_1981 ; 24293 
 11 ; Рубль ; 1738 ; СПБ ; Ag ; VF+ ; 37 ; а1945 ; 17000 
 12 ; Рубль ; 1745 ; ММД ; Ag ; VF+ ; 24 ; Misha ; 21522 
 13 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; XF ; 39 ; Продано в зале ; 32000 
 14 ; Рубль ; 1762 ; СПБ НК ; Ag ; VF+ ; 24 ; Давай давай ; 57801 
 15 ; Рубль ; 1768 ; СПБ АШ TI ; Ag ; XF- ; 50 ; Sky2 ; 18000 
 16 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF ; 41 ; anna53 ; 22000 
 17 ; Рубль ; 1811 ; СПБ ФГ ; Ag ; XF ; 27 ; Misha ; 6935 
 18 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF ; 33 ; Asandr ; 7140 
 19 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF- ; 38 ; top1 ; 4794 
 20 ; Рубль ; 1813 ; СПБ ПС ; Ag ; XF- ; 45 ; top1 ; 5750 
 21 ; Рубль ; 1814 ; СПБ МФ ; Ag ; XF ; 69 ; Sky2 ; 11000 
 22 ; Рубль (Петров - 10р. Ильин - 3р.) ; 1814 ; СПБ ; Ag ; VF- ; 67 ; ctr ; 6750 
 23 ; Рубль ; 1814 ; СПБ ПС ; Ag ; XF ; 34 ; m-antique ; 4909 
 24 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF+ ; 42 ; Картман ; 14000 
 25 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF+ ; 75 ; oleg1430 ; 20153 
 26 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF ; 51 ; top1 ; 7250 
 27 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF ; 61 ; m-antique ; 7000 
 28 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 47 ; You ; 10000 
 29 ; Рубль ; 1819 ; СПБ ПС ; Ag ; XF+ ; 52 ; You ; 8500 
 30 ; Рубль ; 1822 ; СПБ ПД ; Ag ; XF+ ; 46 ; oleg1430 ; 12000 
 31 ; Рубль ; 1823 ; СПБ ПД ; Ag ; XF ; 26 ; You ; 8000 
 32 ; Рубль ; 1824 ; СПБ ПД ; Ag ; XF ; 47 ; Sky2 ; 9000 
 33 ; Рубль ; 1825 ; СПБ ПД ; Ag ; XF ; 60 ; Asandr ; 10000 
 34 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; VF-XF ; 40 ; бриз33 ; 65000 
 35 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF- ; 54 ; papinazu ; 37842 
 36 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF+ ; 34 ; а1945 ; 8500 
 37 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF ; 29 ; Doss ; 10100 
 38 ; 25 копеек. В капсуле ННР ; 1856 ; СПБ ФБ ; Ag ;  ; 47 ; Продано в зале ; 7500 
 39 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 25 ; oleg1430 ; 4700 
 40 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 34 ; You ; 5750 
 41 ; 25 копеек. В капсуле NGC ; 1878 ; СПБ НФ ; Ag ;  ; 81 ; Продано в зале ; 26000 
 42 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 51 ; snupi ; 7000 
 43 ; 10 копеек ; 1818 ; СПБ ПС ; Ag ; AU ; 41 ; Картман ; 11500 
 44 ; 10 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 50 ; oleg1430 ; 8493 
 45 ; 10 копеек ; 1854 ; СПБ HI ; Ag ; AU ; 46 ; tisa66 ; 9101 
 46 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 105 ; tisa66 ; 18000 
 47 ; 10 копеек. В капсуле NGC ; 1861 ; СПБ ; Ag ;  ; 34 ; dsidorov ; 2200 
 48 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 31 ; 462 ; 1645 
 49 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; XF+ ; 28 ; electra ; 1500 
 50 ; 10 копеек. В капсуле NGC ; 1876 ; СПБ HI ; Ag ;  ; 28 ; dsidorov ; 5250 
