 6130 ; Почтовая карточка (2 штуки) Вена после В.О.В. ;  ;  ;  ;  ; 20 ; aletta ; 104 
 6131 ; Почтовая карточка до 1917г ;  ;  ;  ;  ; 23 ; cr2952 ; 213 
 6132 ; Почтовая карточка "Выбирай жену не в хороводе, а в огороде" ;  ;  ;  ;  ; 24 ; Gin2268 ; 115 
 6133 ; Почтовая карточка. Япония ;  ;  ;  ;  ; 29 ; птичка16 ; 111 
 6134 ; Почтовая карточка (3 штуки) ;  ;  ;  ;  ; 5 ; nikolas13 ; 101 
 6135 ; Почтовая карточка с гашением ;  ;  ;  ;  ; 20 ; igaist ; 150 
 6136 ; Почтовая карточка. Красноярскъ ;  ;  ;  ;  ; 16 ; vlad77 ; 114 
 6137 ; Почтовая карточка "Омскъ" ;  ;  ;  ;  ; 25 ; Chatsky ; 475 
 6138 ; Почтовая карточка. Одесса ;  ;  ;  ;  ; 17 ; doc2 ; 222 
 6139 ; Почтовая карточка до 1917 года ;  ;  ;  ;  ; 23 ; denis.davydov ; 227 
 6140 ; Почтовая карточка до 1917 года DORPAT ;  ;  ;  ;  ; 29 ; SWRUS ; 227 
 6141 ; Почтовая карточка (2 штуки) "Бр. Карамазовы" ;  ;  ;  ;  ; 18 ; Taazik ; 133 
 6142 ; Почтовая карточка ;  ;  ;  ;  ; 25 ; guronidze ; 150 
 6143 ; Конверт "Красный крест. Финляндия" ;  ;  ;  ;  ; 23 ; doc2 ; 255 
 6144 ; Конверт с гашением 03.03.69г ;  ;  ;  ;  ; 13 ; Babasya ; 101 
 6145 ; Конверт со спецгашением "Директъ о мире" ;  ;  ;  ;  ; 7 ; aletta ; 26 
 6146 ; Конверт со спецгашением "Первая годовщина группового полёта" ;  ;  ;  ;  ; 22 ; Папа с рацией ; 250 
 6147 ; Конверт со спецгашением "175 лет со дня рождения М.П. Лазарева" 1963год ;  ;  ;  ;  ; 20 ; Папа с рацией ; 114 
 6148 ; Конверт со спецгашением "Чемпионат Европы по мотогонкам на льду" 1964год ;  ;  ;  ;  ; 27 ; Vanka ; 136 
 6149 ; Лот конвертов с спецгашением (2 штуки) 45 лет Советским Вооруженным силам 1963год ;  ;  ;  ;  ; 7 ; фифа ; 51 
 6150 ; Лот конвертов с спецгашением (3 штуки) 20-летие разгрома немецко-фашистских войск под Ленинградом 1964год ;  ;  ;  ;  ; 11 ; !!!QWERTY!!! ; 80 
 6151 ; Лот конвертов с спецгашением (2 штуки) 46 лет Великому октябрю 1963год ;  ;  ;  ;  ; 7 ; !!!QWERTY!!! ; 31 
 6152 ; Лот конвертов с спецгашением (3 штуки) Неделя ленинградского коллекционера 1966год ;  ;  ;  ;  ; 9 ; !!!QWERTY!!! ; 57 
 6153 ; Лот конвертов с спецгашением (2 штуки) 1965год ;  ;  ;  ;  ; 5 ; !!!QWERTY!!! ; 34 
 6154 ; Лот конвертов с спецгашением (3 штуки) 9 мая -День Победы" 1966год ;  ;  ;  ;  ; 8 ; !!!QWERTY!!! ; 79 
 6155 ; Лот конвертов с спецгашением (3 штуки)  Музей Связи А.С.Попова 1958год ;  ;  ;  ;  ; 7 ; !!!QWERTY!!! ; 60 
 6156 ; Лот конвертов с спецгашением (3 штуки) День Космонавтики 12 апреля 65г ;  ;  ;  ;  ; 15 ; Папа с рацией ; 230 
 6157 ; Лот конвертов с спецгашением (3 штуки) День Космонавтики 12 апреля 1964года ;  ;  ;  ;  ; 9 ; Папа с рацией ; 230 
 6158 ; Лот конвертов с спецгашением (3 штуки) 1962год ;  ;  ;  ;  ; 5 ; Ok203 ; 77 
 6159 ; Конверт со спецгашением 1958 год ;  ;  ;  ;  ; 35 ; Папа с рацией ; 121 
 6160 ; Конверт со спецгашением "Северный полюс" 1987г ;  ;  ;  ;  ; 7 ; Папа с рацией ; 28 
 6161 ; Конверт со спецгашением "ЯМАЛ"1992год ;  ;  ;  ;  ; 28 ; doc2 ; 310 
 6162 ; Конверт со спецгашением "51 РАЭ" ;  ;  ;  ;  ; 9 ; Папа с рацией ; 31 
 6163 ; Конверт со спецгашением "Антарктида" ;  ;  ;  ;  ; 10 ; Папа с рацией ; 31 
 6164 ; Конверт со спецгашением "СНОЕХ 90" ;  ;  ;  ;  ; 9 ; Папа с рацией ; 31 
 6165 ; Конверт со спецгашением "30 САЭ" ;  ;  ;  ;  ; 30 ; Папа с рацией ; 335 
 6166 ; Конверт со спецгашением "МФ ААНИИ" ;  ;  ;  ;  ; 9 ; Папа с рацией ; 31 
 6167 ; Лот конвертов со спецгашением. Теплоход  "Александр Пушкин" (3 штуки) 1966год ;  ;  ;  ;  ; 7 ; !!!QWERTY!!! ; 49 
 6168 ; Лот конвертов со спецгашением. Атомный Ледокол "Ленин"  (250 лет Адмиралтейского завода) 06.12.1959г ;  ;  ;  ;  ; 9 ; Папа с рацией ; 34 
 6169 ; Лот конвертов со спецгашением (3 штуки) 1959год ;  ;  ;  ;  ; 6 ; !!!QWERTY!!! ; 46 
 6170 ; Лот конвертов со спецгашением (4 штуки) 1960год ;  ;  ;  ;  ; 12 ; !!!QWERTY!!! ; 131 
 6080 ; Фотокарточка Marilyn Monroe ;  ;  ;  ;  ; 11 ; A-antik ; 408 
 6081 ; Почтовая карточка CARL XVI GUSTAF ;  ;  ;  ;  ; 7 ; Taazik ; 31 
 6082 ; Почтовая карточка. (2 штуки) ;  ;  ;  ;  ; 11 ; A-antik ; 300 
 6083 ; Почтовая карточка. Баку. Летний клубъ ;  ;  ;  ;  ; 15 ; Babasya ; 701 
 6084 ; Почтовая карточка. Баку. Добыча нефти изъ колодцевъ и скважинъ ;  ;  ;  ;  ; 14 ; Babasya ; 701 
 6085 ; Почтовая карточка. С.-Петербургъ ;  ;  ;  ;  ; 12 ; torus72 ; 227 
 6086 ; Почтовая карточка. Петроградъ ;  ;  ;  ;  ; 22 ; flutter ; 1078 
 6087 ; Почтовая карточка ;  ;  ;  ;  ; 11 ; doc2 ; 153 
 6088 ; Почтовая карточка (2 штуки) ;  ;  ;  ;  ; 15 ; doc2 ; 306 
 6089 ; Почтовая карточка ;  ;  ;  ;  ; 8 ; A-antik ; 46 
 6090 ; Почтовая карточка (3 штуки) ;  ;  ;  ;  ; 10 ; guronidze ; 306 
 6091 ; Почтовая карточка Bordeaux ;  ;  ;  ;  ; 9 ; gelo ; 90 
 6092 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; фрегат ; 59 
 6093 ; Почтовая карточка Helsinki ;  ;  ;  ;  ; 7 ; flutter ; 90 
 6094 ; Почтовая карточка Helsinki ;  ;  ;  ;  ; 6 ; igaist ; 102 
 6095 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; фрегат ; 59 
 6096 ; Почтовая карточка ;  ;  ;  ;  ; 5 ; A-antik ; 78 
 6097 ; Почтовая карточка ;  ;  ;  ;  ; 11 ; guronidze ; 100 
 6098 ; Почтовая карточка ;  ;  ;  ;  ; 10 ; фрегат ; 59 
 6099 ; Почтовая карточка ;  ;  ;  ;  ; 10 ; nikolas13 ; 57 
 6100 ; Почтовая карточка ;  ;  ;  ;  ; 9 ; guronidze ; 96 
 6101 ; Почтовая карточка . Gontscharow ;  ;  ;  ;  ; 7 ; nikolas13 ; 45 
 6102 ; Почтовая карточка Suomi ;  ;  ;  ;  ; 3 ; nikolas13 ; 35 
 6103 ; Почтовая карточка ;  ;  ;  ;  ; 5 ; igaist ; 59 
 6104 ; Почтовая карточка. Ленинград ;  ;  ;  ;  ; 9 ; maatt2 ; 59 
 6105 ; Почтовая карточка. Helsinki ;  ;  ;  ;  ; 10 ; кузяка ; 89 
 6106 ; Почтовая карточка. Wallinkoski ;  ;  ;  ;  ; 5 ; nikolas13 ; 35 
 6107 ; Почтовая карточка. Одесса ;  ;  ;  ;  ; 12 ; фрегат ; 63 
 6108 ; Почтовая карточка (до 1917 года, с загибами) ;  ;  ;  ;  ; 5 ; nikolas13 ; 35 
 6109 ; Почтовая карточка. В. Маяковский "Хорошо" ;  ;  ;  ;  ; 9 ; schwab ; 91 
 6110 ; Почтовая карточка. Ташкент (3 штуки) ;  ;  ;  ;  ; 9 ; прохожий ; 207 
 6111 ; Почтовая карточка. Крым (2 штуки) ;  ;  ;  ;  ; 9 ; nikolas13 ; 104 
 6112 ; Почтовая карточка Крым, Бахчисарай (3 штуки) ;  ;  ;  ;  ; 9 ; Dnestr ; 159 
 6113 ; Почтовая карточка. "Бояринъ" ;  ;  ;  ;  ; 15 ; aletta ; 653 
 6114 ; Почтовая карточка. Броненосная лодка "Грозящий" ;  ;  ;  ;  ; 7 ; aletta ; 365 
 6115 ; Почтовая карточка. Крейсер I-го ранга ;  ;  ;  ;  ; 7 ; aletta ; 365 
 6116 ; Почтовая карточка. "Любаша" ;  ;  ;  ;  ; 35 ; Babasya ; 202 
 6117 ; Почтовая карточка (2 штуки) Репродукции Репина И.Е ;  ;  ;  ;  ; 27 ; Babasya ; 199 
 6118 ; Почтовая карточка (2 штуки) Репродукции Семирадского Г.И. ;  ;  ;  ;  ; 10 ; vlad77 ; 126 
 6119 ; Почтовая карточка (2 штуки) Репродукции И.И.Шишкина ;  ;  ;  ;  ; 3 ; Babasya ; 303 
 6120 ; Фотокарточка ;  ;  ;  ;  ; 43 ; doc2 ; 333 
 6121 ; Фотокарточка ;  ;  ;  ;  ; 28 ; doc2 ; 333 
 6122 ; Почтовая карточка. Киевъ ;  ;  ;  ;  ; 18 ; flutter ; 310 
 6123 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 11 ; Babasya ; 204 
 6124 ; Почтовая карточка с гашением. Иматра ;  ;  ;  ;  ; 21 ; igaist ; 88 
 6125 ; Почтовая карточка. Хелсинки ;  ;  ;  ;  ; 19 ; igaist ; 88 
 6126 ; Почтовая карточка. Хельсинки ;  ;  ;  ;  ; 13 ; flutter ; 156 
 6127 ; Почтовая карточка. Luxembourg ;  ;  ;  ;  ; 21 ; gelo ; 90 
 6128 ; Почтовая карточка Karlsbad ;  ;  ;  ;  ; 20 ; vlad77 ; 90 
 6129 ; Почтовая карточка. В.И.Ленин в Кремле ;  ;  ;  ;  ; 7 ; aletta ; 59 
 6030 ; Почтовая карточка ;  ;  ;  ;  ; 3 ; guronidze ; 72 
 6031 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; guronidze ; 106 
 6032 ; Почтовая карточка ;  ;  ;  ;  ; 3 ; guronidze ; 72 
 6033 ; Почтовая карточка. Тамара ;  ;  ;  ;  ; 3 ; Копатыч ; 59 
 6034 ; Почтовая карточка. Шишкин. Мельница ;  ;  ;  ;  ; 12 ; Chatsky ; 153 
 6035 ; Почтовая карточка. Свещенный танецъ ;  ;  ;  ;  ; 5 ; Копатыч ; 67 
 6036 ; Почтовая карточка. "Русалка" ;  ;  ;  ;  ; 5 ; Копатыч ; 67 
 6037 ; Почтовая карточка. Белая ночь ;  ;  ;  ;  ; 5 ; Копатыч ; 67 
 6038 ; Почтовая карточка "Мой Мишка" ;  ;  ;  ;  ; 3 ; Babasya ; 153 
 6039 ; Почтовая карточка "Встреча Наполеона и Бисмарка" ;  ;  ;  ;  ; 3 ; Babasya ; 201 
 6040 ; Почтовая карточка "Прерванное свидание" ;  ;  ;  ;  ; 20 ; Gin2268 ; 185 
 6041 ; Почтовая карточка " Опьянение" ;  ;  ;  ;  ; 7 ; Копатыч ; 138 
 6042 ; Почтовая карточка "Шабашъ" ;  ;  ;  ;  ; 12 ; guronidze ; 306 
 6043 ; Почтовая карточка "Фаворитка" ;  ;  ;  ;  ; 7 ; guronidze ; 123 
 6044 ; Почтовая карточка. С новым годом ;  ;  ;  ;  ; 7 ; doc2 ; 333 
 6045 ; Почтовая карточка. С новым годом ;  ;  ;  ;  ; 4 ; Sky2 ; 206 
 6046 ; Почтовая карточка. Христос воскрес ;  ;  ;  ;  ; 11 ; ЗЛЫДЕНЬКА ; 333 
 6047 ; Почтовая карточка. Христос воскрес ;  ;  ;  ;  ; 7 ; Sky2 ; 151 
 6048 ; Почтовая карточка. Христос воскрес ;  ;  ;  ;  ; 5 ; 333985 ; 150 
 6049 ; Почтовая карточка. Христос воскрес ;  ;  ;  ;  ; 6 ; Babasya ; 303 
 6050 ; Почтовая карточка. Христос воскрес ;  ;  ;  ;  ; 9 ; 333985 ; 227 
 6051 ; Почтовая карточка. Христос воскрес ;  ;  ;  ;  ; 9 ; doc2 ; 333 
 6052 ; Почтовая карточка. Христос воскрес ;  ;  ;  ;  ; 5 ; 333985 ; 148 
 6053 ; Почтовая карточка. Пасха ;  ;  ;  ;  ; 12 ; 333985 ; 159 
 6054 ; Почтовая карточка. Пасха ;  ;  ;  ;  ; 5 ; 333985 ; 150 
 6055 ; Почтовая карточка ;  ;  ;  ;  ; 10 ; фрегат ; 59 
 6056 ; Почтовая карточка ;  ;  ;  ;  ; 10 ; фрегат ; 59 
 6057 ; Почтовая карточка ;  ;  ;  ;  ; 10 ; фрегат ; 65 
 6058 ; Почтовая карточка ;  ;  ;  ;  ; 3 ; guronidze ; 101 
 6059 ; Почтовая карточка ;  ;  ;  ;  ; 10 ; фрегат ; 59 
 6060 ; Почтовая карточка ;  ;  ;  ;  ; 8 ; фрегат ; 59 
 6061 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; фрегат ; 59 
 6062 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; фрегат ; 59 
 6063 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; фрегат ; 59 
 6064 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; фрегат ; 59 
 6065 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; фрегат ; 59 
 6066 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; guronidze ; 101 
 6067 ; Почтовая карточка ;  ;  ;  ;  ; 5 ; nikolas13 ; 57 
 6068 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; фрегат ; 59 
 6069 ; Почтовая карточка. "Мыльные пузыри" ;  ;  ;  ;  ; 11 ; SWRUS ; 67 
 6070 ; Почтовая карточка. Milano ;  ;  ;  ;  ; 5 ; igaist ; 59 
 6071 ; Почтовая карточка ;  ;  ;  ;  ; 3 ; igaist ; 59 
 6072 ; Почтовая карточка "Вид съ  Швейцарского домика" ;  ;  ;  ;  ; 3 ; igaist ; 59 
 6073 ; Фотокарточка (3 штуки) ;  ;  ;  ;  ; 23 ; guronidze ; 137 
 6074 ; Почтовая карточка ;  ;  ;  ;  ; 9 ; Terem ; 16 
 6075 ; Лот Почтовых карточек (фотокарточки 2 штуки) ;  ;  ;  ;  ; 22 ; doc2 ; 367 
 6076 ; Почтовая карточка Marilyn Monroe ;  ;  ;  ;  ; 7 ; doc2 ; 204 
 6077 ; Почтовая карточка Marilyn Monroe ;  ;  ;  ;  ; 3 ; A-antik ; 57 
 6078 ; Почтовая карточка Marilyn Monroe ;  ;  ;  ;  ; 7 ; A-antik ; 227 
 6079 ; Почтовая карточка Marilyn Monroe ;  ;  ;  ;  ; 7 ; doc2 ; 204 
 5904 ; Нотгельд. Германия ; 1921 ;  ;  ;  ; 20 ; sos1 ; 160 
 5905 ; Нотгельд. Германия ; 1917 ;  ;  ;  ; 16 ; von_Schwarz ; 261 
 5906 ; Нотгельд. Германия ; 1921 ;  ;  ;  ; 21 ; Майкл ; 306 
 5907 ; Лот нотгельдов. Германия. 4 шт. в сцепке ;  ;  ;  ;  ; 31 ; Ok203 ; 714 
