 40 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 44 ; Продано в зале ; 1400 
 41 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF ; 31 ; 13_09 ; 3122 
 42 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; XF- ; 49 ; dsa ; 3118 
 43 ; 3 копейки ; 1903 ; СПБ ; Cu ; AU ; 26 ; Lisik ; 9292 
 44 ; 2 копейки ; 1764 ; СПМ ; Cu ; VF+ ; 25 ; S.P. ; 1292 
 45 ; 2 копейки ; 1802 ; ЕМ ; Cu ; XF ; 30 ; ГдРъ ; 13259 
 46 ; 2 копейки ; 1842 ; СМ ; Cu ; XF- ; 8 ; Lisik ; 2267 
 47 ; 2 копейки ; 1838 ; ЕМ НА ; Cu ; XF ; 34 ; Kardinal и бабушка ; 18134 
 48 ; Копейка ; 1713 ; М Д ; Cu ; VF+ ; 14 ; Продано в зале ; 3400 
 49 ; Копейка (Петров - 20р, Ильин - 8р) ; 1724 ;  ; Cu ; F-VF ; 68 ; andreyx  ; 128407 
 50 ; Копейка (Ильин-1р) ; 1805 ; ЕМ ; Cu ; VF ; 47 ; Продано в зале ; 18000 
