 53 ; Гривенник ; 1770 ; ММД ; Ag ; VF+ ; 27 ; Продано в зале ; 15000 
 54 ; Гривенник ; 1771 ; СПБ TI ; Ag ; VF+ ; 18 ; ОМВ ; 2100 
 55 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; XF- ; 32 ; Продано в зале ; 2100 
 56 ; 10 копеек ; 1835 ; СПБ НГ ; Ag ; VF+ ; 16 ; нумизмат ; 3800 
 57 ; 10 копеек ; 1836 ; СПБ НГ ; Ag ; VF+ ; 7 ; Продано в зале ; 2300 
 58 ; 10 копеек ; 1838 ; СПБ НГ ; Ag ; VF+ ; 17 ; Продано в зале ; 1700 
 59 ; 10 копеек ; 1839 ; СПБ НГ ; Ag ; VF-XF ; 13 ; 123568 ; 2043 
 60 ; 10 копеек ; 1840 ; СПБ НГ ; Ag ; VF+ ; 19 ; Продано в зале ; 2800 
 61 ; 10 копеек ; 1842 ; СПБ АЧ ; Ag ; VF+ ; 41 ; Дурындин ; 5135 
 62 ; 10 копеек ; 1844 ; СПБ КБ ; Ag ; XF- ; 14 ; Продано в зале ; 5000 
 63 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 18 ; 199199 ; 4800 
 64 ; 10 копеек ; 1847 ; СПБ ПА ; Ag ; AU/XF ; 17 ; Продано в зале ; 2800 
 65 ; 10 копеек ; 1849 ; СПБ ПА ; Ag ; VF-XF ; 65 ; taa ; 3060 
 66 ; 10 копеек (Ильин - 3р) ; 1849 ; СПБ ПА ; Ag ; VF ; 38 ; Продано в зале ; 25000 
 67 ; 10 копеек ; 1849 ; СПБ ПА ; Ag ; XF- ; 29 ; Продано в зале ; 50000 
 68 ; 10 копеек ; 1852 ; СПБ ПА ; Ag ; AU/XF ; 16 ; sdfg ; 6555 
 69 ; 10 копеек ; 1853 ; СПБ HI ; Ag ; XF+ ; 53 ; sdfg ; 5100 
 70 ; 10 копеек ; 1854 ; СПБ HI ; Ag ; VF-XF ; 38 ; Дурындин ; 4000 
 71 ; 10 копеек ; 1855 ; MW ; Ag ; VF-XF ; 74 ; Продано в зале ; 47000 
 72 ; 10 копеек ; 1856 ; СПБ НФ ; Ag ; AU ; 15 ; Продано в зале ; 3500 
 73 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 36 ; нумизмат ; 4581 
 74 ; 10 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 31 ; нумизмат ; 4740 
 75 ; 5 копеек ; 1758 ; СПБ ; Ag ; VF+ ; 15 ; Lisik ; 2556 
 76 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; VF-XF ; 26 ; Продано в зале ; 14000 
 77 ; 5 копеек (Петров-2р, Ильин-3р) ; 1811 ; СПБ ФГ ; Ag ; VF+ ; 40 ; Дурындин ; 20402 
 78 ; 5 копеек ; 1836 ; СПБ НГ ; Ag ; XF+ ; 18 ; Продано в зале ; 2000 
 79 ; 5 копеек ; 1846 ; СПБ ПА ; Ag ; XF ; 21 ; Продано в зале ; 3800 
 80 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; XF+ ; 19 ; Продано в зале ; 2800 
 81 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 15 ; Продано в зале ; 4200 
 82 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 25 ; sdfg ; 5400 
 83 ; 2 злотых ; 1818 ; IB Польша ; Ag ; VF+ ; 49 ; Продано в зале ; 3400 
 84 ; 2 злотых ; 1821 ; IB Польша ; Ag ; VF+ ; 49 ; Продано в зале ; 4200 
 85 ; 2 злотых ; 1823 ; IB Польша ; Ag ; XF- ; 16 ; VAG ; 16000 
 86 ; 2 марки ; 1865 ; S Финляндия ; Ag ; XF- ; 32 ; федя ; 1509 
 87 ; 2 марки ; 1872 ; S Финляндия ; Ag ; XF ; 30 ; leo 2 ; 2856 
 88 ; 1 марка ; 1864 ; S Финляндия ; Ag ; VF-XF ; 29 ; арбат ; 7200 
 89 ; 1 марка ; 1865 ; S Финляндия ; Ag ; AU/XF ; 24 ; verunk1 ; 4386 
 90 ; 1 марка ; 1866 ; S Финляндия ; Ag ; AU ; 23 ; verunk1 ; 3800 
 91 ; 1 марка ; 1890 ; L Финляндия ; Ag ; XF ; 3 ; igors1969 ; 1015 
 92 ; 50 пенни ; 1864 ; S Финляндия ; Ag ; VF-XF ; 15 ; Продано в зале ; 3400 
 93 ; 50 пенни ; 1872 ; S Финляндия ; Ag ; XF ; 14 ; нумизмат ; 1632 
 94 ; 50 пенни ; 1890 ; L Финляндия ; Ag ; AU ; 18 ; elac ; 3570 
 95 ; 25 пенни ; 1866 ; S Финляндия ; Ag ; VF-XF ; 7 ; Продано в зале ; 800 
 96 ; 25 пенни ; 1868 ; S Финляндия ; Ag ; VF+ ; 21 ; Продано в зале ; 15600 
 97 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 40 ; Алексей Викторович ; 8443 
 98 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 15 ; Продано в зале ; 5100 
 99 ; 5 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 32 ; OMT ; 4194 
 100 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 22 ; Karajan ; 7264 
 1 ; Полтина. М-0,83г ; 1756 ;  ; Au ; XF ; 41 ; Дурындин ; 41819 
 2 ; 20 марок. М-6,45г ; 1878 ; S Финляндия ; Au ; AU ; 14 ; себер ; 19380 
 3 ; 20 марок. М-6,45г ; 1880 ; S Финляндия ; Au ; AU ; 43 ; hugo ; 49391 
 4 ; 10 марок. М-3,22г ; 1878 ; S Финляндия ; Au ; AU ; 9 ; Продано в зале ; 13000 
 5 ; 10 марок. М-3,22г ; 1879 ; S Финляндия ; Au ; AU ; 9 ; Продано в зале ; 13000 
 6 ; 3 рубля. М-10,28г ; 1834 ; СПБ ; Pt ; VF+ ; 37 ; Дурындин ; 67320 
 7 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; VF-XF ; 28 ; Продано в зале ; 10000 
 8 ; 1,5 рубля-10 злотых ; 1836 ; НГ Рус.-Пол. ; Ag ; XF ; 34 ; Lisik ; 18852 
 9 ; Рубль ; 1721 ; K ; Ag ; VF+ ; 14 ; a_kog ; 46588 
 10 ; Рубль ; 1725 ;  ; Ag ; VF+ ; 27 ; inveterate ; 29229 
 11 ; Рубль ; 1727 ; СПБ ; Ag ; VF ; 21 ; 86300 ; 23600 
 12 ; Рубль ; 1752 ; СПБ ЯI ; Ag ; VF+ ; 8 ; aleks-2007 ; 18411 
 13 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF+ ; 40 ; Продано в зале ; 29000 
 14 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; XF+ ; 30 ; Продано в зале ; 32000 
 15 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF- ; 16 ; aleks-2007 ; 16000 
 16 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; VF-XF ; 14 ; aleks-2007 ; 13878 
 17 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF- ; 7 ; Galal ; 20402 
 18 ; Рубль ; 1813 ; СПБ ПС ; Ag ; XF- ; 37 ; Продано в зале ; 6500 
 19 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF- ; 17 ; нумизмат ; 7650 
 20 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF ; 32 ; Продано в зале ; 6500 
 21 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF ; 21 ; Lisik ; 10000 
 22 ; Рубль (Петров-3р) ; 1866 ; СПБ HI ; Ag ; XF- ; 19 ; Lisik ; 81000 
 23 ; Рубль ; 1869 ; СПБ HI ; Ag ; XF- ; 22 ; Дурындин ; 52020 
 24 ; Рубль ; 1915 ; (ВС) ; Ag ; AU ; 17 ; Lisik ; 22440 
 25 ; Полтина ; 1734 ;  ; Ag ; VF ; 35 ; OMT ; 17617 
 26 ; Полтина ; 1814 ; СПБ МФ ; Ag ; VF-XF ; 9 ; Lisik ; 7933 
 27 ; Полтина ; 1815 ; СПБ МФ ; Ag ; VF+ ; 27 ; Lisik ; 12000 
 28 ; Полтина ; 1818 ; СПБ ПС ; Ag ; VF-XF ; 21 ; Lisik ; 6640 
 29 ; Полтина ; 1853 ; СПБ HI ; Ag ; XF- ; 19 ; Продано в зале ; 6000 
 30 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; XF+ ; 15 ; Продано в зале ; 4700 
 31 ; 25 копеек ; 1833 ; СПБ НГ ; Ag ; XF- ; 27 ; нумизмат ; 6000 
