 6637 ; Собрание сочинений И.А. Гончарова. Том 2. Санкт-Петербург. 1912 год. ;  ;  ;  ;  ; 21 ; sdasda ; 370 
 6638 ; Собрание сочинений И.А. Гончарова. Том 4. Санкт-Петербург. 1912 год. ;  ;  ;  ;  ; 11 ; sdasda ; 295 
 6639 ; Собрание сочинений И.А. Гончарова. Том 5. Санкт-Петербург. 1912 год. ;  ;  ;  ;  ; 9 ; vorgarik ; 293 
 6640 ; Собрание сочинений И.А. Гончарова. Том 6. Санкт-Петербург. 1912 год. ;  ;  ;  ;  ; 8 ; sdasda ; 306 
 6641 ; Собрание сочинений И.А. Гончарова. Том 7. Санкт-Петербург. 1912 год. ;  ;  ;  ;  ; 30 ; sdasda ; 612 
 6642 ; Собрание сочинений И.А. Гончарова. Том 9. Санкт-Петербург. 1912 год. ;  ;  ;  ;  ; 5 ; vorgarik ; 208 
 6643 ; Полное собрание сочинений А.В. Кольцова. Выпуск 1. С-Петербург. 1909 год. ;  ;  ;  ;  ; 49 ; sdasda ; 1822 
 6644 ; Собрание сочинений Александра Блока. Том 4.  АЛКОНОСТ ;  ;  ;  ;  ; 9 ; Valera72 ; 805 
 6645 ; Сочинения В.Жуковского. Том 4. С-Петербург. 1885 год. ;  ;  ;  ;  ; 35 ; Calman ; 461 
 6646 ; Малый географический атлас. Москва-Ленинград. 1928 год. ;  ;  ;  ;  ; 7 ; doc2 ; 338 
 6647 ; Рабочие машиностроительные чертежи. Москва. 1933 год ;  ;  ;  ;  ; 31 ; yuri.gruzdev ; 494 
 6648 ; Журнал Новый мир. Декабрь 1939. Москва. ;  ;  ;  ;  ; 5 ; sdasda ; 113 
 6649 ; В.Ф. Каган. Лобачевский. Москва-Ленинград. 1944 год. ;  ;  ;  ;  ; 3 ; Meshok ; 82 
 6650 ; В.Шекспир. Полное собрание сочинений. Том 6. Гослитиздат. 1941 год. ;  ;  ;  ;  ; 62 ; yuri.gruzdev ; 1530 
 6651 ; Курс начертательной геометрии. Составлен В.И. Курдюмов. С-Петербург. 1897 год. ;  ;  ;  ;  ; 24 ; GIP77 ; 153 
 6652 ; Е.Анисимов. Хронология российской истории. С-Петербург. 2013 год. ;  ;  ;  ;  ; 7 ; ask ; 159 
 6653 ; Е Анисимов. Императорская Россия. С-Петербург. 2015 год. ;  ;  ;  ;  ; 27 ; mask ; 354 
 6654 ; Вымпел ДСО СПАРТАК. Олимпиада 80. ;  ;  ;  ;  ; 27 ; никсер ; 449 
 6655 ; Вымпел Ленинградский городской совет ДСО СПАРТАК ;  ;  ;  ;  ; 9 ; makcpeyn100 ; 204 
 6656 ; Зажим для бумаги. ;  ;  ;  ;  ; 24 ; antiquar ; 340 
 6539 ; Журнал "Советский филателист" № 1 (53). Москва январь 1926г ;  ;  ;  ;  ; 25 ; cr5400 ; 363 
 6540 ; Журнал "Советский филателист" № 3 (55). Москва март 1926г ;  ;  ;  ;  ; 12 ; NNN ; 400 
 6541 ; Журнал "Советский филателист" № 4 (55). Москва апрель 1926г ;  ;  ;  ;  ; 11 ; cr5400 ; 362 
 6542 ; Журнал "Советский филателист" № 5 (57). Москва май 1926г ;  ;  ;  ;  ; 11 ; cr5400 ; 362 
 6543 ; Журнал "Советский филателист" № 6 (57). Москва июнь 1926г ;  ;  ;  ;  ; 9 ; cr5400 ; 363 
 6544 ; Журнал "Советский филателист" № 7 (59). Москва июль1926г ;  ;  ;  ;  ; 9 ; cr5400 ; 373 
 6545 ; Журнал "Советский филателист" № 2 (54). Москва февраль 1926г ;  ;  ;  ;  ; 9 ; cr5400 ; 363 
 6546 ; Журнал "Советский филателист" № 8 (60). Москва август 1926г ;  ;  ;  ;  ; 11 ; cr5400 ; 373 
 6547 ; Журнал "Советский филателист" № 11 (63). Москва ноябрь 1926г ;  ;  ;  ;  ; 11 ; cr5400 ; 363 
 6548 ; Оптовый лот. 13 книг (коробка). Куда уходят деньги? В. Е. Семенов ;  ;  ;  ;  ; 9 ; альф13 ; 1022 
 6549 ; Оптовый лот. 10 книг. Русские деньги X-XVII вв. Редакция 7, 2019. В. Е. Семенов ;  ;  ;  ;  ; 5 ; оптовичок ; 414 
 6550 ; Оптовый лот, 20 книг (коробка). Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 19 ; альф13 ; 1878 
 6551 ; Оптовый лот. 8 книг (коробка). Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 18 ; guronidze ; 1616 
 6552 ; Оптовый лот. 8 книг (2 коробки).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 26 ; альф13 ; 3397 
 6601 ; Ваза фарфоровая MEISSEN (Мейсен) Германия. ;  ;  ;  ;  ; 28 ; Sammler ; 5731 
 6602 ; Фарфоровая статуэтка Мальчик с дудкой. MEISSEN (Мейсен) Герман. ;  ;  ;  ;  ; 29 ; Vova1950 ; 31100 
 6603 ; Фарфоровая статуэтка Мальчик на барабане. ROYAL COPENHAGEN. Дания. ;  ;  ;  ;  ; 30 ; giwi ; 2493 
 6604 ; Карманные часы LONGINES, золото. Швейцария. ;  ;  ; Au585 ;  ; 65 ; Kosmas ; 68979 
 6605 ; Часы наручные Эра, корпус золото. СССР. ;  ;  ; Au583 ;  ; 26 ; Дачникк ; 9842 
 6606 ; Набор серебряных стопок Москва 6 шт в подарочной коробке. Серебро, эмаль, золочение. 1955 год. ;  ;  ; Ag915 ;  ; 41 ; Kosmas ; 32347 
 6607 ; Статуэтка Сеттер. Монументскульптура, Г. Ветютнев. Ленинград. 1956 год. ;  ;  ; Ж/м ;  ; 58 ; sheff78 ; 8466 
 6608 ; Кольцо женское, золото с камнем. СССР. ;  ;  ; Au583 ;  ; 91 ; krocsi ; 10406 
 6609 ; Серьги, золото с камнем. СССР. ;  ;  ; Au583 ;  ; 38 ; krocsi ; 6120 
 6610 ; Серьги пусеты, золото с камнем. СССР. ;  ;  ; Au583 ;  ; 57 ; giwi ; 5667 
 6611 ; Кошелек, серебро, эмаль. Европа. ;  ;  ; Ag813 ;  ; 20 ; никсер ; 7900 
 6612 ; Сливочник, серебро. Англия. ;  ;  ; Ag925 ;  ; 25 ; XTA ; 4600 
 6613 ; Стакан серебро 84, надпись Л-ту Степанову Б.М. от  К-тов 39 взв. ;  ;  ; Ag84 ;  ; 28 ; Гектор8 ; 3276 
 6614 ; Нож для сыра, ручка серебро 84, клеймо БР.ГР. (Братья Грачевы) ;  ;  ; Ag84 ;  ; 22 ; antongor ; 2043 
 6615 ; Две рюмки, серебро 84. РИ. ;  ;  ; Ag84 ;  ; 85 ; $круджЪ ; 4029 
 6616 ; Ложка разливательная, серебро. СССР. ;  ;  ; Ag916 ;  ; 29 ; Meshok ; 1841 
 6617 ; Лопатка для сыра, ручка серебро. Европа ;  ;  ; Ag813 ;  ; 23 ; Meshok ; 917 
 6618 ; Солонка серебро. ;  ;  ; Ag800 ;  ; 21 ; DeemTeem ; 1383 
 6619 ; Открывашка, ручка серебро. Европа. ;  ;  ; Ag830 ;  ; 27 ; nic27 ; 1567 
 6620 ; Браслет серебро, чернение. ;  ;  ; Ag875 ;  ; 7 ; sergant74 ; 922 
 6621 ; Ситечко для чая, серебро. ;  ;  ; Ag875 ;  ; 11 ; Дачникк ; 726 
 6622 ; Ложка столовая серебро. Европа ;  ;  ; Ag800 ;  ; 9 ; ratiandr ; 1501 
 6623 ; Ложка чайная серебро 84. ;  ;  ; Ag84 ;  ; 13 ; Гектор8 ; 1191 
 6624 ; Ложка чайная серебро 84. ;  ;  ; Ag84 ;  ; 40 ; antongor ; 1230 
 6625 ; Вилочка десертная, серебро 84. ;  ;  ; Ag84 ;  ; 17 ; Rumpel ; 450 
 6626 ; Вилочка для лимона, серебро, эмаль. ;  ;  ; Ag875 ;  ; 18 ; Приор ; 510 
 6627 ; Ладанка Николай Чудотворец, серебро. ;  ;  ; Ag925 ;  ; 58 ; giwi ; 3154 
 6628 ; Лот запанок 2 шт, серебро 84. ;  ;  ; Ag84 ;  ; 75 ; Леонс ; 3070 
 6629 ; Штопор для вина, серебрение. Европа ;  ;  ; Ж/м ;  ; 126 ; МАХАЙРА ; 3053 
 6630 ; Часы наручные женскике ULYSSE NARDIN в оригинальном футляре. Швейцария. ;  ;  ;  ;  ; 43 ; igaist ; 6100 
 6631 ; Бутылка Калинкинъ С.Петербургъ. ;  ;  ;  ;  ; 24 ; Astra0000 ; 1427 
 6632 ; Фотоаппарат Фотокор-1 в кофре. ;  ;  ;  ;  ; 20 ; Дачникк ; 2788 
 6633 ; Чеканка греко-римские мотивы. ;  ;  ; Ж/м ;  ; 135 ; МАХАЙРА ; 24059 
 6634 ; Накладка. ;  ;  ; Ж/м ;  ; 25 ; Fest ; 909 
 6635 ; Пуговица РИ. ;  ;  ; Ж/м ;  ; 13 ; spbpetrovich ; 104 
 6636 ; Собрание сочинений И.А. Гончарова. Том 1. Санкт-Петербург. 1912 год. ;  ;  ;  ;  ; 27 ; sdasda ; 354 
 6489 ; Лист КЛБ-4 в альбом Optima, на 4 банкноты. Упаковка (10 шт.). Сомс, #2025004 ;  ;  ;  ;  ; 14 ; DormiDont ; 175 
 6490 ; Разделитель картонный в альбом OPTIMA. Упаковка (50 шт.). Lindner ;  ;  ;  ;  ; 26 ; DormiDont ; 352 
 6491 ; Лист КЛМ-35С в альбом Optima на 35 монет, скользящий. Упаковка (5 шт.). Сомс, #2025013 ;  ;  ;  ;  ; 7 ; vorgarik ; 155 
 6492 ; Лист для монет треста Арктикуголь и Тувинской народной республики. Россия, #Р006 ;  ;  ;  ;  ; 42 ; мартин ; 207 
 6493 ; Лист NUMIS NH30N в альбом на 30 монет. (Упаковка 5 шт.) Leuchtturm, #305956 ;  ;  ;  ;  ; 8 ; кравчий ; 135 
 6494 ; Лист NUMIS NH20N в альбом на 20 монет. (Упаковка 5 шт.). Leuchtturm, #323100 ;  ;  ;  ;  ; 7 ; aviator55 ; 135 
 6495 ; Листы LK 2 в альбом Karat для монет, на 12 ячеек. Упаковка (10 шт.) Lindner ;  ;  ;  ;  ; 11 ; aleks1753 ; 126 
 6496 ; Планшет на 21 монету серии - 70-летие Победы в Великой Отечественной войне, 2014 год ;  ;  ;  ;  ; 11 ; Meshok ; 63 
 6497 ; Альбом R010801/48 на 48 монет, с листами. ;  ;  ;  ;  ; 13 ; num ; 138 
 6498 ; Базовый каталог "Монеты России 1700-1917 гг", В. Е. Семенов. Выпуск - 2019 год, 17 редакция. Подарочное издание ;  ;  ;  ;  ; 41 ; murew ; 1507 
 6499 ; Базовый каталог "Монеты России 1700-1917 гг", В. Е. Семенов. Выпуск - 2019 год, 17 редакция. Подарочное издание ;  ;  ;  ;  ; 18 ; murew ; 1700 
 6500 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 15 ; niger ; 309 
 6501 ; Псевдонимы российского рубля ;  ;  ;  ;  ; 22 ; SpAi ; 76 
 6502 ; В.Е. Семенов. Куда уходят деньги ;  ;  ;  ;  ; 21 ; basil ; 150 
 6503 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 13 ; $круджЪ ; 459 
 6504 ; Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 19 ; $круджЪ ; 306 
 6505 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 5 ; Vinchi ; 76 
 6506 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 7 ; Russman ; 57 
 6507 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 7 ; Russman ; 57 
 6508 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 8 ; Чуча ; 69 
 6509 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 13 ; milanamn ; 73 
 6510 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 40 ; gentlemandk ; 72 
 6511 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, март 2020 год ;  ;  ;  ;  ; 34 ; прохожий ; 255 
 6512 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, март 2020 год ;  ;  ;  ;  ; 40 ; LEXAI ; 258 
 6513 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, март 2020 год ;  ;  ;  ;  ; 35 ; gentlemandk ; 258 
 6514 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 13 ; $круджЪ ; 181 
 6515 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 10, 2014 год ;  ;  ;  ;  ; 17 ; gdrg2 ; 80 
 6516 ; Каталог-справочник. Монеты Киргизии, Таджикистана, Туркменистана и Узбекистана. Редакция 1, 2019 год ;  ;  ;  ;  ; 16 ; Чуча ; 114 
