 378 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 5 ; aae2006 ; 1100 
 379 ; Полтина ; 1851 ; СПБ ПА ; Ag ; XF+ ; 17 ; 462 ; 6324 
 380 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; AU ; 7 ; Участник № 133 ; 1200 
 381 ; Полтина ; 1853 ; СПБ HI ; Ag ; AU ; 38 ; Участник № 62 ; 22000 
 382 ; 25 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 7 ; ААФ ; 3060 
 383 ; 5 копеек (Ильин-3р) ; 1853 ; ВМ ; Cu ; F-VF ; 20 ; max7421 ; 7650 
 384 ; Рубль ; 1854 ; СПБ HI ; Ag ; VF-XF ; 16 ; elac ; 9364 
 385 ; 25 копеек ; 1854 ; СПБ HI ; Ag ; XF+/XF ; 17 ; 462 ; 4778 
 386 ; Рубль ; 1855 ; СПБ HI ; Ag ; VF-XF ; 15 ; elac ; 7477 
 387 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 5 ; hummer ; 4600 
 388 ; 3 копейки (Ильин-1р) ; 1858 ; ВМ ; Cu ; VF-XF ; 15 ; S.r.l. ; 8415 
 389 ; 2 копейки ; 1858 ; ВМ ; Cu ; VF+ ; 15 ; Участник № 114 ; 5500 
 390 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 5 ; hummer ; 5000 
 391 ; Копейка ; 1859 ; ВМ ; Cu ; VF-XF ; 9 ; Участник № 132 ; 1700 
 392 ; Денежка ; 1862 ; ВМ ; Cu ; VF-XF ; 12 ; S.r.l. ; 2400 
 393 ; 25 пенни. Редкая датировка ; 1867 ; S Финляндия ; Ag ; VF ; 25 ; Участник № 9 ; 32000 
 394 ; 25 пенни. Редкая датировка ; 1868 ; S Финляндия ; Ag ; VF-XF ; 42 ; Участник № 9 ; 29000 
 395 ; 3 рубля ; 1869 ; СПБ НI ; Au ; XF+ ; 25 ; 4758 ; 89433 
 396 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; XF ; 14 ; Участник № 30 ; 3300 
 397 ; 1 пенни. Редкая датировка ; 1870 ; Финляндия ; Cu ; AU ; 21 ; Участник № 30 ; 14000 
 398 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 18 ; S.r.l. ; 5253 
 399 ; 10 марок ; 1878 ; S Финляндия ; Au ; AU ; 26 ; S.r.l. ; 14936 
 400 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; VF-XF ; 23 ; ksv11 ; 2652 
 301 ; Рубль ; 1912 ; На столетие отечественной войн ; Ag ; XF+ ; 23 ; Участник № 133 ; 60000 
 302 ; 1 золотн. ;  ; АД ; Ag ; XF+ ; 32 ; boroda ; 10076 
 303 ; Медаль. За благонравие и успехи в науке. Государыня императрица Мария Федоровна ;  ;  ; Ag ; VF-XF ; 9 ; aae2006 ; 6500 
 304 ; Кирасирский талер. В честь 25-летия Николая I в качестве шефа 6-го Кирасирского-бранденбургского полка ; 1842 ;  ; Ag ; Proof-Like ; 38 ; Участник № 9 ; 21000 
 305 ; Денга ; 1703 ;  ; Cu ; VF- ; 9 ; Участник № 168 ; 1800 
 306 ; Алтын ; 1704 ; БК ; Ag ; VF-XF ; 26 ; kol200 ; 7194 
 307 ; Копейка (Ильин-3р) ; 1704 ; БК ; Cu ; F+ ; 12 ; sts ; 1122 
 308 ; Копейка ; 1707 ; Б  К ; Cu ; VF ; 11 ; Участник № 168 ; 7000 
