 126 ; 2 копейки. В капсуле PCGS ; 1798 ; КМ ; Cu ;  ; 21 ; il468 ; 3288 
 127 ; 2 копейки ; 1799 ; ЕМ ; Cu ; XF ; 22 ; 😺 ; 1050 
 128 ; 2 копейки ; 1801 ; КМ ; Cu ; XF ; 47 ; 25 ; 5000 
 129 ; 2 копейки ; 1838 ; СМ ; Cu ; XF ; 53 ; Продано в зале ; 32000 
 130 ; 2 копейки ; 1840 ; СПМ ; Cu ; XF- ; 46 ; Кит7 ; 4000 
 131 ; 2 копейки ; 1852 ; ЕМ ; Cu ; VF+ ; 11 ; velisarit ; 2856 
 132 ; 2 копейки ; 1872 ; ЕМ ; Cu ; XF ; 24 ; Druja ; 2900 
 133 ; Копейка ; 1705 ; МД ; Cu ; VF ; 36 ; Sky2 ; 3000 
 134 ; Копейка ; 1707 ; БК ; Cu ; F+ ; 43 ; yuio ; 6750 
 135 ; Копейка ; 1714 ; МД ; Cu ; VF ; 31 ; Продано в зале ; 4400 
 136 ; Копейка ; 1715 ; МД ; Cu ; VF ; 26 ; cr67 ; 1600 
 137 ; Копейка (Петров - 3р. Ильин - 3р.) ; 1813 ; КМ АМ ; Cu ; F+ ; 30 ; Kupferberg ; 7000 
 138 ; Копейка ; 1837 ; ЕМ НА ; Cu ; VF+ ; 17 ; Лрс 21,12 ; 2210 
 139 ; Копейка ; 1852 ; ЕМ ; Cu ; VF-XF ; 24 ; anna53 ; 1150 
 140 ; Копейка ; 1858 ; ВМ Венз.уже ; Cu ; XF ; 61 ; Продано в зале ; 25000 
 141 ; Копейка ; 1868 ; ЕМ ; Cu ; XF ; 36 ; Продано в зале ; 8500 
 142 ; Копейка ; 1891 ; СПБ ; Cu ; AU ; 72 ; ZOLTAN333 ; 9000 
 143 ; Копейка ; 1899 ; СПБ ; Cu ; AU ; 44 ; побулица ; 1577 
 144 ; Копейка ; 1900 ; СПБ ; Cu ; AU ; 31 ; coinsru ; 3185 
 145 ; Копейка ; 1905 ; СПБ ; Cu ; AU ; 28 ; Продано в зале ; 5000 
 146 ; Денга (Петров - 20р. Ильин - 15р.) ; 1709 ;  ; Cu ; VG ; 52 ; Продано в зале ; 3700 
 147 ; Денга ; 1714 ;  ; Cu ; VF+ ; 45 ; 25 ; 15000 
 148 ; Денга ; 1731 ;  ; Cu ; VF+ ; 31 ; Лрс 21,12 ; 4080 
 149 ; Денга ; 1778 ; КМ "Сибирь" ; Cu ; VF- ; 20 ; CapsulЪ ; 1599 
 150 ; Денга ; 1791 ; КМ ; Cu ; VF+ ; 41 ; Лрс 21,12 ; 1530 
 51 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 44 ; yuio ; 4200 
 52 ; 5 копеек ; 1824 ; СПБ ПД ; Ag ; XF- ; 49 ; nik41 ; 1700 
 53 ; 5 копеек ; 1829 ; СПБ НГ ; Ag ; XF- ; 29 ; alex-54 ; 15000 
 54 ; 5 копеек ; 1831 ; СПБ НГ ; Ag ; AU ; 114 ; yuio ; 52500 
 55 ; 5 копеек ; 1834 ; СПБ НГ ; Ag ; AU/XF ; 46 ; Продано в зале ; 3500 
 56 ; 5 копеек ; 1838 ; СПБ НГ ; Ag ; XF ; 41 ; ВС ; 1700 
 57 ; 5 копеек ; 1840 ; СПБ НГ ; Ag ; XF ; 29 ; Продано в зале ; 2900 
 58 ; 5 копеек ; 1842 ; СПБ АЧ ; Ag ; VF-XF ; 23 ; CapsulЪ ; 5000 
 59 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 34 ; Продано в зале ; 4000 
 60 ; 5 копеек ; 1846 ; СПБ ПА ; Ag ; XF+ ; 39 ; fgd ; 5000 
 61 ; 5 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 21 ; Продано в зале ; 3200 
 62 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 38 ; Продано в зале ; 3500 
 63 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 30 ; icebreaker ; 4662 
 64 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; XF ; 21 ; AlexMar ; 3000 
 65 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; AU ; 48 ; Продано в зале ; 6500 
 66 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; XF ; 13 ; CapsulЪ ; 2151 
 67 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; XF+ ; 27 ; cr67 ; 2600 
 68 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; XF+ ; 24 ; Druja ; 2900 
 69 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 46 ; Продано в зале ; 4200 
 70 ; 5 копеек ; 1871 ; СПБ HI ; Ag ; XF+ ; 24 ; cr67 ; 2300 
 71 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 84 ; 😺 ; 10500 
 72 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 27 ; Продано в зале ; 5200 
 73 ; 5 копеек ; 1877 ; СПБ HI ; Ag ; XF+ ; 43 ; Druja ; 3400 
 74 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; XF- ; 20 ; cr67 ; 1250 
 75 ; 5 копеек ; 1881 ; СПБ НФ ; Ag ; AU ; 30 ; yuio ; 5000 
 76 ; 5 копеек ; 1883 ; СПБ АГ ; Ag ; AU ; 82 ; coinsru ; 14500 
 77 ; 5 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 27 ; 😺 ; 3200 
 78 ; 5 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 48 ; Продано в зале ; 2400 
 79 ; 5 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 28 ; 😺 ; 1650 
 80 ; 5 копеек ; 1897 ; СПБ АГ ; Ag ; AU ; 46 ; vic-dmitri ; 2500 
 81 ; 5 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 34 ; Продано в зале ; 28000 
 82 ; 5 копеек ; 1901 ; СПБ АР ; Ag ; AU ; 47 ; yuio ; 7500 
 83 ; Алтын ; 1704 ; БК ; Ag ; VF+ ; 24 ; vic-dmitri ; 9500 
 84 ; 10 грошей В капсуле NGC ; 1840 ; MW Рус.-Пол. ; Ag ;  ; 27 ; Продано в зале ; 4200 
 85 ; 10 копеек (Петров-5р. Ильин-3р.) ; 1767 ; "Сибирь" ; Cu ; VF- ; 31 ; Продано в зале ; 13000 
 86 ; 10 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF-XF ; 15 ; Diatez ; 8500 
 87 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF ; 30 ; vic-dmitri ; 12500 
 88 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF- ; 23 ; habibbulin ; 14500 
 89 ; 10 копеек (Петров 1р.) ; 1780 ; КМ "Сибирь" ; Cu ; VF+ ; 31 ; cr67 ; 7500 
 90 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF+ ; 54 ; Продано в зале ; 16000 
 91 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF ; 67 ; Diatez ; 15500 
 92 ; 5 копеек ; 1761 ;  ; Cu ; VF+ ; 26 ; золант ; 2100 
 93 ; 5 копеек (Петров 1р) ; 1767 ; КМ "Сибирь" ; Cu ; VF+ ; 25 ; 😺 ; 6750 
 94 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF-XF ; 37 ; CapsulЪ ; 6500 
 95 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; XF ; 44 ; Diatez ; 8500 
 96 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF- ; 48 ; CapsulЪ ; 6500 
 97 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 15 ; habibbulin ; 7140 
 98 ; 5 копеек ; 1782 ; КМ ; Cu ; VF+ ; 42 ; CapsulЪ ; 3800 
 99 ; 5 копеек ; 1785 ; КМ ; Cu ; XF- ; 25 ; Diatez ; 4000 
 100 ; 5 копеек ; 1786 ; КМ ; Cu ; XF- ; 27 ; а1945 ; 5500 
 1 ; 2 рубля. М-3,24г ; 1756 ;  ; Au ; XF ; 51 ; Продано в зале ; 125000 
 2 ; Рубль ; 1723 ; ОК ; Ag ; VF+ ; 56 ; ValeriyL ; 51335 
 3 ; Рубль ; 1723 ;  ; Ag ; VF+ ; 43 ; Reichard ; 29850 
 4 ; Рубль (Петров-5р) ; 1724 ; ОК ; Ag ; XF+ ; 55 ; Продано в зале ; 95000 
 5 ; Рубль ; 1730 ;  ; Ag ; AU ; 66 ; Продано в зале ; 210000 
 6 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 32 ; Продано в зале ; 17000 
 7 ; Рубль ; 1737 ;  ; Ag ; VF-XF ; 22 ; vic-dmitri ; 26000 
 8 ; Рубль ; 1743 ; СПБ ; Ag ; VF-XF ; 70 ; Продано в зале ; 25000 
 9 ; Рубль (Петров-4р, Ильин-3р) ; 1759 ; СПБ НК TI ; Ag ; VF ; 104 ; Продано в зале ; 36000 
 10 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; VF-XF ; 41 ; Sky2 ; 15000 
 11 ; Рубль ; 1768 ; СПБ СА TI ; Ag ; VF-XF ; 26 ; Продано в зале ; 15000 
 12 ; Рубль ; 1773 ; СПБ QЛ TИ ; Ag ; AU ; 49 ; Продано в зале ; 64000 
 13 ; Рубль ; 1800 ; СМ ОМ ; Ag ; VF-XF ; 17 ; SIBPROPILOT ; 20404 
 14 ; Рубль ; 1804 ; СПБ ФГ ; Ag ; VF+/XF ; 42 ; habibbulin ; 34000 
 15 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF+ ; 32 ; 78gen ; 16000 
 16 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 84 ; Продано в зале ; 40000 
 17 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 91 ; Inflation ; 30000 
 18 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 75 ; Продано в зале ; 36000 
 19 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF ; 25 ; habibbulin ; 14280 
 20 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF ; 19 ; specta ; 20400 
 21 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF ; 11 ; Продано в зале ; 7500 
 22 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF ; 53 ; vic-dmitri ; 19000 
 23 ; Рубль ; 1868 ; СПБ HI ; Ag ; VF-XF ; 22 ; vic-dmitri ; 25000 
 24 ; Полтина (Петров-4р) ; 1704 ;  ; Ag ; VF ; 96 ; Продано в зале ; 125000 
 25 ; Полтина ; 1732 ;  ; Ag ; VF ; 27 ; Dima740 ; 18000 
 26 ; Полтина (Петров-5р, Ильин-4р) ; 1755 ; СПБ ЯI BS ; Ag ; VF- ; 22 ; Sintez ; 32000 
 27 ; Полтина  (Петров-3р) ; 1763 ; СПБ ЯI ; Ag ; VF ; 33 ; Sintez ; 21000 
 28 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; XF ; 24 ; ААФ ; 7615 
 29 ; Полуполтинник ; 1754 ; ММД ЕI ; Ag ; VF+ ; 54 ; Продано в зале ; 6500 
 30 ; Полуполтинник ; 1766 ; ММД ЕI ; Ag ; XF- ; 77 ; Продано в зале ; 9000 
