 97 ; Копейка ; 1866 ; ЕМ ; Cu ; XF ; 56 ; CapsulЪ ; 8000 
 98 ; Копейка. Капсула ; 1897 ; СПБ ; Cu ;  ; 38 ; Продано в зале ; 6250 
 99 ; Денга ; 1731 ;  ; Cu ; VF+ ; 70 ; CapsulЪ ; 6750 
 100 ; Деньга. Капсула ; 1814 ; ИМ ПС ; Cu ;  ; 59 ; Продано в зале ; 17000 
 1 ; 10 рублей. Капсула ; 1911 ; (ЭБ) АГ ; Au ;  ; 37 ; 462 ; 44301 
 2 ; 5 рублей. М-6,55г ; 1828 ; СПБ ПД ; Au ; VF+ ; 50 ; vtoth ; 95000 
 3 ; Рубль (Петров-5р) ; 1723 ; ОК ; Ag ; VF-XF ; 40 ; Продано в зале ; 155000 
 4 ; Рубль ; 1724 ;  ; Ag ; VF-XF ; 64 ; PamVan ; 65733 
 5 ; Рубль (Петров-10р) ; 1725 ;  ; Ag ; XF- ; 51 ; паркер ; 105000 
 6 ; Рубль ; 1727 ;  ; Ag ; XF- ; 38 ; 333985 ; 42000 
 7 ; Рубль (ПЕРТЪ) (Петров-15р) ; 1728 ;  ; Ag ; VF-XF ; 31 ; 78gen ; 101000 
 8 ; Рубль (Петров-10р) ; 1729 ;  ; Ag ; VF- ; 27 ; 35 ; 36000 
 9 ; Рубль ; 1729 ;  ; Ag ; XF- ; 45 ; PamVan ; 62363 
 10 ; Рубль ; 1744 ; СПБ ; Ag ; XF+ ; 51 ; PamVan ; 46000 
 11 ; Рубль ; 1755 ; СПБ IM BS ; Ag ; XF ; 54 ; паркер ; 48000 
 12 ; 96 копеек ; 1757 ; Ливонез ; Ag ; VF ; 50 ; Продано в зале ; 160000 
 13 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF+ ; 36 ; Продано в зале ; 25000 
 14 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF+ ; 57 ; papinazu ; 30000 
 15 ; Рубль ; 1855 ; СПБ HI ; Ag ; XF+ ; 51 ; Продано в зале ; 26000 
 16 ; Рубль. Капсула ; 1871 ; СПБ HI ; Ag ;  ; 37 ; 35 ; 17000 
 17 ; Рубль ; 1880 ; СПБ НФ ; Ag ; AU ; 27 ; Продано в зале ; 46000 
 18 ; Рубль ; 1881 ; СПБ НФ ; Ag ; XF+ ; 27 ; PamVan ; 36000 
 19 ; Рубль ; 1882 ; СПБ НФ ; Ag ; AU ; 68 ; Анатолий Анатолий ; 95000 
 20 ; Рубль ; 1884 ; СПБ АГ ; Ag ; XF+ ; 27 ; PamVan ; 32000 
 21 ; Рубль ; 1885 ; СПБ АГ ; Ag ; XF ; 29 ; Колян ; 24000 
 22 ; Рубль ; 1887 ; (АГ) ; Ag ; XF/XF+ ; 47 ; Moryak ; 70000 
 23 ; Рубль ; 1891 ; (АГ) ; Ag ; XF/AU ; 27 ; Обломов ; 40000 
 24 ; Рубль ; 1894 ; (АГ) ; Ag ; XF ; 44 ; паркер ; 40000 
 25 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; AU ; 50 ; Shootnic ; 46000 
 26 ; Рубль ; 1898 ; (АГ) ; Ag ; XF+ ; 42 ; vic-dmitri ; 15000 
 27 ; Рубль ; 1898 ; (АГ) ; Ag ; XF ; 21 ; паркер ; 10200 
 28 ; Рубль ; 1898 ; ( * ) ; Ag ; XF+ ; 37 ; elac ; 21431 
 29 ; Рубль ; 1898 ; ( ** ) ; Ag ; XF+ ; 40 ; elac ; 19000 
 30 ; Рубль ; 1906 ; (ЭБ) ; Ag ; VF-XF ; 61 ; Shootnic ; 60000 
 31 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF+ ; 79 ; Продано в зале ; 67500 
 32 ; Рубль ; 1914 ; (ВС) ; Ag ; XF+ ; 44 ; vic-dmitri ; 52500 
 33 ; Рубль ; 1915 ; (ВС) ; Ag ; AU ; 71 ; sax ; 55000 
 34 ; Полтина (Петров-5р) ; 1707 ;  ; Ag ; XF- ; 72 ; 333985 ; 140000 
 35 ; Полтина (Петров-3р) ; 1719 ; L ; Ag ; XF ; 69 ; sax ; 85000 
 36 ; Полтина (Петров-4р) ; 1720 ;  ; Ag ; XF- ; 117 ; Продано в зале ; 95000 
 37 ; Полтина ; 1721 ;  ; Ag ; VF-XF ; 29 ; Обломов ; 46000 
 38 ; Полтина ; 1723 ;  ; Ag ; VF+ ; 38 ; Обломов ; 36000 
 39 ; Полтина ; 1724 ;  ; Ag ; VF-XF ; 110 ; Ravak_1981 ; 48000 
 40 ; Полтина (Петров-4р) ; 1725 ;  ; Ag ; VF-XF ; 44 ; gelo ; 50000 
 41 ; Полтина ; 1726 ;  ; Ag ; VF-XF ; 51 ; gelo ; 50829 
 42 ; Полтина (Петров-3р) ; 1733 ;  ; Ag ; VF-XF ; 45 ; Обломов ; 40000 
 43 ; Полтина ; 1739 ;  ; Ag ; VF+ ; 63 ; Продано в зале ; 32000 
 44 ; Полтина (Петров-3р) ; 1762 ; ММД ДМ ; Ag ; XF- ; 41 ; ALEX1938 ; 48000 
 45 ; Полтина ; 1764 ; СПБ ЯI ; Ag ; XF- ; 39 ; Обломов ; 36000 
 46 ; Полтина (Петров-4,5р) ; 1795 ; СПБ АК ; Ag ; VF ; 40 ; Продано в зале ; 36000 
 47 ; Полтина ; 1820 ; СПБ ПД ; Ag ; XF+ ; 131 ; Продано в зале ; 60000 
 48 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF/AU ; 54 ; papinazu ; 25000 
 49 ; 25 копеек (Петров-6р, Ильин-6р) ; 1841 ; СПБ НГ ; Ag ; VF+ ; 42 ; Vitek99 ; 32000 
 50 ; 25 копеек ; 1896 ; АГ ; Ag ; XF ; 64 ; Продано в зале ; 13000 
