 65 ; 10 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 28 ; tisa66 ; 3800 
 66 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 13 ; Продано в зале ; 2400 
 67 ; 5 копеек ; 1759 ; СПБ ; Ag ; XF- ; 21 ; rused ; 3876 
 68 ; 5 копеек ; 1824 ; СПБ ПД ; Ag ; AU ; 10 ; antiquar ; 5610 
 69 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; XF- ; 43 ; INRI ; 9066 
 70 ; 5 копеек ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 17 ; serg2010 ; 4600 
 71 ; 5 копеек ; 1834 ; СПБ НГ ; Ag ; XF ; 18 ; 765 ; 4194 
 72 ; 5 копеек ; 1835 ; СПБ НГ ; Ag ; AU/XF ; 17 ; SSK ; 5100 
 73 ; 5 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 19 ; SSK ; 4080 
 74 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 17 ; ААФ ; 3601 
 75 ; 5 копеек ; 1854 ; СПБ HI ; Ag ; AU/XF ; 16 ; нумизмат ; 3175 
 76 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; XF/AU ; 20 ; Продано в зале ; 2400 
 77 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; XF+ ; 16 ; Продано в зале ; 4600 
 78 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 20 ; Продано в зале ; 4600 
 79 ; 5 копеек ; 1866 ; СПБ НФ ; Ag ; XF+ ; 14 ; Продано в зале ; 5200 
 80 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; XF/AU ; 18 ; Продано в зале ; 3000 
 81 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 41 ; весенnik ; 7500 
 82 ; 1 злотый ; 1832 ; KG Польша ; Ag ; VF-XF ; 101 ; INRI ; 12800 
 83 ; 5 копеек ; 1791 ; КМ ; Cu ; VF-XF ; 36 ; taa ; 3122 
 84 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 25 ; Продано в зале ; 9000 
 85 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 17 ; tarbarmoshka ; 2040 
 86 ; 5 копеек ; 1860 ; ЕМ ; Cu ; VF-XF ; 17 ; Продано в зале ; 2800 
 87 ; 5 копеек ; 1865 ; ЕМ ; Cu ; XF- ; 21 ; Продано в зале ; 6400 
 88 ; 4 копейки ; 1796 ;  ; Cu ; XF- ; 54 ; INRI ; 37195 
 89 ; 3 копейки. В капсуле NGC ; 1859 ; ЕМ ; Cu ; AU 58 ; 11 ; Сыч ; 5200 
 90 ; 3 копейки ; 1880 ; СПБ ; Cu ; XF/AU ; 18 ; Продано в зале ; 8600 
 91 ; 3 копейки ; 1897 ; СПБ ; Cu ; XF+ ; 42 ; 333355 ; 12122 
 92 ; 3 копейки ; 1903 ; СПБ ; Cu ; AU ; 21 ; VAP20 ; 6561 
 93 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF+ ; 38 ; амбал ; 1027 
 94 ; 2 копейки. Павловский перечекан ; 1793 ; Е- М Павл.перечекан ; Cu ; F-VF ; 33 ; Продано в зале ; 1400 
