 338 ; Полтина. Редкая датировка ; 1906 ; (ЭБ) АГ ; Ag ; Proof ; 40 ; dima1501 ; 37143 
 339 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 13 ; 462 ; 1000 
 340 ; Рубль ; 1907 ; (ЭБ) ; Ag ; proof ; 32 ; Участник № 1462 ; 65000 
 341 ; Полтина ; 1907 ; (ЭБ) АГ ; Ag ; AU ; 43 ; avatar ; 28866 
 342 ; Полтина ; 1908 ; (ЭБ) АГ ; Ag ; AU ; 27 ; AVA01 ; 37143 
 343 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; XF+ ; 21 ; Участник № 133 ; 7500 
 344 ; 10 копеек ; 1911 ; СПБ ЭБ ; Ag ; Proof ; 17 ; Участник № 30 ; 4500 
 345 ; Рубль ; 1912 ; На столетие отечественной войн ; Ag ; XF ; 41 ; Участник № 1462 ; 50000 
 346 ; Рубль ; 1913 ; На 300-летие Дома Романовых ; Ag ; AU ; 20 ; алтын ; 5610 
 347 ; Рубль ; 1914 ; (ВС) ; Ag ; AU ; 44 ; Участник № 1462 ; 30000 
 348 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU ; 21 ; Участник № 1341 ; 9500 
 349 ; Рубль ; 1915 ; (ВС) ; Ag ; XF+ ; 27 ; Джон ; 16887 
 350 ; 50 пенни. Гладкий гурт. Брак чеканки ; 1916 ; S Финляндия ; Ag ; AU ; 9 ; кабан ; 4307 
 251 ; 20 копеек ; 1849 ; СПБ ПА ; Ag ; XF+ ; 8 ; valenok ; 3800 
 252 ; 25 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 24 ; Участник № 147 ; 2300 
 253 ; 20 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 26 ; tisa66 ; 4233 
 254 ; 20 копеек ; 1851 ; СПБ ПА ; Ag ; XF ; 11 ; SSK ; 3062 
 255 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; Unc/AU ; 16 ; Участник № 147 ; 3400 
 256 ; Полтина ; 1853 ; СПБ HI ; Ag ; VF-XF ; 4 ; нафаня ; 4182 
 257 ; 20 копеек ; 1853 ; СПБ HI ; Ag ; AU/XF ; 25 ; 462 ; 4641 
 258 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; Unc/AU ; 18 ; Участник № 1462 ; 3200 
