 5 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF/AU ; 49 ; Продано в зале ; 29000 
 6 ; Рубль ; 1803 ; СПБ АИ ; Ag ; VF+ ; 18 ; boroda ; 16563 
 7 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF+ ; 52 ; 4758 ; 14959 
 8 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF ; 20 ; electra ; 12240 
 9 ; Рубль ; 1829 ; СПБ НГ ; Ag ; VF+ ; 46 ; Продано в зале ; 8500 
 10 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF+ ; 60 ; Olimpia ; 9000 
 11 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF- ; 34 ; Продано в зале ; 6600 
 12 ; Полтина ; 1734 ;  ; Ag ; XF- ; 29 ; lupus47 ; 36437 
 13 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; AU ; 30 ; TaraskaPeter ; 9197 
 14 ; Полтина ; 1912 ; (ЭБ) АГ ; Ag ; XF+ ; 17 ; себер ; 1447 
 15 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; VF-XF ; 8 ; NETTO ; 5214 
 16 ; Полуполтинник ; 1779 ; СПБ ФЛ ; Ag ; VF-XF ; 37 ; NETTO ; 7964 
 17 ; 25 копеек ; 1835 ; СПБ НГ ; Ag ; VF-XF ; 17 ; Кабан ; 5634 
 18 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 32 ; 4758 ; 5898 
 19 ; 25 копеек ; 1876 ; СПБ HI ; Ag ; XF- ; 21 ; sd555 ; 15894 
 20 ; 20 копеек ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 35 ; Olimpia ; 7734 
 21 ; 15 копеек-1 злотый ; 1836 ; НГ Рус.-Пол. ; Ag ; XF ; 14 ; verunk1 ; 3113 
 22 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 28 ; CMSpb ; 5511 
 23 ; Гривенник ; 1747 ;  ; Ag ; VF+ ; 15 ; Мари ; 2209 
 24 ; Гривенник ; 1748 ;  ; Ag ; XF ; 18 ; lupus47 ; 5240 
 25 ; Гривенник ; 1750 ;  ; Ag ; VF-XF ; 19 ; NETTO ; 6000 
 26 ; 10 копеек ; 1811 ; СПБ ФГ ; Ag ; VF-XF ; 10 ; 4758 ; 3060 
 27 ; 10 копеек ; 1814 ; СПБ ПС ; Ag ; XF- ; 27 ; Мари ; 903 
 28 ; 10 копеек ; 1837 ; СПБ НГ ; Ag ; VF-XF ; 23 ; птичкин ; 1530 
 29 ; 10 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 47 ; TaraskaPeter ; 4400 
 30 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 20 ; Продано в зале ; 1400 
 31 ; 10 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 29 ; sergius ; 3600 
 32 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 48 ; Ngs ; 3909 
 33 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 33 ; TaraskaPeter ; 7100 
 34 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 47 ; TaraskaPeter ; 7100 
 35 ; 5 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 34 ; Продано в зале ; 7400 
 36 ; 5 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 15 ; Olimpia ; 1836 
 37 ; 5 копеек ; 1910 ; СПБ ЭБ ; Ag ; AU ; 57 ; Продано в зале ; 2100 
 38 ; 25 пенни ; 1872 ; S Финляндия ; Ag ; XF+ ; 39 ; Продано в зале ; 5600 
 39 ; 10 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF ; 110 ; Кабан ; 8431 
 40 ; 10 копеек ; 1837 ; ЕМ ФХ ; Cu ; VF ; 31 ; Продано в зале ; 7700 
 41 ; 5 копеек ; 1723 ; Дата снизу вверх ; Cu ; VF ; 56 ; нумизмат ; 12505 
 42 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF- ; 17 ; Продано в зале ; 7600 
 43 ; 5 копеек ; 1759 ;  ; Cu ; VF+ ; 67 ; Продано в зале ; 5200 
 44 ; 5 копеек ; 1760 ;  ; Cu ; VF+ ; 58 ; Продано в зале ; 2200 
 45 ; 5 копеек (Петров - 5 руб, Ильин - 5 руб) ; 1767 ; ММ ; Cu ; F ; 45 ; брат Черпоя ; 7270 
 46 ; 5 копеек ; 1783 ; КМ ; Cu ; VF-XF ; 31 ; Продано в зале ; 4000 
 47 ; 5 копеек ; 1788 ; СПМ ; Cu ; VF ; 17 ; vvt ; 2268 
 48 ; 5 копеек ; 1789 ; АМ ; Cu ; VF-XF ; 41 ; аlеx ; 1712 
 49 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 26 ; arsenich-s ; 1000 
 50 ; 5 копеек ; 1791 ; АМ ; Cu ; VF-XF ; 15 ; водкой надо ; 2200 
