 70 ; 2 копейки ; 1757 ; Гурт надп. ЕКАТЕРИНБУРГ ; Cu ; VF ; 35 ; Продано в зале ; 1700 
 71 ; 2 копейки ; 1763 ; СПМ ; Cu ; VF- ; 29 ; Pharrell ; 1600 
 72 ; 2 копейки ; 1764 ; СПМ ; Cu ; VF ; 17 ; Продано в зале ; 1300 
 73 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF-XF ; 24 ; sdv75-2010 ; 3200 
 74 ; 2 копейки ; 1820 ; КМ АД ; Cu ; XF- ; 13 ; Великий Могол ; 1487 
 75 ; 2 копейки ; 1825 ; КМ АМ ; Cu ; XF ; 12 ; Продано в зале ; 1700 
 76 ; 2 копейки ; 1826 ; КМ АМ ; Cu ; XF+ ; 35 ; cotangens ; 3400 
 77 ; 2 копейки ; 1827 ; КМ АМ ; Cu ; XF+ ; 11 ; Sky2 ; 2550 
 78 ; 2 копейки (Петров-3р, Ильин-1р) ; 1830 ; КМ АМ ; Cu ; XF ; 48 ; Продано в зале ; 5250 
 79 ; 2 копейки ; 1844 ; СМ ; Cu ; XF ; 43 ; velisarit ; 4971 
 80 ; 2 копейки. Новодел ; 1845 ; СМ Новодел ; Cu ; XF ; 42 ; sax ; 10000 
 81 ; 2 копейки ; 1862 ; ВМ ; Cu ; XF ; 84 ; Продано в зале ; 15000 
 82 ; 2 копейки ; 1877 ; СПБ ; Cu ; AU ; 57 ; Продано в зале ; 18000 
 83 ; 2 копейки ; 1881 ; СПБ ; Cu ; XF+ ; 38 ; tisa66 ; 9000 
 84 ; Копейка ; 1711 ; ·Б·К· ; Cu ; VF+ ; 35 ; Продано в зале ; 5500 
 85 ; Копейка ; 1728 ;  ; Cu ; VF ; 28 ; Pharrell ; 5610 
 86 ; Копейка (Ильин-3р) ; 1798 ; КМ ; Cu ; VF ; 57 ; Продано в зале ; 14000 
 87 ; Копейка ; 1824 ; КМ АМ ; Cu ; XF ; 31 ; I3 ; 5250 
 88 ; Копейка ; 1856 ; ВМ ; Cu ; XF ; 104 ; sergius ; 6750 
 89 ; Денга. Брак ; 1731 ;  ; Cu ; VF ; 36 ; Braslav ; 2000 
 90 ; Денга ; 1795 ; ЕМ ; Cu ; VF ; 3 ; Гаечка ; 1134 
 91 ; Деньга ; 1818 ; ЕМ НМ ; Cu ; XF ; 25 ; Kupferberg ; 3960 
 92 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; VF-XF ; 35 ; Продано в зале ; 600 
 93 ; 1/2 копейки ; 1879 ; СПБ ; Cu ; XF+ ; 49 ; sdv75-2010 ; 5250 
 94 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; XF- ; 38 ; sdv75-2010 ; 3000 
 95 ; Полушка ; 1721 ;  ; Cu ; VF+ ; 29 ; velisarit ; 5888 
 96 ; Полушка (Петров-5р, Ильин-3р) ; 1775 ; ЕМ ; Cu ; F ; 19 ; Кемская ; 1997 
 97 ; 1/4 копейки ; 1844 ; СМ ; Cu ; XF- ; 21 ; velisarit ; 2493 
 98 ; Полушка ; 1855 ; ЕМ ; Cu ; XF- ; 23 ; anna53 ; 3000 
 99 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 13 ; sax ; 1200 
 100 ; 10 пенни ; 1867 ; Финляндия ; Cu ; AU ; 64 ; I3 ; 28000 
 1 ; Платежный слиток. Гривна. М-164г ;  ; Киевская ; Ag ;  ; 50 ; Продано в зале ; 59000 
 2 ; Платежный слиток. Гривна. М-162г ;  ; Киевская ; Ag ;  ; 51 ; vedomosti ; 56888 
 3 ; Рубль ; 1720 ; K ; Ag ; VF ; 35 ; gelo ; 38760 
 4 ; Рубль ; 1728 ;  ; Ag ; VF ; 26 ; а1945 ; 28000 
 5 ; Рубль ; 1735 ;  ; Ag ; XF- ; 31 ; а1945 ; 22000 
 6 ; Рубль ; 1751 ; СПБ ; Ag ; VF-XF ; 16 ; offroad ; 21000 
 7 ; Рубль (Петров-3,5р) ; 1759 ; СПБ ЯI TI ; Ag ; VF+ ; 39 ; eastern wind ; 40000 
 8 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; VF+ ; 25 ; oleko ; 9815 
 9 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; XF ; 63 ; offroad ; 21000 
 10 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; XF+ ; 47 ; Продано в зале ; 38000 
 11 ; Рубль ; 1771 ; СПБ АШ TI ; Ag ; XF ; 43 ; offroad ; 16000 
 12 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; XF ; 50 ; offroad ; 26000 
 13 ; Рубль ; 1773 ; СПБ ЯЧ TИ ; Ag ; XF ; 48 ; Продано в зале ; 44000 
 14 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF- ; 36 ; offroad ; 22000 
 15 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF ; 34 ; serg2010 ; 20000 
 16 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF ; 19 ; 90111 ; 26000 
 17 ; Рубль (Петров - 3р. Ильин - 3р.) ; 1801 ; СМ ФЦ ; Ag ; VF- ; 45 ; Pharrell ; 18771 
 18 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF ; 23 ; top1 ; 10500 
 19 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 52 ; Продано в зале ; 26000 
 20 ; Рубль ; 1844 ; MW ; Ag ; XF+ ; 51 ; 90111 ; 13000 
 21 ; Рубль ; 1849 ; СПБ ПА ; Ag ; AU ; 59 ; Продано в зале ; 27000 
 22 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF ; 26 ; Продано в зале ; 16998 
 23 ; Рубль ; 1874 ; СПБ HI ; Ag ; XF ; 38 ; Продано в зале ; 42000 
 24 ; Рубль ; 1877 ; СПБ HI ; Ag ; XF ; 39 ; Hermes ; 7500 
 25 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF ; 43 ; vedomosti ; 6799 
 26 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 73 ; offroad ; 30000 
 27 ; Рубль ; 1914 ; (ВС) ; Ag ; XF+ ; 52 ; 90111 ; 36000 
 28 ; Рубль ; 1915 ; (ВС) ; Ag ; AU ; 75 ; Продано в зале ; 38000 
 29 ; Полтина (Ильин-3р) ; 1726 ; СПБ ; Ag ; F-VF ; 52 ; 90111 ; 34000 
 30 ; Полтина ; 1821 ; СПБ ПД ; Ag ; XF ; 46 ; Тони ; 50000 
 31 ; Полтина ; 1839 ; СПБ НГ ; Ag ; XF- ; 23 ; krugerrand ; 10001 
