 73 ; 5 копеек ; 1785 ; КМ ; Cu ; XF- ; 35 ; Продано в зале ; 3400 
 74 ; 5 копеек ; 1786 ; КМ ; Cu ; XF- ; 45 ; leo 2 ; 3858 
 75 ; 5 копеек ; 1787 ; КМ ; Cu ; VF-XF ; 38 ; Продано в зале ; 4800 
 76 ; 5 копеек ; 1788 ; ТМ ; Cu ; F+ ; 25 ; Продано в зале ; 27000 
 77 ; 5 копеек ; 1790 ; КМ ; Cu ; XF- ; 13 ; olq ; 2997 
 78 ; 5 копеек ; 1792 ; АМ ; Cu ; VF-XF ; 11 ; double ; 1134 
 79 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 64 ; Продано в зале ; 16000 
 80 ; 5 копеек ; 1793 ; КМ ; Cu ; XF ; 68 ; Продано в зале ; 7500 
 81 ; 5 копеек ; 1794 ; АМ ; Cu ; VF-XF ; 11 ; double ; 1181 
 82 ; 5 копеек ; 1795 ; КМ ; Cu ; XF- ; 10 ; Продано в зале ; 2500 
 83 ; 5 копеек ; 1796 ; АМ ; Cu ; VF-XF ; 9 ; double ; 1134 
 84 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF- ; 14 ; electra ; 3468 
 85 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 9 ; Продано в зале ; 2000 
 86 ; 5 копеек. П-10 р, И-5 р. ; 1804 ; ЕМ ; Cu ; F-VF ; 24 ; Продано в зале ; 29000 
 87 ; 5 копеек (Петров-4р, Ильин-3р) ; 1808 ; КМ ; Cu ; VF ; 15 ; форсаж ; 3570 
 88 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF+ ; 52 ; Продано в зале ; 19000 
 89 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF-XF ; 31 ; Продано в зале ; 2600 
 90 ; 5 копеек ; 1860 ; ЕМ ; Cu ; XF- ; 38 ; Продано в зале ; 3800 
 91 ; 5 копеек ; 1869 ; СПБ ; Cu ; XF- ; 26 ; Tygerrrr ; 8262 
