 99 ; 1/2 копейки ; 1844 ; СМ ; Cu ; XF ; 29 ; I3 ; 4400 
 100 ; 1/2 копейки ; 1900 ; СПБ ; Cu ; XF+ ; 31 ; Продано в зале ; 3200 
 1 ; Рубль. Ошибка "САМОДЕРИЦА" (Ильин-8р) ; 1725 ; СПБ ; Ag ; VF+ ; 57 ; братва ; 67500 
 2 ; Рубль ; 1727 ;  ; Ag ; VF-XF ; 19 ; iustas ; 46000 
 3 ; Рубль ; 1734 ;  ; Ag ; VF+/XF ; 23 ; I3 ; 24000 
 4 ; Рубль ; 1736 ;  ; Ag ; VF+ ; 49 ; iustas ; 36000 
 5 ; Рубль. Капсула ; 1744 ; СПБ ; Ag ;  ; 32 ; гудзон ; 28000 
 6 ; Рубль ; 1745 ; ММД ; Ag ; VF+ ; 13 ; братва ; 22000 
 7 ; Рубль (Петров-3р.) ; 1764 ; ММД EI TI ; Ag ; XF+ ; 45 ; Продано в зале ; 53000 
 8 ; Рубль. Грубый чекан (Ильин-5р) ; 1766 ; СПБ АШ ; Ag ; VF ; 16 ; братва ; 21000 
 9 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF ; 20 ; vit2503 ; 26000 
 10 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; VF-XF ; 29 ; Продано в зале ; 19380 
 11 ; Рубль ; 1785 ; СПБ ЯА TI ; Ag ; VF-XF ; 23 ; I3 ; 24000 
 12 ; Рубль ; 1787 ; СПБ ЯА TI ; Ag ; XF- ; 28 ; Dude8220 ; 23936 
 13 ; Рубль ; 1813 ; СПБ ПС ; Ag ; XF ; 19 ; top1 ; 9500 
 14 ; Рубль ; 1814 ; СПБ МФ ; Ag ; XF ; 19 ; нумизмат ; 18000 
 15 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF ; 25 ; jbl ; 8600 
 16 ; Рубль (Ильин-5р) ; 1834 ; СПБ НГ ; Ag ; VF-XF ; 43 ; Dude8220 ; 20000 
 17 ; Рубль ; 1871 ; СПБ HI ; Ag ; XF ; 29 ; СтаровеР ; 34000 
 18 ; Рубль ; 1898 ; (АГ) ; Ag ; VF-XF ; 21 ; Covid19 ; 2711 
 19 ; Рубль ; 1912 ; (ЭБ) ; Ag ; VF+ ; 27 ; top1 ; 9000 
 20 ; Полтина (Петров-3р) ; 1719 ;  ; Ag ; VF- ; 48 ; Продано в зале ; 34000 
 21 ; Полтина (Петров-3р) ; 1722 ;  ; Ag ; VF- ; 24 ; братва ; 42000 
 22 ; Полтина (Петров-3р, Ильин-3р) ; 1731 ;  ; Ag ; VF-XF ; 46 ; Sky2 ; 55005 
 23 ; Полтина ; 1733 ;  ; Ag ; VF+ ; 29 ; Продано в зале ; 34000 
