 106 ; 10 копеек ; 1770 ; КМ "Сибирь" ; Cu ; VF+ ; 21 ; double ; 5999 
 107 ; 10 копеек ; 1770 ; КМ "Сибирь" ; Cu ; VF+ ; 11 ; Продано в зале ; 2400 
 108 ; 10 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF-XF ; 24 ; INRI ; 14280 
 109 ; 10 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF-XF ; 22 ; INRI ; 9190 
 110 ; 10 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF-XF ; 19 ; koll ; 4080 
 111 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF- ; 20 ; Алексей Викторович ; 9747 
 112 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF ; 20 ; INRI ; 15306 
 113 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; XF- ; 24 ; INRI ; 9282 
 114 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 32 ; icebreaker ; 9747 
 115 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF- ; 19 ; SSK ; 9294 
 116 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; XF ; 25 ; icebreaker ; 11000 
 117 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF- ; 17 ; Алексей Викторович ; 9282 
 118 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF+ ; 29 ; Продано в зале ; 4600 
 119 ; 5 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF ; 15 ; кабан ; 2039 
 120 ; 5 копеек ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 12 ; arsenich-s ; 2122 
 121 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF-XF ; 21 ; leo 2 ; 5792 
 122 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 21 ; нумизмат ; 6500 
 123 ; 5 копеек ; 1783 ; КМ ; Cu ; XF- ; 23 ; Продано в зале ; 3600 
 124 ; 5 копеек ; 1784 ; КМ ; Cu ; XF- ; 33 ; Продано в зале ; 4000 
 125 ; 5 копеек ; 1785 ; КМ ; Cu ; XF- ; 13 ; Xxzx ; 3782 
 126 ; 5 копеек ; 1789 ; АМ ; Cu ; VF-XF ; 13 ; Продано в зале ; 1700 
 127 ; 5 копеек ; 1790 ; ЕМ ; Cu ; XF- ; 11 ; byrozka ; 714 
 128 ; 5 копеек ; 1791 ; КМ ; Cu ; VF-XF ; 11 ; Продано в зале ; 2200 
 129 ; 5 копеек ; 1793 ; АМ ; Cu ; VF-XF ; 19 ; Продано в зале ; 1300 
 130 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 14 ; igor56 ; 4598 
 131 ; 5 копеек ; 1795 ; КМ ; Cu ; VF-XF ; 9 ; 7на8 8на7 ; 3000 
 132 ; 5 копеек ; 1796 ; ЕМ ; Cu ; VF-XF ; 14 ; leo 2 ; 1689 
 133 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF- ; 8 ; Продано в зале ; 2300 
 134 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 24 ; arsenich-s ; 3193 
 135 ; 5 копеек ; 1806 ; ЕМ ; Cu ; XF- ; 5 ; arsenich-s ; 2600 
