 336 ; 2 копейки ; 1895 ; СПБ ; Cu ; AU ; 20 ; overshtag ; 6834 
 337 ; 2 копейки ; 1896 ; СПБ ; Cu ; XF+ ; 10 ; ZOLTAN333 ; 1800 
 338 ; Копейка ; 1896 ; СПБ ; Cu ; XF+ ; 15 ; ZOLTAN333 ; 1275 
 339 ; Рубль ; 1897 ; (АГ) ; Ag ; AU ; 33 ; Участник № 62 ; 9500 
 340 ; Рубль ; 1898 ; (АГ) ; Ag ; XF/XF+ ; 19 ; Участник № 62 ; 7500 
 341 ; Рубль ; 1898 ; ( ** ) ; Ag ; XF+ ; 30 ; luda ; 5916 
 342 ; 10 копеек ; 1898 ; СПБ АГ ; Ag ; AU ; 26 ; okalo ; 6730 
 343 ; Полтина ; 1899 ; ( * ) ; Ag ; XF-/XF+ ; 38 ; HSS ; 17000 
 344 ; 15 копеек ; 1899 ; СПБ АГ ; Ag ; AU ; 46 ; Участник № 42 ; 23000 
 345 ; 5 копеек ; 1899 ; СПБ АГ ; Ag ; AU ; 16 ; SDS ; 2042 
 346 ; 3 копейки ; 1899 ; СПБ ; Cu ; AU ; 14 ; ZOLTAN333 ; 1532 
 347 ; 10 рублей ; 1900 ; (ФЗ) АГ ; Au ; AU ; 13 ; igors1969 ; 15525 
 348 ; 25 копеек ; 1900 ; АГ ; Ag ; AU ; 42 ; berson ; 55000 
 349 ; 15 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 49 ; int1965708 ; 11424 
 350 ; 5 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 40 ; SDS ; 3500 
 251 ; Полушка ; 1856 ; ЕМ ; Cu ; XF+ ; 22 ; HSS ; 5099 
 252 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 9 ; igors1969 ; 12589 
 253 ; Денежка ; 1857 ; ЕМ ; Cu ; AU ; 7 ; AVA01 ; 2042 
 254 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; XF ; 13 ; 4758 ; 6122 
 255 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 7 ; Участник № 62 ; 4600 
 256 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 7 ; Участник № 9 ; 5000 
 257 ; 2 копейки ; 1858 ; ЕМ ; Cu ; XF ; 29 ; luda ; 9996 
 258 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 18 ; Участник № 62 ; 8500 
 259 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 17 ; cash ; 2500 
 260 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 19 ; swoon ; 2039 
 261 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 23 ; Eugen ; 4507 
 262 ; Полтина (Ильин-3р) ; 1860 ; СПБ ФБ ; Ag ; VF+ ; 42 ; Участник № 9 ; 60000 
 263 ; 25 копеек ; 1860 ; СПБ ФБ ; Ag ; VF+ ; 9 ; luda ; 2754 
 264 ; 20 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; XF+/XF ; 29 ; Участник № 9 ; 9500 
 265 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 41 ; Участник № 9 ; 3600 
 266 ; 15 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU/XF+ ; 17 ; Участник № 133 ; 12000 
 267 ; 2 копейки ; 1860 ; ВМ ; Cu ; VF+ ; 16 ; Участник № 29 ; 6500 
 268 ; 10 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 5 ; Участник № 9 ; 5000 
 269 ; 10 копеек (Петров-2р) ; 1861 ; СПБ МИ ; Ag ; XF+ ; 32 ; HSS ; 36000 
 270 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 9 ; Участник № 1078 ; 3200 
 271 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 56 ; Участник № 4 ; 10000 
 272 ; 2 копейки ; 1861 ; ЕМ ; Cu ; VF-XF ; 19 ; ZOLTAN333 ; 2100 
