 346 ; 5 копеек (Ильин-15р, Петров-10р) ; 1791 ; Павл.перечекан ; Cu ; F-VF ; 34 ; fikus ; 24000 
 347 ; 5 копеек (Ильин-3р, редкий) ; 1803 ; ЕМ ; Cu ; VF ; 43 ; Глол ; 10213 
 348 ; 20 копеек (Петров-1р) ; 1810 ; СПБ ФГ ; Ag ; XF+ ; 22 ; vvt ; 10211 
 349 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 49 ; Участник № 135 ; 21000 
 350 ; 20 копеек ; 1840 ; СПБ НГ ; Ag ; XF+ ; 9 ; Участник № 133 ; 2600 
 251 ; Полушка (Ильин-1р) ; 1859 ; ЕМ ; Cu ; XF ; 9 ; krokodil ; 6324 
 252 ; 20 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 39 ; Участник № 42 ; 32000 
 253 ; 3 копейки ; 1860 ; ЕМ ; Cu ; XF- ; 19 ; Участник № 55 ; 4200 
 254 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 13 ; 25 ; 1836 
 255 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 7 ; finger ; 1700 
 256 ; Полушка ; 1862 ; ЕМ ; Cu ; AU ; 17 ; Ghb ; 6131 
 257 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; XF+ ; 30 ; sd555 ; 510 
 258 ; Рубль ; 1867 ; СПБ HI ; Ag ; XF ; 44 ; Участник № 1177 ; 44000 
 259 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 9 ; Участник № 30 ; 2100 
 260 ; Копейка ; 1868 ; ЕМ ; Cu ; AU ; 14 ; jacob ; 4623 
 261 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; AU ; 21 ; fikus ; 4590 
 262 ; Копейка ; 1869 ; ЕМ ; Cu ; AU ; 13 ; Глол ; 4070 
 263 ; 15 копеек ; 1870 ; СПБ HI ; Ag ; XF ; 3 ; Участник № 30 ; 550 
 264 ; Рубль ; 1871 ; СПБ HI ; Ag ; XF- ; 25 ; TDN ; 13422 
 265 ; 10 копеек ; 1871 ; СПБ HI ; Ag ; XF+ ; 5 ; Участник № 30 ; 700 
 266 ; 1/4 копейки ; 1872 ; ЕМ ; Cu ; AU ; 26 ; fikus ; 4988 
 267 ; 1/4 копейки ; 1873 ; ЕМ ; Cu ; AU ; 31 ; Глол ; 7000 
 268 ; 5 рублей ; 1876 ; СПБ НI ; Au ; XF ; 46 ; 155оа ; 36486 
 269 ; 1/2 копейки ; 1876 ; СПБ ; Cu ; AU ; 9 ; Участник № 147 ; 3400 
 270 ; 25 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 48 ; 462 ; 3800 
 271 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 7 ; kol ; 2400 
 272 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF+ ; 35 ; Участник № 62 ; 3600 
 273 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; XF+ ; 5 ; Участник № 42 ; 3000 
 274 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; XF+ ; 5 ; Ghb ; 1100 
 275 ; 3 копейки ; 1880 ; СПБ ; Cu ; AU ; 24 ; Участник № 51 ; 4200 
 276 ; 10 марок ; 1882 ; S Финляндия ; Au ; AU ; 14 ; Участник № 133 ; 9000 
 277 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 13 ; 1088 ; 20000 
 278 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 11 ; kol ; 3500 
 279 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; AU ; 11 ; kol ; 4000 
 280 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 20 ; Участник № 30 ; 3000 
 281 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; AU ; 5 ; kol ; 1800 
 282 ; 5 рублей ; 1889 ; (АГ) Борода короче ; Au ; AU ; 41 ; tisa66 ; 27499 
 283 ; 25 копеек (редкая датировка) ; 1890 ; (АГ) АГ ; Ag ; XF ; 16 ; Участник № 1280 ; 70000 
 284 ; 15 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 85 ; Участник № 30 ; 3400 
 285 ; 20 марок ; 1891 ; L Финляндия ; Au ; AU ; 33 ; Участник № 9 ; 23000 
 286 ; 25 копеек (редкая датировка) ; 1891 ; (АГ) АГ ; Ag ; XF+ ; 13 ; A.G. ; 42840 
