 62 ; 10 копеек ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 15 ; Участник № 18 ; 3900 
 63 ; 2 копейки (Петров-3р, Ильин-1р) ; 1830 ; КМ АМ ; Cu ; VF+ ; 17 ; polushka ; 1173 
 64 ; Копейка ; 1830 ; ЕМ ИК ; Cu ; VF+ ; 30 ; SSK ; 857 
 65 ; Рубль ; 1831 ; СПБ НГ ; Ag ; VF+ ; 27 ; Участник № 66 ; 6500 
 66 ; 5 копеек (Ильин-1р) ; 1831 ; СМ ; Cu ; VF- ; 29 ; polushka ; 2510 
 67 ; 3 гроша ; 1831 ; KG польское восстание 1830-1831 гг. ; Cu ; VF+ ; 22 ; Участник № 1442 ; 9000 
 68 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; VF ; 28 ; pmaster ; 2701 
 69 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 27 ; Участник № 7 ; 1400 
 70 ; Рубль ; 1834 ; СПБ НГ ; Ag ; VF-XF ; 76 ; мяу ; 7150 
 71 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; VF ; 44 ; Участник № 410 ; 40000 
 72 ; 10 копеек ; 1834 ; СПБ НГ ; Ag ; XF- ; 69 ; antiquar ; 13786 
 73 ; Рубль (Ильин-4р) ; 1837 ; СПБ НГ ; Ag ; VF ; 58 ; Участник № 222 ; 6500 
 74 ; 5 копеек ; 1837 ; ЕМ КТ ; Cu ; VF ; 24 ; Sky2 ; 3200 
 75 ; Рубль. Ошибка: в слове МОНЕТА "Н" без перекладины. Редкая ; 1840 ; СПБ НГ ; Ag ; VF-XF ; 26 ; Участник № 222 ; 10500 
 76 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+ ; 35 ; Участник № 222 ; 5800 
 77 ; 10 копеек ; 1842 ; СПБ АЧ ; Ag ; VF ; 38 ; ostman ; 5202 
 78 ; 3 копейки ; 1842 ; ЕМ ; Cu ; VF ; 13 ; Участник № 7 ; 950 
 79 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; VF-XF ; 48 ; bazis ; 6243 
 80 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 29 ; bazis ; 5106 
 81 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF- ; 24 ; Участник № 1866 ; 6600 
 82 ; Рубль ; 1843 ; MW ; Ag ; VF+ ; 47 ; Участник № 9 ; 10500 
 83 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF ; 31 ; capable ; 6324 
 84 ; Полтина (Петров-1р) ; 1847 ; СПБ ПА ; Ag ; VF-XF ; 56 ; Участник № 66 ; 3800 
 85 ; 20 копеек ; 1847 ; СПБ ПА ; Ag ; VF-XF ; 24 ; Участник № 7 ; 2000 
 86 ; Полтина ; 1848 ; СПБ HI ; Ag ; VF-XF ; 17 ; Sky2 ; 4500 
 87 ; 25 копеек ; 1853 ; СПБ HI ; Ag ; AU/XF ; 45 ; мяу ; 2448 
 88 ; Рубль ; 1855 ; СПБ HI ; Ag ; VF-XF ; 36 ; Участник № 7 ; 8200 
 89 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; XF ; 29 ; мяу ; 3000 
