 65 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; AU/XF ; 23 ; Продано в зале ; 4600 
 66 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU/XF ; 26 ; Lisik ; 4357 
 67 ; 5 копеек ; 1857 ; СПБ ФБ ; Ag ; AU/XF ; 53 ; Продано в зале ; 20500 
 68 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 44 ; Продано в зале ; 5500 
 69 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 72 ; tisa66 ; 9678 
 70 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 27 ; Lisik ; 20000 
 71 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU/XF ; 51 ; Продано в зале ; 11608 
 72 ; Алтын ; 1704 ; БК ; Ag ; VF-XF ; 41 ; Продано в зале ; 12500 
 73 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF- ; 22 ; кабан ; 18360 
 74 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF- ; 22 ; ervin ; 20274 
 75 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; VF-XF ; 9 ; кабан ; 8160 
 76 ; 5 копеек ; 1763 ; СМ ; Cu ; VF+ ; 44 ; кs ; 20411 
 77 ; 5 копеек. Дефект чеканки ; 1763 ; ЕМ ; Cu ; VF-XF ; 34 ; Продано в зале ; 13000 
 78 ; 5 копеек ; 1782 ; КМ ; Cu ; XF- ; 11 ; Продано в зале ; 2800 
 79 ; 5 копеек ; 1784 ; КМ ; Cu ; XF- ; 24 ; Продано в зале ; 4000 
 80 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF+ ; 47 ; max96 ; 12485 
 81 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 27 ; specta ; 2540 
 82 ; 5 копеек ; 1804 ; ЕМ ; Cu ; AU/XF ; 44 ; Продано в зале ; 11000 
 83 ; 5 копеек ; 1805 ; ЕМ ; Cu ; XF- ; 31 ; кабан ; 5140 
 84 ; 5 копеек (Петров-7р, Ильин-5р) ; 1810 ; КМ ; Cu ; VF+ ; 31 ; igors1969 ; 25500 
 85 ; 5 копеек (Петров-2р) ; 1831 ; ЕМ ; Cu ; VF-XF ; 23 ; Trevor ; 10767 
 86 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 29 ; Trevor ; 3200 
 87 ; 5 копеек ; 1837 ; ЕМ НА ; Cu ; XF- ; 61 ; Продано в зале ; 5000 
 88 ; 5 копеек ; 1855 ; ЕМ ; Cu ; VF-XF ; 42 ; 222211 ; 7065 
 89 ; 5 копеек ; 1877 ; СПБ ; Cu ; XF+ ; 33 ; andreyx  ; 10190 
 90 ; 2 копейки ; 1852 ; ЕМ ; Cu ; XF ; 41 ; Продано в зале ; 7500 
 91 ; 2 копейки ; 1890 ; СПБ ; Cu ; XF+ ; 20 ; Продано в зале ; 8500 
