 87 ; 3 копейки ; 1909 ; СПБ ; Cu ; AU ; 40 ; verunk1 ; 6122 
 88 ; 2 копейки ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 18 ; vcn ; 4200 
 89 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF ; 31 ; Продано в зале ; 7000 
 90 ; 2 копейки ; 1798 ; КМ ; Cu ; VF+ ; 13 ; igors1969 ; 1000 
 91 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF- ; 22 ; _kit ; 2897 
 92 ; 2 копейки ; 1830 ; КМ АМ ; Cu ; XF- ; 51 ; OMT ; 3287 
 93 ; 2 копейки ; 1851 ; ЕМ ; Cu ; XF- ; 16 ; _kit ; 2800 
 94 ; Копейка ; 1707 ; БК ; Cu ; VF ; 21 ; Продано в зале ; 3600 
 95 ; Копейка ; 1728 ;  ; Cu ; F-VF ; 9 ; Продано в зале ; 1500 
 96 ; Копейка ; 1756 ; ММД ; Cu ; VF ; 19 ; serg2010 ; 7131 
 97 ; Копейка. Новодел ; 1809 ; КМ ;  ; AU ; 9 ; Продано в зале ; 42000 
 98 ; Денга. Брак чеканки ; 1795 ; КМ ; Cu ; VF- ; 9 ; 333355 ; 900 
 99 ; Деньга ; 1828 ; ЕМ ИК ; Cu ; VF-XF ; 16 ; Продано в зале ; 1400 
 100 ; Денежка ; 1851 ; ЕМ ; Cu ; XF- ; 11 ; ААФ ; 1073 
 1 ; Сребреник ; 980-1015 ; Владимир Святославович(Святой) ; Ag ;  ; 15 ; Продано в зале ; 3100 
 2 ; Рубль (Петров-6р) ; 1705 ; МД ; Ag ; VF+ ; 81 ; Продано в зале ; 205000 
 3 ; Рубль (Петров-5р) ; 1720 ; OK ; Ag ; VF+ ; 55 ; Продано в зале ; 67000 
 4 ; Рубль (Петров-5р) ; 1725 ; СПБ ; Ag ; VF+ ; 37 ; int1965708 ; 72000 
 5 ; Рубль (Петров-3,5р, Ильин-3р) ; 1731 ;  ; Ag ; VF+ ; 24 ; suhua ; 26000 
 6 ; Рубль (Петров-6р) ; 1734 ;  ; Ag ; VF ; 15 ; Продано в зале ; 46000 
 7 ; Рубль (Петров-4р) ; 1734 ;  ; Ag ; VF+ ; 11 ; Продано в зале ; 42000 
 8 ; Рубль (Ильин-5р) ; 1741 ; СПБ ; Ag ; VF+ ; 31 ; Продано в зале ; 66000 
 9 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; XF- ; 19 ; Продано в зале ; 18000 
 10 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF+ ; 42 ; Продано в зале ; 19000 
 11 ; Рубль ; 1828 ; СПБ НГ ; Ag ; VF-XF ; 19 ; suhua ; 5900 
 12 ; Рубль. Ильин - 3 руб ; 1830 ; СПБ НГ ; Ag ; XF- ; 8 ; Продано в зале ; 12000 
 13 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF- ; 27 ; serg2010 ; 53142 
 14 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ; XF+ ; 41 ; Горюн ; 104040 
 15 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF ; 16 ; Продано в зале ; 7500 
 16 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF- ; 20 ; Продано в зале ; 6400 
 17 ; Рубль ; 1849 ; СПБ ПА ; Ag ; AU ; 29 ; Продано в зале ; 19500 
 18 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF- ; 16 ; serg2010 ; 7200 
 19 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF+ ; 29 ; Продано в зале ; 10000 
 20 ; Рубль ; 1855 ; СПБ HI ; Ag ; XF+ ; 32 ; Продано в зале ; 9000 
