 165 ; 2 копейки ; 1759 ;  ; Cu ; F-VF ; 10 ; Всадник ; 204 
 166 ; 2 копейки ; 1761 ;  ; Cu ; VF ; 25 ; Продано в зале ; 2200 
 167 ; 2 копейки ; 1762 ; Номинал под гербом ; Cu ; VF+ ; 73 ; Sky2 ; 3105 
 168 ; 2 копейки ; 1762 ;  ; Cu ; F+ ; 23 ; ГдРъ ; 12342 
 169 ; 2 копейки ; 1763 ; ММ ; Cu ; VF- ; 67 ; Продано в зале ; 1200 
 170 ; 2 копейки ; 1763 ; СПМ ; Cu ; VF ; 11 ; Продано в зале ; 600 
 171 ; 2 копейки ; 1763 ; ЕМ ; Cu ; VF ; 29 ; milk ; 1530 
 172 ; 2 копейки ; 1764 ; ММ ; Cu ; VF- ; 15 ; milk ; 700 
 173 ; 2 копейки ; 1764 ; ЕМ ; Cu ; F-VF ; 21 ; nyty ; 1581 
 174 ; 2 копейки ; 1765 ; ММ ; Cu ; VF- ; 43 ; Sky2 ; 2028 
 175 ; 2 копейки ; 1766 ; ЕМ ; Cu ; VF ; 28 ; нумизмат ; 4000 
 176 ; 2 копейки ; 1769 ; КМ "Сибирь" ; Cu ; VF ; 24 ; Продано в зале ; 1900 
 177 ; 2 копейки ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 34 ; Т439ТТ ; 2800 
 178 ; 2 копейки ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 13 ; Продано в зале ; 2800 
 179 ; 2 копейки ; 1778 ; КМ "Сибирь" ; Cu ; VF ; 15 ; нумизмат ; 3000 
 180 ; 2 копейки ; 1789 ; ЕМ ; Cu ; VF- ; 9 ; нумизмат ; 550 
 181 ; 2 копейки ; 1803 ; ЕМ ; Cu ; VF+ ; 34 ; Vitalik1 ; 8262 
 182 ; 2 копейки ; 1840 ; ЕМ ; Cu ; VF+ ; 21 ; Продано в зале ; 1050 
 183 ; 2 копейки ; 1846 ; СМ ; Cu ; VF ; 13 ; нумизмат ; 893 
 184 ; 2 копейки ; 1858 ; ЕМ ; Cu ; VF+ ; 9 ; Продано в зале ; 1150 
 185 ; 2 копейки ; 1862 ; ЕМ ; Cu ; VF+ ; 9 ; ravs ; 800 
 186 ; 2 копейки ; 1870 ; ЕМ ; Cu ; VF-XF ; 13 ; 765312 ; 1405 
 187 ; 2 копейки ; 1874 ; ЕМ ; Cu ; XF- ; 17 ; 765312 ; 3631 
 188 ; 2 копейки ; 1875 ; ЕМ ; Cu ; XF- ; 16 ; Продано в зале ; 6200 
 189 ; 2 копейки ; 1909 ; СПБ ; Cu ; AU ; 22 ; Продано в зале ; 7000 
 190 ; Копейка ; 1709 ; Б·К ; Cu ; F-VF ; 7 ; Продано в зале ; 6200 
 191 ; Копейка ; 1712 ; МД ; Cu ; F-VF ; 33 ; Продано в зале ; 2300 
 192 ; Копейка ; 1713 ; М Д ; Cu ; VF- ; 17 ; Продано в зале ; 1300 
 193 ; Копейка ; 1714 ; МД ; Cu ; F-VF ; 14 ; Продано в зале ; 850 
 194 ; Копейка ; 1715 ; МД ; Cu ; VF ; 39 ; нумизмат ; 4182 
 195 ; Копейка ; 1772 ; КМ "Сибирь" ; Cu ; VF- ; 15 ; Продано в зале ; 1050 
 196 ; Копейка ; 1775 ; КМ "Сибирь" ; Cu ; VF ; 11 ; Продано в зале ; 1500 
 197 ; Копейка ; 1778 ; КМ "Сибирь" ; Cu ; VF ; 10 ; Продано в зале ; 1600 
 198 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 19 ; fgd ; 2394 
 199 ; Копейка ; 1800 ; ЕМ ; Cu ; VF+ ; 24 ; ct200h ; 614 
 200 ; Копейка ; 1801 ; ЕМ ; Cu ; VF+ ; 10 ; Vitalik1 ; 600 
 201 ; Копейка ; 1819 ; КМ АД ; Cu ; VF ; 11 ; Продано в зале ; 450 
 202 ; Копейка ; 1824 ; ЕМ ПГ ; Cu ; VF+ ; 23 ; Sky2 ; 702 
 203 ; Копейка ; 1827 ; ЕМ ИК ; Cu ; VF+ ; 25 ; evgenijzhuk ; 5202 
 103 ; 5 копеек (Петров-10р,Ильин-3р) ; 1761 ; ММ ; Cu ; F-VF ; 62 ; Т439ТТ ; 3734 
 104 ; 5 копеек ; 1761 ;  ; Cu ; VF ; 32 ; yrt ; 1145 
 105 ; 5 копеек ; 1763 ; СПМ ; Cu ; VF- ; 11 ; раритет ; 1128 
 106 ; 5 копеек ; 1764 ; СПМ ; Cu ; F-VF ; 23 ; Zakhapisty ; 2001 
 107 ; 5 копеек ; 1766 ; ЕМ ; Cu ; VF+ ; 15 ; SSK ; 411 
 109 ; 5 копеек  (Петров-3р,Ильин-5р) ; 1767 ; СПМ ; Cu ; F-VF ; 28 ; 222211 ; 8262 
 110 ; 5 копеек ; 1768 ; ЕМ ; Cu ; VF+ ; 19 ; kmj ; 604 
 111 ; 5 копеек ; 1769 ; ЕМ ; Cu ; VF+ ; 7 ; Продано в зале ; 500 
 112 ; 5 копеек ; 1770 ; ЕМ ; Cu ; VF-XF ; 24 ; Продано в зале ; 1500 
 113 ; 5 копеек ; 1772 ; ЕМ ; Cu ; VF-XF ; 23 ; kmj ; 850 
 114 ; 5 копеек. В капсуле PCGS ; 1774 ; ЕМ ; Cu ; XF+ ; 22 ; Госпожа Киевлянка ; 2592 
 115 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF- ; 26 ; Т439ТТ ; 7000 
 116 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 49 ; Продано в зале ; 7000 
 117 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 33 ; Продано в зале ; 4200 
 118 ; 5 копеек ; 1786 ; КМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 1600 
 119 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF-XF ; 23 ; Продано в зале ; 1000 
 120 ; 5 копеек ; 1788 ; КМ ; Cu ; XF- ; 17 ; ГдРъ ; 2267 
 121 ; 5 копеек ; 1789 ; ЕМ ; Cu ; VF-XF ; 26 ; Т439ТТ ; 1122 
 122 ; 5 копеек ; 1790 ; ЕМ ; Cu ; VF-XF ; 22 ; каРаЧун ; 1075 
 123 ; 5 копеек ; 1791 ; ЕМ ; Cu ; VF-XF ; 11 ; verunk1 ; 794 
 124 ; 5 копеек ; 1791 ; КМ ; Cu ; VF-XF ; 47 ; Продано в зале ; 2800 
 125 ; 5 копеек ; 1792 ; ЕМ ; Cu ; VF-XF ; 22 ; коррозия ; 699 
 126 ; 5 копеек ; 1792 ; КМ ; Cu ; VF-XF ; 30 ; Продано в зале ; 2600 
 127 ; 5 копеек ; 1793 ; ЕМ ; Cu ; VF-XF ; 39 ; nyty ; 1961 
 128 ; 5 копеек ; 1793 ; КМ ; Cu ; XF- ; 30 ; sheff78 ; 4871 
 129 ; 5 копеек ; 1794 ; КМ ; Cu ; VF-XF ; 23 ; коррозия ; 4319 
 130 ; 5 копеек ; 1795 ; ЕМ ; Cu ; VF-XF ; 23 ; Продано в зале ; 1000 
 131 ; 5 копеек ; 1795 ; КМ ; Cu ; VF-XF ; 20 ; Продано в зале ; 4500 
 132 ; 5 копеек ; 1802 ; ЕМ ; Cu ; VF+ ; 20 ; Продано в зале ; 1300 
 133 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 3200 
 134 ; 5 копеек. Гурт забит. (Петров - 10 р, ильин - 5 руб) ; 1804 ; ЕМ ; Cu ; F+ ; 40 ; armadavls ; 8772 
 135 ; 5 копеек. В капсуле NGC ; 1804 ; ЕМ ; Cu ; AU58 ; 24 ; ervin ; 4986 
 136 ; 5 копеек ; 1806 ; ЕМ ; Cu ; VF-XF ; 19 ; Продано в зале ; 3000 
 137 ; 5 копеек ; 1807 ; ЕМ ; Cu ; VF-XF ; 21 ; Arte ; 3321 
 138 ; 5 копеек (Петров-3р, Ильин-2р) ; 1807 ; КМ ; Cu ; VF+/VF ; 23 ; Продано в зале ; 3600 
 139 ; 5 копеек (Ильин-3р) ; 1808 ; ЕМ ; Cu ; F-VF ; 21 ; Isay ; 4680 
 140 ; 5 копеек ; 1808 ; ЕМ ; Cu ; VF ; 35 ; Продано в зале ; 3400 
 141 ; 5 копеек (Петров - 4 руб, Ильин - 3 руб) ; 1808 ; КМ ; Cu ; F-VF ; 34 ; Продано в зале ; 3800 
 142 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; VF+ ; 57 ; Sky2 ; 2091 
 143 ; 5 копеек ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 43 ; Sky2 ; 1986 
 144 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF-XF ; 61 ; коррозия ; 5400 
 145 ; 5 копеек ; 1835 ; СМ ; Cu ; VF-XF ; 52 ; Продано в зале ; 4400 
 146 ; 5 копеек ; 1836 ; ЕМ ФХ ; Cu ; VF+ ; 20 ; 765312 ; 1078 
 147 ; 5 копеек ; 1838 ; ЕМ НА ; Cu ; VF- ; 18 ; Sky2 ; 714 
 148 ; 5 копеек ; 1839 ; СМ ; Cu ; F-VF ; 29 ; ct200h ; 1219 
 149 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF-XF ; 33 ; ГдРъ ; 2593 
 150 ; 5 копеек ; 1864 ; ЕМ ; Cu ; VF-XF ; 13 ; Маэстро ; 1500 
 151 ; 3 копейки ; 1840 ; СПМ ; Cu ; VF-XF ; 29 ; Т439ТТ ; 3295 
 152 ; 3 копейки ; 1842 ; СПМ ; Cu ; VF+ ; 20 ; нумизмат ; 1859 
