 62 ; 50 пенни ; 1868 ; S Финляндия ; Ag ; VF-XF ; 33 ; Продано в зале ; 9000 
 63 ; 5 копеек ; 1726 ; МД Дата 1276 ; Cu ; F-VF/VF+ ; 72 ; Продано в зале ; 28000 
 64 ; 5 копеек. Редкая ; 1727 ; КД Одна из точек под хв. ; Cu ; G ; 29 ; брат Черпоя ; 22083 
 65 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF+ ; 43 ; тадыщ ; 4068 
 66 ; 5 копеек (Петров-1р, Ильин-1р) ; 1759 ; ММ ; Cu ; F-VF ; 17 ; Илья Владимирович ; 842 
 67 ; 5 копеек (Петров - 5 руб, Ильин -3 руб) ; 1760 ; ММ ; Cu ; F-VF ; 26 ; Продано в зале ; 4600 
 68 ; 5 копеек ; 1766 ; ЕМ ; Cu ; VF+ ; 9 ; Продано в зале ; 700 
 69 ; 5 копеек. Ильин-5р ; 1767 ; ММ ; Cu ; F ; 34 ; Sintez ; 7864 
 70 ; 5 копеек ; 1768 ; КМ "Сибирь" ; Cu ; VF ; 28 ; Продано в зале ; 10700 
 71 ; 5 копеек. Редкая (Герб - 1763-1767г) ; 1771 ; ЕМ ; Cu ; F-VF ; 80 ; Продано в зале ; 31000 
 72 ; 5 копеек ; 1783 ; КМ ; Cu ; XF- ; 25 ; Продано в зале ; 4000 
 73 ; 5 копеек. Буквы двора большие ; 1788 ; ММ ; Cu ; VF+ ; 66 ; DAndy-2003 ; 4182 
 74 ; 5 копеек .буквы двора малые ; 1788 ; ММ ; Cu ; VF+ ; 11 ; Продано в зале ; 3700 
 75 ; 5 копеек ; 1788 ; КМ ; Cu ; XF- ; 33 ; 3458 ; 4692 
 76 ; 5 копеек ; 1789 ; АМ ; Cu ; VF-XF ; 70 ; Борис Моисеевич ; 1822 
 77 ; 5 копеек(Петров-8р. Ильин-5р) ; 1791 ; ЕМ Павл.перечекан ; Cu ; VF- ; 31 ; нумизмат ; 25067 
 78 ; 5 копеек ; 1793 ; КМ ; Cu ; VF-XF ; 13 ; Sky2 ; 1926 
 79 ; 5 копеек ; 1794 ; АМ ; Cu ; VF-XF ; 36 ; slando ; 1971 
 80 ; 5 копеек ; 1809 ; ЕМ ; Cu ; VF-XF ; 43 ; 222211 ; 5609 
 81 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 71 ; Продано в зале ; 5500 
 82 ; 5 копеек ; 1834 ; ЕМ ФХ ; Cu ; AU ; 31 ; Salett ; 15001 
 83 ; 5 копеек ; 1836 ; ЕМ ФХ ; Cu ; VF-XF ; 66 ; тадыщ ; 2448 
 84 ; 5 копеек ; 1857 ; ЕМ ; Cu ; VF-XF ; 29 ; Sky2 ; 9030 
 85 ; 5 копеек ; 1916 ;  ; Cu ; VF-XF ; 42 ; evgenijzhuk ; 21225 
 86 ; 4 копейки ; 1762 ;  ; Cu ; VF ; 44 ; 25 ; 23904 
 87 ; 4 копейки ; 1762 ;  ; Cu ; F+ ; 43 ; Продано в зале ; 28000 
 88 ; 3 копейки ; 1846 ; СМ ; Cu ; VF ; 20 ; Продано в зале ; 3200 
 89 ; 3 копейки ; 1853 ; ЕМ ; Cu ; VF+ ; 77 ; vic-dmitri ; 2732 
 90 ; 3 копейки ; 1859 ; ЕМ ; Cu ; VF-XF ; 45 ; Sky2 ; 3003 
 91 ; 3 копейки ; 1874 ; ЕМ ; Cu ; XF ; 54 ; Продано в зале ; 3200 
 92 ; 2 копейки (Петров - 10 руб, Ильин - 3 руб) ; 1759 ; Гурт надп. ЕКАТЕРИНБУРГ ; Cu ; F- ; 12 ; SSK ; 1020 
 93 ; 2 копейки. Дефект чеканки (звёзды) ; 1763 ; ММ ; Cu ; VF ; 15 ; sotnik ; 1200 
 94 ; 2 копейки (Петров-7р, Ильин-3р) ; 1767 ; СПМ ; Cu ; F-VF ; 23 ; vic-dmitri ; 3184 
 95 ; 2 копейки. Брак чеканки ; 17?? ;  ; Cu ; VG ; 7 ; sotnik ; 712 
 96 ; 2 копейки ; 1771 ; ЕМ ; Cu ; VF ; 11 ; Продано в зале ; 700 
 97 ; 2 копейки ; 1788 ; СПМ ; Cu ; VF- ; 27 ; sotnik ; 1224 
 98 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF+ ; 54 ; Плутос ; 1599 
 99 ; 2 копейки (Петров - 2 руб, Ильин - 3 руб) ; 1790 ; АМ ; Cu ; VF- ; 35 ; Продано в зале ; 9500 
 100 ; 2 копейки ; 1812 ; КМ ; Cu ; VF+ ; 51 ; Продано в зале ; 800 
 1 ; Рубль ; 1720 ;  ; Ag ; XF ; 31 ; 78gen ; 72163 
 2 ; Рубль ; 1733 ;  ; Ag ; XF ; 33 ; Продано в зале ; 25000 
 3 ; Рубль ; 1733 ;  ; Ag ; VF-XF/XF ; 13 ; sax ; 19290 
 4 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 23 ; Продано в зале ; 25000 
 5 ; Рубль ; 1735 ;  ; Ag ; VF-XF ; 24 ; sax ; 17872 
 6 ; Рубль ; 1736 ;  ; Ag ; XF ; 15 ; Продано в зале ; 25000 
 7 ; Рубль ; 1737 ;  ; Ag ; XF- ; 16 ; Осень896 ; 20553 
 8 ; Рубль ; 1738 ; СПБ ; Ag ; XF-/XF+ ; 46 ; Продано в зале ; 28000 
 9 ; Рубль ; 1742 ; СПБ ; Ag ; XF- ; 44 ; тадыщ ; 38669 
 10 ; Рубль ; 1757 ; ММД МБ ; Ag ; XF ; 35 ; тадыщ ; 48960 
 11 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; XF+ ; 28 ; Продано в зале ; 24000 
 12 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; XF ; 44 ; 222211 ; 18147 
 13 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF+ ; 22 ; Продано в зале ; 18000 
 14 ; Рубль ; 1783 ; СПБ ИЗ TI ; Ag ; VF-XF ; 15 ; Sintez ; 22672 
 15 ; Рубль ; 1808 ; СПБ МК ; Ag ; XF- ; 11 ; krugerrand ; 37400 
 16 ; Рубль ; 1810 ; СПБ ФГ ; Ag ; XF ; 68 ; sotnik ; 35857 
 17 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF ; 27 ; Продано в зале ; 15000 
 18 ; Рубль ; 1813 ; СПБ ПС ; Ag ; XF ; 20 ; Продано в зале ; 11500 
 19 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 41 ; Продано в зале ; 30000 
 20 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+/AU ; 32 ; krugerrand ; 25213 
 21 ; Рубль ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 65 ; Sintez ; 12750 
 22 ; Рубль ; 1828 ; СПБ НГ ; Ag ; XF ; 34 ; 78gen ; 20000 
 23 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 30 ; krugerrand ; 18927 
 24 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF- ; 26 ; sergius ; 7815 
 25 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+ ; 18 ; Продано в зале ; 10500 
 26 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF ; 46 ; DSA ; 7986 
 27 ; Рубль ; 1885 ; СПБ АГ ; Ag ; VF-XF ; 33 ; DSA ; 13770 
 28 ; Рубль ; 1891 ; (АГ) ; Ag ; AU ; 79 ; Продано в зале ; 44000 
 29 ; Рубль ; 1893 ; (АГ) ; Ag ; XF- ; 23 ; Продано в зале ; 28000 
 30 ; Рубль ; 1896 ; ( * ) ; Ag ; XF+ ; 20 ; Продано в зале ; 13000 
 31 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 40 ; Продано в зале ; 32000 
 32 ; Рубль ; 1898 ; (АГ) ; Ag ; XF+ ; 34 ; Продано в зале ; 14000 
 33 ; Рубль ; 1915 ; (ВС) ; Ag ; AU ; 36 ; sax ; 40809 
 34 ; Полтина ; 1743 ; СПБ ; Ag ; VF ; 42 ; samara 67 ; 20297 
 35 ; Полтина (Ильин - 3 руб) ; 1833 ; СПБ НГ ; Ag ; VF-XF ; 54 ; Продано в зале ; 13000 
 36 ; Полтина ; 1847 ; СПБ ПА ; Ag ; XF+ ; 54 ; Продано в зале ; 16000 
 37 ; Полтина ; 1878 ; СПБ НФ ; Ag ; AU ; 50 ; DSA ; 11445 
 38 ; Полтина ; 1913 ; (ЭБ) АГ ; Ag ; XF- ; 25 ; DSA ; 4534 
 39 ; Полуполтинник ; 1765 ; ММД ЕI ТI ; Ag ; VF-XF ; 70 ; krugerrand ; 13600 
 40 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; XF- ; 33 ; sdv75-2010 ; 4598 
 41 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 28 ; Продано в зале ; 7000 
 42 ; 25 копеек ; 1895 ; АГ ; Ag ; XF+ ; 51 ; Sky2 ; 4682 
 43 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 45 ; Продано в зале ; 21000 
 44 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 21 ; Kubus ; 2267 
 45 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 18 ; птичкин ; 2081 
 46 ; 20 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 18 ; Продано в зале ; 3800 
 47 ; 20 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 17 ; птичкин ; 2052 
 48 ; 20 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 34 ; Продано в зале ; 5000 
 49 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 65 ; slando ; 4083 
 50 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 29 ; Продано в зале ; 5200 
