 85 ; Денга ; 1716 ;  ; Cu ; F-VF ; 25 ; rugi ; 3800 
 86 ; Денга ; 1717 ;  ; Cu ; VF ; 49 ; rugi ; 5000 
 87 ; Денга (Петров-75р) ; 1718 ;  ; Cu ; F-VF ; 46 ; EON ; 60000 
 88 ; Денга (Ильин-75р) ; 1764 ; ЕМ ; Cu ; F+ ; 82 ; Hokusai ; 160000 
 89 ; Деньга (Ильин-3р) ; 1797 ; КМ ; Cu ; F ; 35 ; ??????? ; 2000 
 90 ; Полушка ; 1707 ;  ; Cu ; VF- ; 26 ; Zoltan 333 ; 1700 
 91 ; Полушка ; 1718 ;  ; Cu ; VF- ; 21 ; Продано в зале ; 850 
 92 ; Полушка ; 1719 ;  ; Cu ; VF- ; 18 ; Ravak_1981 ; 800 
 93 ; Полушка ; 1720 ; НД ; Cu ; VF+ ; 39 ; I3 ; 1700 
 94 ; Полушка ; 1730 ; Орёл 1730 г. ; Cu ; VF+ ; 57 ; Rumpel ; 7250 
 95 ; Полушка ; 1771 ; ЕМ ; Cu ; VF+ ; 11 ; Sky2 ; 3174 
 96 ; Полушка  (Петров-3р, Ильин-2р) ; 1803 ; ЕМ ; Cu ; F- ; 92 ; Kupferberg ; 21420 
 97 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF ; 33 ; max96 ; 7802 
 98 ; Медаль. За взяте Парижа 18 марта 1814г. D-28мм ;  ;  ; Ag ; VF- ; 33 ; Rumpel ; 22000 
 99 ; Медаль 200 лет со дня рождения Петра I. в обрезе шеи "А.Л.", под обрезом "КОП.В.БАРАНОВЪ". D-62мм ;  ;  ; Br ; XF- ; 29 ; Продано в зале ; 13500 
 100 ; Медаль В память 200-летия основания Санкт-Петербурга. 1703-1903 гг. D-64мм ;  ;  ; Br ; VF-XF ; 24 ; jbl ; 8321 
 1 ; 5 рублей. М-6,45г ; 1890 ; (АГ) ; Au ; XF ; 37 ; а1945 ; 42000 
 2 ; Рубль ; 1723 ; ОК ; Ag ; XF ; 63 ; 496 ; 75938 
 3 ; Рубль ; 1723 ;  ; Ag ; VF+ ; 20 ; а1945 ; 36000 
 4 ; Рубль (Петров-3,5р. Ильин-3р.) ; 1731 ;  ; Ag ; VF+ ; 33 ; Sintez ; 14000 
 5 ; Рубль ; 1732 ;  ; Ag ; VF-XF ; 27 ; Rumpel ; 23000 
 6 ; Рубль ; 1743 ; ММД ; Ag ; VF-XF ; 18 ; eastern wind ; 20029 
 7 ; Рубль ; 1750 ; СПБ ; Ag ; XF+/XF- ; 45 ; galik ; 33459 
 8 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; VF-XF ; 24 ; dagomas00 ; 24291 
 9 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF+ ; 51 ; 333985 ; 25000 
 10 ; Рубль ; 1818 ; СПБ ПС ; Ag ; VF-XF ; 26 ; Sky2 ; 7283 
 11 ; Рубль ; 1852 ; СПБ ПА ; Ag ; XF ; 40 ; 23011976 ; 16000 
 12 ; Рубль ; 1909 ; (ЭБ) ; Ag ; VF-XF ; 48 ; Продано в зале ; 33000 
 13 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF+ ; 21 ; SwaggaRakka ; 10000 
 14 ; Полуполтинник ; 1747 ; ММД ; Ag ; VF+ ; 40 ; 333985 ; 6250 
 15 ; 25 копеек ; 1873 ; СПБ HI ; Ag ; VF+ ; 74 ; Продано в зале ; 34000 
 16 ; 20 копеек ; 1767 ; ММД ; Ag ; VF+ ; 66 ; Rumpel ; 10000 
 17 ; 20 копеек ; 177? ;  ; Ag ; VF+ ; 52 ; птичкин ; 3200 
 18 ; 20 копеек ; 1903 ; СПБ АР ; Ag ; XF+ ; 42 ; Продано в зале ; 4000 
 19 ; 20 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 25 ; max96 ; 2200 
 20 ; Гривенник. Гурт снята подвеска 12 часов ; 1733 ;  ; Ag ; F-VF ; 74 ; gelo ; 25557 
 21 ; Гривенник ; 1747 ;  ; Ag ; VF-XF ; 21 ; electra ; 4200 
 22 ; 10 копеек (Петров-4р, Ильин-4р) ; 1825 ; СПБ НГ ; Ag ; VF ; 23 ; max96 ; 9800 
 23 ; 5 копеек ; 1757 ; СПБ ; Ag ; VF+ ; 17 ; птичкин ; 2200 
 24 ; 5 копеек ; 1758 ; СПБ ; Ag ; VF+ ; 30 ; Rumpel ; 2600 
 25 ; 5 копеек ; 1759 ; СПБ ; Ag ; VF+ ; 24 ; Sky2 ; 3000 
