 78 ; 2 копейки (Ильин-1р) ; 1828 ; КМ АМ ; Cu ; VF+ ; 16 ; OMT ; 512 
 79 ; 2 копейки ; 1830 ; КМ АМ ; Cu ; VF+ ; 14 ; Продано в зале ; 1800 
 80 ; 2 копейки ; 1866 ; ЕМ ; Cu ; XF- ; 37 ; Продано в зале ; 3100 
 81 ; Копейка ; 1728 ;  ; Cu ; VF ; 23 ; Продано в зале ; 6000 
 82 ; Копейка ; 1771 ; КМ "Сибирь" ; Cu ; VF ; 6 ; OMT ; 1000 
 83 ; Копейка ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 16 ; Продано в зале ; 650 
 84 ; Копейка ; 1819 ; КМ АД ; Cu ; VF+ ; 16 ; Bolt ; 600 
 85 ; Копейка ; 1827 ; КМ АМ ; Cu ; VF+ ; 18 ; Sky2 ; 918 
 86 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; VF-XF ; 26 ; Продано в зале ; 2400 
 87 ; Копейка ; 1828 ; КМ АМ ; Cu ; VF+ ; 9 ; Продано в зале ; 210 
 88 ; Копейка ; 1903 ; СПБ ; Cu ; AU ; 5 ; Продано в зале ; 2000 
 89 ; Копейка ; 1904 ; СПБ ; Cu ; AU ; 10 ; Продано в зале ; 2800 
 90 ; Денга (Петров-2р) ; 1767 ; КМ "Сибирь" ; Cu ; VF ; 52 ; OMT ; 2400 
 91 ; Денга ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 5 ; ОМВ ; 327 
 92 ; Денга ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 14 ; Продано в зале ; 650 
 93 ; Денга (Петров-1р) ; 1785 ; КМ ; Cu ; VF- ; 14 ; Продано в зале ; 550 
 94 ; Денга (Ильин-1р) ; 1788 ; КМ ; Cu ; VF- ; 19 ; Продано в зале ; 700 
 95 ; Денга (Ильин-1р) ; 1791 ; КМ ; Cu ; VF+ ; 14 ; Продано в зале ; 650 
 96 ; Денга (Ильин-1р) ; 1792 ; КМ ; Cu ; VF- ; 9 ; Продано в зале ; 550 
 97 ; Денга (Ильин-1р) ; 1793 ; КМ ; Cu ; VF- ; 11 ; Продано в зале ; 450 
 98 ; Деньга (Петров-1р, Ильин-3р) ; 1798 ; КМ ; Cu ; F-VF ; 29 ; Продано в зале ; 1600 
 99 ; Деньга (Ильин-3р) ; 1807 ; КМ ; Cu ; VF ; 37 ; кве ; 9012 
