 90 ; 2 копейки (Петров-2р, Ильин-3р) ; 1789 ; АМ ; Cu ; F-VF ; 33 ; Продано в зале ; 6600 
 91 ; 2 копейки ; 1797 ; КМ ; Cu ; VF+ ; 9 ; Petrogradka ; 1712 
 92 ; 2 копейки ; 1798 ; КМ ; Cu ; VF+ ; 9 ; Petrogradka ; 1224 
 93 ; Копейка ; 1801 ; ЕМ ; Cu ; XF+ ; 16 ; Продано в зале ; 3000 
 94 ; Копейка ; 1822 ; КМ АМ ; Cu ; VF-XF ; 11 ; nemoYA ; 765 
 95 ; Копейка ; 1851 ; ВМ ; Cu ; VF+ ; 17 ; Продано в зале ; 1500 
 96 ; Копейка ; 1859 ; ВМ ; Cu ; VF+ ; 26 ; taa ; 1950 
 97 ; Копейка ; 1860 ; ВМ ; Cu ; VF+ ; 18 ; taa ; 2142 
 98 ; Денга. Инкузный след ; 1741 ;  ; Cu ; F+ ; 11 ; Harlock ; 781 
 99 ; Денга. Брак чеканки ; 1746 ;  ; Cu ; F+ ; 38 ; Продано в зале ; 1200 
 100 ; Денга ; 1795 ; ЕМ ; Cu ; VF-XF ; 27 ; Продано в зале ; 4400 
 1 ; 5 рублей. М-6,53г ; 1847 ; СПБ АГ ; Au ; XF+ ; 22 ; Zorrosha ; 44982 
 2 ; 5 рублей. М-4,30гр ; 1909 ; (ЭБ) ; Au ; XF+ ; 28 ; андрей&ка ; 28560 
 3 ; 3 рубля. М-3,91г ; 1876 ; СПБ НI ; Au ; XF ; 36 ; sme15 ; 103134 
 4 ; Рубль ; 1725 ; ОК ; Ag ; VF-XF ; 29 ; Zorrosha ; 41220 
 5 ; Рубль ; 1802 ; СПБ АИ ; Ag ; VF-XF ; 17 ; Продано в зале ; 32000 
 6 ; Рубль (Ильин-3р) ; 1807 ; СПБ ФГ ; Ag ; VF+ ; 21 ; Владимир Петрович ; 26067 
 7 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF+ ; 39 ; nemoYA ; 18360 
 8 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF- ; 23 ; verunk1 ; 10575 
 9 ; Рубль ; 1885 ; СПБ АГ ; Ag ; XF- ; 35 ; nemoYA ; 18133 
 10 ; Рубль ; 1897 ; (АГ) ; Ag ; XF+ ; 47 ; messerer ; 5025 
 11 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF+ ; 27 ; verunk1 ; 8976 
 12 ; Полтина ; 1802 ; СПБ АИ ; Ag ; VF- ; 28 ; Продано в зале ; 23000 
 13 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 47 ; Продано в зале ; 9000 
 14 ; 25 копеек ; 1896 ; АГ ; Ag ; XF+ ; 26 ; Продано в зале ; 2800 
 15 ; 20 копеек ; 1858 ; СПБ ФБ ; Ag ; AU/XF ; 24 ; serg2010 ; 5327 
 16 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 15 ; Продано в зале ; 3600 
 17 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 13 ; Продано в зале ; 1500 
 18 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU ; 29 ; Продано в зале ; 1600 
 19 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 9 ; Продано в зале ; 1400 
 20 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 6 ; Продано в зале ; 1500 
 21 ; 20 копеек ; 1866 ; СПБ HI ; Ag ; AU ; 13 ; serg2010 ; 3570 
 22 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 45 ; Продано в зале ; 1600 
 23 ; 20 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 10 ; Продано в зале ; 3200 
 24 ; 20 копеек ; 1869 ; СПБ HI ; Ag ; AU ; 20 ; Продано в зале ; 1000 
 25 ; 20 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 27 ; messerer ; 3200 
 26 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 28 ; Isay ; 3876 
 27 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 12 ; messerer ; 3200 
 28 ; 20 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 31 ; Продано в зале ; 3600 
 29 ; 15 копеек-1 злотый ; 1839 ; НГ Рус.-Пол. ; Ag ; XF- ; 9 ; валенок ; 2400 
 30 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 21 ; Isay ; 3876 
 31 ; 15 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 23 ; messerer ; 4181 
 32 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 15 ; volvoinblood ; 4589 
 33 ; Гривенник ; 1742 ;  ; Ag ; VF-XF ; 44 ; Isay ; 8209 
 34 ; Гривенник ; 1745 ;  ; Ag ; XF ; 53 ; валенок ; 9066 
 35 ; Гривенник ; 1748 ;  ; Ag ; VF-XF ; 13 ; nemoYA ; 2000 
 36 ; Гривенник ; 1769 ; СПБ TI ; Ag ; VF-XF ; 18 ; Sky2 ; 2550 
 37 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU/XF ; 29 ; taa ; 3400 
 38 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 15 ; verunk1 ; 2856 
 39 ; 10 копеек ; 1861 ; СПБ МИ ; Ag ; VF+ ; 14 ; Владимир Петрович ; 4600 
 40 ; 10 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 22 ; taa ; 2550 
 41 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 18 ; Isay ; 3876 
 42 ; 10 копеек ; 1866 ; СПБ HI ; Ag ; AU ; 34 ; antiquar ; 15414 
 43 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 29 ; Продано в зале ; 2600 
 44 ; 10 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 15 ; Isay ; 3978 
 45 ; 10 копеек ; 1874 ; СПБ HI ; Ag ; XF/AU ; 24 ; Isay ; 3978 
 46 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 13 ; volvoinblood ; 7500 
 47 ; 5 копеек ; 1757 ; СПБ ; Ag ; XF- ; 20 ; Алексей Викторович ; 4078 
 48 ; 5 копеек ; 1798 ; СП  ОМ ; Ag ; VF+ ; 24 ; Lisik ; 13033 
 49 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 11 ; messerer ; 6368 
 50 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; XF ; 16 ; messerer ; 7933 
