 74 ; 5 копеек ; 1789 ; АМ ; Cu ; XF- ; 33 ; 52333 ; 4258 
 75 ; 5 копеек ; 1795 ; АМ ; Cu ; VF-XF ; 21 ; Prus. ; 2005 
 76 ; 5 копеек. Павловский перечекан ; 1796 ; ЕМ Павл.перечек. ; Cu ; XF- ; 19 ; коваль ; 23926 
 77 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF+ ; 18 ; OMT ; 5610 
 78 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF- ; 11 ; 439 ; 2229 
 79 ; 5 копеек (Ильин-3р.) ; 1803 ; ЕМ ; Cu ; VF+ ; 33 ; Продано в зале ; 8500 
 80 ; 5 копеек (Ильин-3р.) ; 1808 ; ЕМ ; Cu ; VF+ ; 40 ; Продано в зале ; 5500 
 81 ; 5 копеек ; 1809 ; ЕМ ; Cu ; VF-XF ; 20 ; VAG ; 5104 
 82 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 27 ; Продано в зале ; 1300 
 83 ; 5 копеек ; 1863 ; ЕМ ; Cu ; VF-XF ; 13 ; OMT ; 1275 
 84 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF+ ; 17 ; Продано в зале ; 1200 
 85 ; 2 копейки ; 1763 ; ММ ; Cu ; VF+ ; 9 ; Продано в зале ; 1200 
 86 ; Копейка ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 17 ; igor_r65 ; 1300 
 87 ; Копейка ; 1893 ; СПБ ; Cu ; AU ; 15 ; Продано в зале ; 2100 
 88 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; XF- ; 17 ; Продано в зале ; 1900 
 89 ; 1/2 копейки ; 1840 ; ЕМ ; Cu ; VF-XF ; 17 ; messerer ; 1224 
 90 ; Денежка ; 1851 ; ЕМ ; Cu ; XF- ; 43 ; Продано в зале ; 1300 
 91 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU/XF ; 5 ; Продано в зале ; 2600 
 92 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; AU ; 15 ; Продано в зале ; 2800 
 93 ; 1/2 копейки ; 1893 ; СПБ ; Cu ; AU ; 25 ; Продано в зале ; 2800 
 94 ; Полушка. Брак чеканки ; 18 век ;  ; Cu ; VF- ; 17 ; Продано в зале ; 1400 
 95 ; Полушка ; 1789 ; ЕМ ; Cu ; VF+ ; 26 ; нумизмат ; 1200 
 96 ; Полушка (Петров-5р, Ильин-1р) ; 1850 ; ВМ ; Cu ; VF-XF ; 32 ; Продано в зале ; 11500 
 97 ; Полушка ; 1859 ; ЕМ ; Cu ; XF- ; 27 ; Продано в зале ; 1900 
 98 ; Полушка ; 1864 ; ЕМ ; Cu ; VF+ ; 21 ; андрей&ка ; 9500 
 99 ; 1/4 копейки ; 1867 ; СПБ ; Cu ; VF-XF ; 37 ; андрей&ка ; 9066 
 100 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; AU/XF ; 31 ; Маша-растеряша ; 5090 
 1 ; 10 рублей. В капсуле NGS ; 1903 ; (АР) АГ ; Au ; MS64 ; 9 ; Продано в зале ; 26000 
 2 ; 10 рублей. В капсуле NGS ; 1904 ; (АР) АГ ; Au ; MS65 ; 17 ; Продано в зале ; 34000 
 3 ; 5 рублей. М-6,53г ; 1850 ; СПБ АГ ; Au ; XF ; 25 ; Petrogradka ; 39565 
 4 ; 5 рублей. М-6,54г ; 1853 ; СПБ АГ ; Au ; XF+ ; 25 ; Petrogradka ; 46631 
 5 ; 5 рублей. М-6,56гр ; 1872 ; СПБ НI ; Au ; AU ; 21 ; Продано в зале ; 48000 
 6 ; 5 рублей. М-6,52г ; 1873 ; СПБ НI ; Au ; XF+ ; 15 ; 8128 ; 40800 
 7 ; 5 рублей. М-6,52г ; 1877 ; СПБ НI ; Au ; XF ; 34 ; messerer ; 35700 
 8 ; 5 рублей. М-6,55гр ; 1880 ; СПБ НФ ; Au ; AU/XF ; 13 ; андрей&ка ; 47802 
 9 ; Полтина. М-0,62г ; 1777 ; "Для дворцового обихода" ; Au ; VF-XF ; 60 ; Sky2 ; 29466 
 10 ; 3 рубля. М-10,29г ; 1842 ; СПБ ; Pt ; VF-XF ; 53 ; андрей&ка ; 72000 
 11 ; 3 рубля. М-10,26г ; 1844 ; СПБ ; Pt ; XF-/VF+ ; 39 ; андрей&ка ; 94000 
 12 ; 1,5 рубля ; 1839 ; На открытие бородинского памятника-часовни ; Ag ; XF ; 72 ; Продано в зале ; 220000 
 13 ; Рубль ; 1720 ;  ; Ag ; VF+ ; 40 ; 18051951 ; 39100 
 14 ; Рубль ; 1720 ;  ; Ag ; VF-XF ; 61 ; Zorrosha ; 66300 
 15 ; Рубль ; 1720 ; OK ; Ag ; VF+ ; 61 ; vvt ; 45973 
 16 ; Рубль ; 1724 ;  ; Ag ; XF- ; 29 ; Trien ; 45900 
 17 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 61 ; Продано в зале ; 67000 
 18 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 23 ; Vaha ; 15404 
 19 ; Рубль ; 1732 ;  ; Ag ; XF ; 24 ; Продано в зале ; 26000 
 20 ; Рубль ; 1734 ;  ; Ag ; VF-XF ; 28 ; Продано в зале ; 18000 
 21 ; Рубль ; 1741 ; СПБ ; Ag ; VF+ ; 43 ; Продано в зале ; 132500 
