 62 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; AU/XF ; 34 ; Продано в зале ; 4600 
 63 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 24 ; Продано в зале ; 2100 
 64 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 34 ; Продано в зале ; 2300 
 65 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 15 ; Продано в зале ; 2100 
 66 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 15 ; Продано в зале ; 1700 
 67 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 26 ; pilot2371 ; 3824 
 68 ; 5 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 29 ; Продано в зале ; 2600 
 69 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 11 ; TaraskaPeter ; 3090 
 70 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 19 ; elac ; 4318 
 71 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 11 ; swoon ; 4000 
 72 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 24 ; vlad77 ; 5202 
 73 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 20 ; tisa66 ; 16000 
 74 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 21 ; Продано в зале ; 11000 
 75 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 42 ; vlad77 ; 5000 
 76 ; 5 копеек. В капсуле NGC. MS63 ; 1887 ; СПБ АГ ; Ag ;  ; 35 ; sdds ; 3193 
 77 ; 5 копеек. В капсуле NGC. MS64 ; 1899 ; СПБ АГ ; Ag ;  ; 34 ; bont ; 4590 
 78 ; 4 копейки ; 1757 ; Ливонез ; Ag ; VF/VF+ ; 28 ; masterovoi ; 15200 
 79 ; Гривенник. Новодел ; 1761 ; Д меньше ; Cu ; VF-XF ; 26 ; specta ; 62000 
 80 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 72 ; Продано в зале ; 13000 
 81 ; 10 копеек. В капсуле NGC. MS64BN ; 1779 ; КМ "Сибирь" ; Cu ;  ; 72 ; dsidorov ; 62000 
 82 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; XF- ; 42 ; Продано в зале ; 10500 
 83 ; 5 копеек ; 1724 ; Хвост в 3 пера ; Cu ; VF- ; 25 ; nordbolivar ; 17000 
 84 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF-XF ; 18 ; nordbolivar ; 14000 
 85 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 25 ; Продано в зале ; 8500 
 86 ; 5 копеек ; 1786 ; КМ ; Cu ; VF-XF ; 60 ; Гаечка ; 1848 
 87 ; 5 копеек (Петров-3р) ; 1788 ; КМ ; Cu ; VF+ ; 49 ; samara 67 ; 6600 
 88 ; 5 копеек ; 1790 ; КМ ; Cu ; VF-XF ; 20 ; Продано в зале ; 2600 
 89 ; 5 копеек ; 1792 ; ЕМ ; Cu ; XF ; 46 ; Гаечка ; 2100 
 90 ; 5 копеек ; 1794 ; АМ ; Cu ; XF- ; 37 ; oxi89 ; 2392 
 91 ; 5 копеек ; 1803 ; КМ ; Cu ; VF-XF ; 30 ; 7787441 ; 5500 
 92 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF ; 39 ; paul196262 ; 6015 
 93 ; 5 копеек ; 1805 ; КМ ; Cu ; XF- ; 19 ; Продано в зале ; 7000 
 94 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF+ ; 46 ; Sky2 ; 12000 
 95 ; 3 копейки ; 1856 ; ВМ ; Cu ; VF+ ; 58 ; Продано в зале ; 9000 
 96 ; 3 копейки ; 1884 ; СПБ ; Cu ; XF+ ; 28 ; Продано в зале ; 8000 
 97 ; 3 копейки ; 1901 ; СПБ ; Cu ; AU ; 82 ; об ; 12990 
 98 ; 2 копейки. Новодел ; 1761 ;  ; Cu ; XF+ ; 51 ; specta ; 58000 
 99 ; 2 копейки ; 1766 ; СПМ ; Cu ; VF ; 48 ; медяшник ; 4562 
 100 ; 2 копейки (Петров - 7 руб, Ильин - 3 руб) ; 1767 ; СПМ ; Cu ; F-VF ; 21 ; Druja ; 7559 
 1 ; 10 рублей. М-12,88г ; 1894 ; (АГ) АГ ; Au ; XF+ ; 63 ; finger ; 210000 
 2 ; 5 рублей. М - 6,45г ; 1826 ; СПБ ПД ; Au ; VF-XF ; 47 ; DAndy-2003 ; 71400 
 3 ; 5 рублей. М - 6,45г ; 1841 ; СПБ АЧ ; Au ; XF+ ; 29 ; ЛАВ-13 ; 41555 
 4 ; 5 рублей. М-6,54г ; 1848 ; СПБ АГ ; Au ; AU ; 38 ; Продано в зале ; 58000 
 5 ; 5 рублей. М - 6,45г ; 1890 ; (АГ) ; Au ; AU ; 49 ; каламбурчик ; 48248 
 6 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 7 ; 50 рублей. М - 8,705г ; 1988 ; ММД Софийский собор в Новгороде ; Au ; Proof ; 13 ; ssuss ; 21420 
 8 ; 50 рублей. М - 8,63г ; 1990 ; ММД Церковь Архангела Гавриила в Москве ; Au ; Proof ; 13 ; Продано в зале ; 21000 
 9 ; 50 рублей. М - 8,695г ; 1995 ; ММД Церковь Спаса на Нередице ; Au ; Proof ; 13 ; Продано в зале ; 24000 
 10 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; XF ; 30 ; taa ; 15606 
 11 ; Рубль. (Петров - 20 руб) ; 1718 ; OK ; Ag ; XF ; 51 ; Продано в зале ; 720000 
 12 ; Рубль ; 1720 ;  ; Ag ; XF ; 108 ; finger ; 200000 
 13 ; Рубль ; 1720 ;  ; Ag ; XF- ; 31 ; sd555 ; 45270 
 14 ; Рубль ; 1720 ; OK ; Ag ; XF- ; 43 ; ZOLTAN333 ; 56202 
 15 ; Рубль ; 1721 ; K ; Ag ; XF- ; 47 ; 4758 ; 56000 
 16 ; Рубль ; 1723 ; ОК ; Ag ; VF-XF ; 33 ; Продано в зале ; 52000 
 17 ; Рубль ; 1723 ;  ; Ag ; VF-XF ; 62 ; Продано в зале ; 44000 
 18 ; Рубль ; 1725 ;  ; Ag ; VF+ ; 41 ; Продано в зале ; 31000 
 19 ; Рубль ; 1724 ; СПБ ; Ag ; XF- ; 61 ; finger ; 165000 
 20 ; Рубль ; 1725 ; СПБ ; Ag ; VF-XF ; 29 ; Продано в зале ; 70000 
 21 ; Рубль (Петров - 7 руб) ; 1725 ; СПБ ; Ag ; VF+ ; 30 ; Продано в зале ; 63000 
 22 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 23 ; Рубль ; 1729 ;  ; Ag ; VF+ ; 30 ; Продано в зале ; 24000 
 24 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 48 ; Sky2 ; 33660 
 25 ; Рубль ; 1730 ;  ; Ag ; XF- ; 31 ; Продано в зале ; 48000 
 26 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 42 ; Продано в зале ; 19000 
 27 ; Рубль ; 1735 ;  ; Ag ; VF+ ; 33 ; samara 67 ; 17000 
 28 ; Рубль ; 1738 ; СПБ ; Ag ; VF-XF ; 38 ; vlad77 ; 30501 
 29 ; Рубль ; 1742 ; СПБ ; Ag ; VF-XF ; 23 ; Продано в зале ; 20000 
 30 ; Рубль. Портрет смещён вправо ; 1742 ; ММД ; Ag ; VF-XF ; 39 ; 496 ; 44802 
 31 ; Рубль ; 1764 ; ММД EI TI ; Ag ; XF ; 49 ; Продано в зале ; 56000 
 32 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; XF-/XF+ ; 14 ; swoon ; 19000 
 33 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; XF ; 41 ; 7787441 ; 27814 
 34 ; Рубль ; 1809 ; СПБ ФГ ; Ag ; XF+ ; 37 ; Работник ; 95256 
 35 ; Рубль ; 1816 ; СПБ МФ ; Ag ; AU ; 27 ; Продано в зале ; 40000 
 36 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 14 ; Продано в зале ; 30000 
 37 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 16 ; Продано в зале ; 25000 
 38 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 41 ; Продано в зале ; 42000 
 39 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF+ ; 29 ; DAndy-2003 ; 89760 
 40 ; Рубль ; 1872 ; СПБ HI ; Ag ; XF- ; 38 ; Работник ; 23460 
 41 ; Рубль ; 1893 ; (АГ) ; Ag ; XF ; 15 ; DAndy-2003 ; 29070 
 42 ; Полтина ; 1719 ; L ; Ag ; VF+ ; 35 ; Продано в зале ; 47000 
 43 ; Полтина (Ильин - 10 руб) ; 1734 ;  ; Ag ; VF ; 62 ; samara 67 ; 44738 
 44 ; Полтина ; 1897 ; ( * ) ; Ag ; XF+/AU ; 44 ; tisa66 ; 13000 
 45 ; Полуполтинник (Петров - 2 руб) ; 1744 ; ММД ; Ag ; XF- ; 59 ; sharik ; 21516 
 46 ; Полуполтинник ; 1756 ; ММД МБ ; Ag ; XF/VF-XF ; 45 ; paul196262 ; 10965 
 47 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 41 ; Продано в зале ; 10000 
 48 ; 20 копеек ; 1771 ; СПБ TI ; Ag ; XF ; 51 ; paul196262 ; 18134 
 49 ; 20 копеек ; 1849 ; СПБ ПА ; Ag ; XF+ ; 26 ; Продано в зале ; 3200 
 50 ; 20 копеек. В капсуле NGC. MS63 ; 1860 ; СПБ ФБ ; Ag ;  ; 33 ; Продано в зале ; 6000 
