 23 ; Рубль ; 1897 ; (АГ) ; Ag ; XF ; 17 ; Продано в зале ; 6200 
 24 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF ; 19 ; elac ; 4592 
 25 ; Полтина (Петров-4р) ; 1725 ;  ; Ag ; VF+ ; 42 ; 4758 ; 91000 
 26 ; Полтина ; 1726 ; СПБ ; Ag ; F-VF/VF ; 46 ; double ; 12240 
 27 ; Полтина ; 1733 ;  ; Ag ; VF+ ; 57 ; Продано в зале ; 22000 
 28 ; Полтина (Петров-5р, Ильин-4р) ; 1750 ; СПБ ; Ag ; VF+ ; 41 ; нумизмат ; 57120 
 29 ; Полтина (Петров-5р, Ильин-4р) ; 1759 ; СПБ ЯI BS ; Ag ; VF-XF ; 40 ; Продано в зале ; 86000 
 30 ; Полтина ; 1763 ; СПБ ЯI ; Ag ; VF ; 21 ; double ; 15300 
 31 ; Полтина ; 1840 ; СПБ НГ ; Ag ; VF+ ; 65 ; 16840 ; 4844 
 32 ; Полтина (Петров - 10р, Ильин - 15р) ; 1847 ; СПБ ПА ; Ag ; VF-XF ; 45 ; Продано в зале ; 100000 
 33 ; Полтина ; 1894 ; (АГ) ; Ag ; XF+ ; 41 ; elac ; 15625 
 34 ; Полуполтинник (Петров-4,5р) ; 1704 ; МД ; Ag ; F-VF ; 64 ; Продано в зале ; 40000 
 35 ; 25 копеек ; 1900 ; АГ ; Ag ; AU ; 58 ; Продано в зале ; 44000 
 36 ; 10 копеек ; 1833 ; СПБ НГ ; Ag ; XF- ; 21 ; Продано в зале ; 4800 
 37 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 15 ; Продано в зале ; 3000 
 38 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 27 ; alex550 ; 2267 
 39 ; 2 марки ; 1870 ; S Финляндия ; Ag ; AU ; 43 ; romik ; 4601 
 40 ; 1 марка ; 1865 ; S Финляндия ; Ag ; AU ; 22 ; 9052575 ; 3143 
 41 ; 1 марка ; 1867 ; S Финляндия ; Ag ; XF+ ; 44 ; нумизмат ; 3774 
 42 ; 1 марка ; 1872 ; S Финляндия ; Ag ; AU/XF ; 46 ; Fedor_K ; 5000 
 43 ; 50 пенни ; 1866 ; S Финляндия ; Ag ; AU/XF ; 54 ; нумизмат ; 4798 
 44 ; 50 пенни ; 1872 ; S Финляндия ; Ag ; AU ; 39 ; romik ; 5200 
 45 ; 50 пенни ; 1874 ; S Финляндия ; Ag ; AU ; 64 ; romik ; 6600 
 46 ; 25 пенни ; 1866 ; S Финляндия ; Ag ; AU/XF ; 42 ; Продано в зале ; 5800 
 47 ; 25 пенни ; 1872 ; S Финляндия ; Ag ; AU ; 33 ; 9052575 ; 3746 
 48 ; 25 пенни ; 1910 ; L Финляндия ; Ag ; AU ; 68 ; romik ; 2700 
 49 ; 5 копеек ; 1767 ; ЕМ ; Cu ; VF-XF ; 14 ; Sky2 ; 572 
 50 ; 5 копеек. В капсуле NGC ; 1778 ; ЕМ ; Cu ; MS 61 ; 31 ; Продано в зале ; 9600 
