 132 ; 25 копеек ; 1877 ; СПБ HI ; Ag ; XF- ; 25 ; Продано в зале ; 3400 
 133 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 11 ; Продано в зале ; 1900 
 134 ; Полтина (Петров-1р) ; 1880 ; СПБ НФ ; Ag ; XF ; 22 ; якши37 ; 9383 
 135 ; 1/2 копейки ; 1880 ; СПБ ; Cu ; XF/AU ; 21 ; Продано в зале ; 4500 
 136 ; 25 копеек (Петров-2р) ; 1881 ; СПБ НФ ; Ag ; XF- ; 53 ; Продано в зале ; 120000 
 137 ; 10 копеек ; 1882 ; СПБ НФ ; Ag ; XF ; 34 ; verunk1 ; 3589 
 138 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF- ; 26 ; ек ; 14178 
 139 ; 3 копейки ; 1884 ; СПБ ; Cu ; XF+ ; 68 ; Продано в зале ; 14000 
 140 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 26 ; Продано в зале ; 3200 
 141 ; 20 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 20 ; Продано в зале ; 4200 
 142 ; 15 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 23 ; Продано в зале ; 7000 
 143 ; 20 копеек. В капсуле PCGS ; 1887 ; СПБ АГ ; Ag ; AU ; 25 ; verunk1 ; 4794 
 144 ; 10 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 25 ; verunk1 ; 6000 
 145 ; 1/4 копейки ; 1888 ; СПБ ; Cu ; XF ; 42 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 7242 
 146 ; Рубль ; 1891 ; (АГ) ; Ag ; VF-XF ; 40 ; 0987654321 ; 13000 
 147 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 13 ; Продано в зале ; 3000 
 148 ; 3 копейки. В капсуле PCGS ; 1891 ; СПБ ; Cu ; MS63 ; 38 ; Игорь Викторович ; 13000 
 149 ; Полтина ; 1894 ; (АГ) ; Ag ; XF-/XF+ ; 21 ; Lisik ; 13000 
 150 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; XF ; 25 ; Продано в зале ; 10000 
 51 ; 2 копейки ; 1798 ; КМ ; Cu ; VF+ ; 25 ; UFO ; 3000 
 52 ; Деньга (Петров-1р, Ильин-3р) ; 1798 ; КМ ; Cu ; VF- ; 27 ; ksv11 ; 3400 
 53 ; 2 копейки ; 1799 ; КМ ; Cu ; VF-XF ; 51 ; OMT ; 5567 
 54 ; 2 копейки ; 1800 ; КМ ; Cu ; VF ; 15 ; UFO ; 1428 
 55 ; Полуполтинник (Петров-1,5р) ; 1801 ; СМ АИ ; Ag ; VF- ; 21 ; Продано в зале ; 9500 
 56 ; 2 копейки ; 1801 ; ЕМ ; Cu ; XF- ; 13 ; Продано в зале ; 1800 
 57 ; 2 копейки ; 1801 ; КМ ; Cu ; VF+ ; 31 ; UFO ; 3000 
 58 ; Деньга (Ильин-5р) ; 1801 ; ЕМ ; Cu ; F ; 19 ; SSK ; 11887 
 59 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 22 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 4342 
 60 ; 2 копейки (Петров-1р, Ильин-2р) ; 1803 ; ЕМ ; Cu ; VF ; 32 ; Продано в зале ; 17500 
 61 ; 5 копеек (Петров-10р, Ильин-5р) ; 1804 ; ЕМ ; Cu ; F-VF ; 24 ; Продано в зале ; 9500 
 62 ; 5 копеек (Петров-2р, Ильин-1р) ; 1805 ; КМ ; Cu ; VF/VF+ ; 39 ; Bolt ; 4590 
