 1 ; 5 рублей. М-6,54г ; 1876 ; СПБ НI ; Au ; XF+ ; 43 ; DSA ; 52000 
 2 ; 5 рублей. М-6,44г ; 1893 ; (АГ) ; Au ; XF+ ; 32 ; DSA ; 50000 
 3 ; Рубль ; 1719 ; ILL OK ; Ag ; VF+ ; 49 ; Продано в зале ; 26000 
 4 ; Рубль ; 1725 ; ОК ; Ag ; VF ; 57 ; Продано в зале ; 21000 
 5 ; Рубль ; 1727 ; СПБ ; Ag ; XF- ; 24 ; 496 ; 64000 
 6 ; Рубль ; 1731 ;  ; Ag ; XF- ; 28 ; 496 ; 20000 
 7 ; Рубль ; 1735 ;  ; Ag ; VF-XF ; 27 ; Продано в зале ; 16000 
 8 ; Рубль (Петров-3,5р) ; 1738 ;  ; Ag ; VF+ ; 12 ; Продано в зале ; 16000 
 9 ; Рубль ; 1750 ; ММД ; Ag ; VF+ ; 49 ; DSA ; 22000 
 10 ; Рубль ; 1762 ; СПБ НК ; Ag ; VF+ ; 39 ; Продано в зале ; 52000 
 11 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; XF/AU ; 21 ; Продано в зале ; 24000 
 12 ; Рубль ; 1768 ; ММД EI ; Ag ; VF-XF ; 15 ; Продано в зале ; 18000 
 13 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; XF+ ; 14 ; Продано в зале ; 19000 
 14 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 31 ; Продано в зале ; 8000 
 15 ; Рубль ; 1833 ; СПБ НГ ; Ag ; VF+ ; 11 ; DSA ; 5612 
 16 ; Рубль (Ильин-3р) ; 1838 ; СПБ НГ ; Ag ; VF-XF ; 52 ; волька76 ; 32000 
 17 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+ ; 65 ; Продано в зале ; 26000 
 18 ; Рубль ; 1844 ; MW ; Ag ; XF+ ; 35 ; Продано в зале ; 24000 
 19 ; Рубль ; 1846 ; СПБ ПА ; Ag ; VF-XF ; 10 ; Sintez ; 5667 
 20 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF- ; 22 ; Продано в зале ; 24000 
 21 ; Рубль ; 1893 ; (АГ) ; Ag ; VF-XF ; 42 ; Продано в зале ; 16500 
 22 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 44 ; Продано в зале ; 27000 
 23 ; Рубль ; 1899 ; (ФЗ) ; Ag ; AU ; 53 ; Sumo ; 18000 
 24 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF+ ; 40 ; feofan ; 13000 
 25 ; Полтина ; 1732 ;  ; Ag ; VF-XF ; 53 ; Продано в зале ; 18000 
 26 ; Полтина (Петров-3р. Ильин-3р.) ; 1810 ; СПБ ФГ ; Ag ; VF-XF ; 22 ; Продано в зале ; 27000 
 27 ; Полуполтинник ; 1769 ; ММД ЕI ; Ag ; VF+ ; 62 ; Продано в зале ; 15500 
 28 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; XF- ; 6 ; Pablo1 ; 4400 
 29 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; XF- ; 11 ; AlexMar ; 5100 
 30 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; XF ; 19 ; Продано в зале ; 3400 
 31 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; XF+ ; 22 ; Продано в зале ; 5200 
 32 ; 20 копеек. В капсуле ; 1860 ; СПБ ФБ ; Ag ;  ; 10 ; Продано в зале ; 12000 
 33 ; 20 копеек ; 1868 ; СПБ HI ; Ag ; XF+ ; 11 ; zuza ; 1125 
 34 ; 20 копеек ; 1869 ; СПБ HI ; Ag ; XF+ ; 13 ; Продано в зале ; 950 
 35 ; 20 копеек ; 1870 ; СПБ HI ; Ag ; XF+ ; 19 ; Продано в зале ; 850 
 36 ; 20 копеек ; 1872 ; СПБ HI ; Ag ; XF+ ; 17 ; zuza ; 1400 
 37 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; XF+ ; 19 ; zuza ; 1200 
 38 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 7 ; Продано в зале ; 1200 
 39 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; XF+ ; 13 ; Продано в зале ; 1100 
 40 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; XF+ ; 10 ; Продано в зале ; 2300 
 41 ; 20 копеек ; 1893 ; СПБ АГ ; Ag ; XF+ ; 20 ; Продано в зале ; 2300 
 42 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 19 ; Продано в зале ; 2100 
 43 ; 15 копеек ; 1873 ; СПБ HI ; Ag ; XF ; 13 ; Продано в зале ; 850 
 44 ; 15 копеек ; 1879 ; СПБ НФ ; Ag ; XF+ ; 24 ; обморок ; 1279 
 45 ; 15 копеек ; 1880 ; СПБ НФ ; Ag ; XF+ ; 18 ; Продано в зале ; 950 
 46 ; 10 копеек ; 1804 ; СПБ ФГ ; Ag ; XF- ; 130 ; krugerrand ; 35474 
 47 ; 10 копеек ; 1848 ; СПБ HI ; Ag ; XF- ; 11 ; ААФ ; 1000 
 48 ; 10 копеек ; 1852 ; СПБ ПА ; Ag ; XF ; 15 ; ААФ ; 1683 
 49 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 28 ; ААФ ; 3689 
 50 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; XF ; 21 ; Продано в зале ; 1900 
