 86 ; 3 копейки ; 1859 ; ЕМ ; Cu ; XF- ; 30 ; Продано в зале ; 2400 
 87 ; 2 копейки ; 1774 ; ЕМ ; Cu ; VF-XF ; 17 ; участник 108 ; 3627 
 88 ; 2 копейки ; 1788 ; ММ ; Cu ; VF-XF ; 34 ; Продано в зале ; 2100 
 90 ; 2 копейки (Петров-6р, Ильин-8р) ; 1793 ; АМ ; Cu ; F-VF ; 23 ; Продано в зале ; 10000 
 91 ; 2 копейки. Следы букв под орлом ; 1802 ; ЕМ ; Cu ; VF+ ; 21 ; Продано в зале ; 16500 
 92 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF+ ; 21 ; Продано в зале ; 1400 
 93 ; 2 копейки (Ильин-2р) ; 1855 ; ВМ ; Cu ; VF ; 24 ; double ; 3538 
 94 ; 2 копейки ; 1856 ; ЕМ ; Cu ; XF ; 31 ; Продано в зале ; 5400 
 95 ; Копейка ; 1707 ; МД ; Cu ; VF ; 46 ; serg2010 ; 3043 
 96 ; Копейка ; 1712 ; ·Б·К· ; Cu ; VF- ; 16 ; alex550 ; 2000 
 97 ; Копейка ; 1713 ; М Д ; Cu ; VF ; 20 ; Продано в зале ; 1300 
 98 ; Копейка. Крым. Шахин-Гирей. 4-й год правления ; 1191 (1777) ;  ; Cu ; VF-XF ; 31 ; Продано в зале ; 5200 
 99 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 19 ; double ; 1587 
 100 ; Копейка ; 1853 ; ВМ ; Cu ; XF ; 16 ; участник 108 ; 5400 
 101 ; Копейка ; 1802 ; КМ ;  ; AU ; 89 ; alex550 ; 55555 
 1 ; Рубль ; 1719 ; OK ; Ag ; VF+ ; 25 ; Продано в зале ; 32000 
 2 ; Рубль ; 1721 ; K ; Ag ; XF- ; 56 ; Продано в зале ; 56000 
 3 ; Рубль ; 1725 ;  ; Ag ; VF+ ; 33 ; Продано в зале ; 23000 
 4 ; Рубль ; 1743 ; СПБ ; Ag ; VF+ ; 13 ; arsenich-s ; 15606 
 5 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF- ; 21 ; Продано в зале ; 24000 
 6 ; Рубль ; 1812 ; СПБ МФ ; Ag ; VF-XF ; 25 ; inveterate ; 4647 
 7 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ; XF ; 67 ; SSSSSSSSS ; 91800 
 8 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; AU ; 49 ; 496 ; 17177 
 9 ; Рубль ; 1851 ; СПБ ПА ; Ag ; AU/XF ; 37 ; 462 ; 12467 
 10 ; Рубль ; 1852 ; СПБ ПА ; Ag ; AU ; 53 ; 439 ; 26800 
 11 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; VF-XF ; 47 ; SSSSSSSSS ; 43929 
 12 ; Рубль ; 1888 ; (АГ) ; Ag ; XF+ ; 51 ; Kеrshin ; 51188 
 13 ; Рубль ; 1891 ; (АГ) ; Ag ; XF- ; 30 ; SSSSSSSSS ; 11000 
 14 ; Рубль ; 1893 ; (АГ) ; Ag ; XF- ; 41 ; Gorizn ; 12767 
 15 ; Рубль. Гурт: звездочка и птичка ; 1897 ; ( ** ) ; Ag ; XF ; 50 ; OMT ; 20000 
 16 ; Рубль ; 1906 ; (ЭБ) ; Ag ; VF+ ; 23 ; Продано в зале ; 26000 
 17 ; Рубль ; 1908 ; (ЭБ) ; Ag ; VF+ ; 42 ; Продано в зале ; 29000 
 18 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 32 ; SSSSSSSSS ; 10200 
 19 ; Полтина ; 1721 ;  ; Ag ; VF-XF ; 36 ; igors1969 ; 53607 
 20 ; Полтина (Петров-3р, Ильин-3р) ; 1731 ;  ; Ag ; VF- ; 17 ; лена ; 16387 
 21 ; Полтина (Петров-3р) ; 1740 ;  ; Ag ; VF ; 11 ; ВС ; 25500 
 22 ; Полтина ; 1742 ; ММД ; Ag ; VF ; 31 ; Стевиа ; 37733 
 23 ; Полтина (Петров-3р) ; 1764 ; СПБ ЯI ; Ag ; VF+ ; 37 ; arsenich-s ; 24933 
 24 ; Полтина (Ильин-3р) ; 1814 ; СПБ ПС ; Ag ; VF+ ; 28 ; Продано в зале ; 12000 
 25 ; Полтина ; 1827 ; СПБ НГ ; Ag ; VF+ ; 53 ; verunk1 ; 14555 
 26 ; Полтина ; 1836 ; СПБ НГ ; Ag ; VF+ ; 38 ; Стевиа ; 12240 
 27 ; Полтина ; 1851 ; СПБ ПА ; Ag ; XF+ ; 31 ; SSSSSSSSS ; 8025 
 28 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; AU/XF ; 32 ; taa ; 7142 
 29 ; Полтина ; 1900 ; (ФЗ) АГ ; Ag ; XF- ; 39 ; OMT ; 4719 
 30 ; Полуполтинник (Петров-2р) ; 1810 ; СПБ ФГ ; Ag ; VF ; 33 ; Продано в зале ; 27000 
