 5947 ; Почтовая карточка. С.-Петербургъ ;  ;  ;  ;  ; 7 ; Клавка ; 201 
 5948 ; Почтовая карточка. С.-Петербургъ ;  ;  ;  ;  ; 7 ; mks-1 ; 465 
 5949 ; Почтовая карточка. С.-Петербургъ ;  ;  ;  ;  ; 12 ; птичка16 ; 454 
 5950 ; Почтовая карточка. С.-Петербургъ ;  ;  ;  ;  ; 5 ; flutter ; 454 
 5951 ; Почтовая карточка "Царское село" ;  ;  ;  ;  ; 9 ; flutter ; 306 
 5952 ; Почтовая карточка "Царское село" ;  ;  ;  ;  ; 11 ; flutter ; 246 
 5953 ; Почтовая карточка "Царское село" ;  ;  ;  ;  ; 5 ; 98565цу ; 124 
 5954 ; Почтовая карточка "Царское село" ;  ;  ;  ;  ; 5 ; 98565цу ; 124 
 5955 ; Почтовая карточка "Царское село" ;  ;  ;  ;  ; 19 ; peck ; 246 
 5956 ; Почтовая карточка "Царское село" ;  ;  ;  ;  ; 5 ; уютный ; 123 
 5957 ; Почтовая карточка "Царское село" ;  ;  ;  ;  ; 8 ; фрегат ; 124 
 5958 ; Почтовая карточка "Царское село" ;  ;  ;  ;  ; 39 ; Карло ; 138 
 5959 ; Почтовая карточка "Царское село" ;  ;  ;  ;  ; 5 ; уютный ; 123 
 5960 ; Почтовая карточка "Царское село" ;  ;  ;  ;  ; 17 ; tpls ; 192 
 5961 ; Почтовая карточка "Царское село" ;  ;  ;  ;  ; 5 ; Komposter ; 149 
 5962 ; Почтовая карточка "Царское село" ;  ;  ;  ;  ; 13 ; Komposter ; 283 
 5963 ; Почтовая карточка "Царское село" ;  ;  ;  ;  ; 9 ; flutter ; 146 
 5964 ; Лот почтовых карточек (6 штук) ;  ;  ;  ;  ; 17 ; Лрс 21,12 ; 816 
 5965 ; Лот почтовых карточек (6 штук) ;  ;  ;  ;  ; 17 ; nikolas13 ; 305 
 5966 ; Лот почтовых карточек (6 штук) ;  ;  ;  ;  ; 30 ; nikolas13 ; 381 
 5967 ; Лот почтовых карточек. Германия (4 штук) ;  ;  ;  ;  ; 3 ; Литкинс ; 182 
 5968 ; Лот почтовых карточек (6 штук) ;  ;  ;  ;  ; 9 ; nikolas13 ; 225 
 5969 ; Лот почтовых карточек (6 штук) "С Новым годом!" ;  ;  ;  ;  ; 14 ; RAPAN ; 498 
 5970 ; Лот почтовых карточек (6 штук, Все открытки прошли почту Российской Империи, марки) ;  ;  ;  ;  ; 13 ; уютный ; 411 
 5971 ; Лот почтовых карточек (6 штук) "Наполеон" ;  ;  ;  ;  ; 23 ; Грег ; 1071 
 5972 ; Лот почтовых карточек (6 штук) ;  ;  ;  ;  ; 3 ; Ftog ; 261 
 5973 ; Лот почтовых карточек (6 штук) ;  ;  ;  ;  ; 24 ; SS2008 ; 332 
 5974 ; Лот почтовых карточек (6 штук) ;  ;  ;  ;  ; 5 ; SS2008 ; 261 
 5975 ; Лот почтовых карточек (6 штук) ;  ;  ;  ;  ; 11 ; Клавка ; 373 
 5976 ; Почтовая карточка со спец. Гашением 200 лет со дня рождения Ф.Ф.Беллинсгаузена 20.09.1978 ;  ;  ;  ;  ; 25 ; Приор ; 199 
 5977 ; Почтовая карточка со спец. Гашением (2 штуки) 150 лет со дня рождения П.П.Семенова 1977 ;  ;  ;  ;  ; 7 ; Приор ; 126 
 5978 ; Конверт со спец. Гашением АН-72 Полярный переплёт 70 лет ;  ;  ;  ;  ; 3 ; Ratmen ; 12 
 5979 ; Конверт со спец. Гашением (2 штуки) "Восток" 07.02.86 ;  ;  ;  ;  ; 5 ; maymuse ; 69 
 5880 ; Почтовая карточка. Мария - Антуанетта ;  ;  ;  ;  ; 7 ; Komposter ; 101 
 5881 ; Почтовая карточка. Сытный рынок ;  ;  ;  ;  ; 5 ; лена ; 148 
 5882 ; Почтовая карточка. Париж ;  ;  ;  ;  ; 5 ; tpls ; 101 
 5883 ; Почтовая карточка. Гатчина ;  ;  ;  ;  ; 7 ; flutter ; 306 
 5884 ; Почтовая карточка. Гатчина ;  ;  ;  ;  ; 3 ; schwab ; 200 
 5885 ; Почтовая карточка. Гатчина ;  ;  ;  ;  ; 3 ; schwab ; 200 
 5886 ; Почтовая карточка. Гатчина ;  ;  ;  ;  ; 11 ; yuri.gruzdev ; 347 
 5887 ; Почтовая карточка. Гатчина ;  ;  ;  ;  ; 3 ; schwab ; 200 
 5888 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 15 ; lenohota ; 77 
 5889 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 11 ; RAPAN ; 101 
 5890 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 17 ; RAPAN ; 253 
 5891 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 5 ; nikolas13 ; 46 
 5892 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 15 ; RAPAN ; 254 
 5893 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 13 ; бриз33 ; 123 
 5894 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 18 ; RAPAN ; 250 
 5895 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 7 ; nikolas13 ; 46 
 5896 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 5 ; nikolas13 ; 46 
 5897 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 5 ; nikolas13 ; 46 
 5898 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; гудзон ; 70 
 5899 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; бриз33 ; 109 
 5900 ; Почтовая карточка. Лот ( 6шт.) ;  ;  ;  ;  ; 7 ; nikolas13 ; 255 
 5901 ; Почтовая карточка. Лот ( 6шт.) ;  ;  ;  ;  ; 5 ; nikolas13 ; 255 
 5902 ; Почтовая карточка. Лот ( 6шт.) ;  ;  ;  ;  ; 14 ; nikolas13 ; 303 
 5903 ; Почтовая карточка. Лот ( 6шт.) ;  ;  ;  ;  ; 13 ; nikolas13 ; 303 
 5904 ; Почтовая карточка. Лот ( 6шт.) ;  ;  ;  ;  ; 7 ; nikolas13 ; 255 
 5905 ; Почтовая карточка. Лот ( 6шт.) ;  ;  ;  ;  ; 7 ; nikolas13 ; 255 
 5906 ; Почтовая карточка. Лот ( 6шт.) ;  ;  ;  ;  ; 11 ; nikolas13 ; 267 
 5907 ; Почтовая карточка. Уралъ ;  ;  ;  ;  ; 11 ; ac ; 657 
 5908 ; Почтовая карточка. ;  ;  ;  ;  ; 3 ; nikolas13 ; 47 
 5909 ; Почтовая карточка. Уралъ ;  ;  ;  ;  ; 17 ; flutter ; 663 
 5910 ; Почтовая карточка. Киевъ ;  ;  ;  ;  ; 3 ; nikolas13 ; 47 
 5911 ; Почтовая карточка. Нижний Новгородъ ;  ;  ;  ;  ; 13 ; уютный ; 110 
 5912 ; Почтовая карточка. "Христосъ Воскресе!" ;  ;  ;  ;  ; 16 ; пмт79 ; 284 
 5913 ; Почтовая карточка. "Христосъ Воскресе!" ;  ;  ;  ;  ; 7 ; пмт79 ; 226 
 5914 ; Почтовая карточка. "Христосъ Воскресе!" ;  ;  ;  ;  ; 19 ; пмт79 ; 261 
