 94 ; Денга ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 16 ; supreme ; 793 
 95 ; Денежка ; 1854 ; ЕМ ; Cu ; VF-XF ; 17 ; Продано в зале ; 900 
 96 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 23 ; 1999 ; 2101 
 97 ; Полушка ; 1768 ; ЕМ ; Cu ; VF+ ; 13 ; Продано в зале ; 5500 
 98 ; Полушка ; 1790 ; ЕМ ; Cu ; VF+ ; 14 ; Продано в зале ; 5500 
 99 ; 1/4 копейки ; 1883 ; СПБ ; Cu ; XF ; 17 ; pmaster ; 4001 
 100 ; Копейка. Крым, Шахин Гирей (4-ый год правления) ; 1777 ;  ; Cu ; VF- ; 55 ; Продано в зале ; 2100 
 1 ; 10 рублей. М-12,9г ; 1894 ; (АГ) АГ  ; Au ; VF-XF ; 59 ; Продано в зале ; 140000 
 2 ; Рубль ; 1720 ; K ; Ag ; VF+ ; 33 ; Продано в зале ; 29000 
 3 ; Рубль ; 1722 ;  ; Ag ; VF ; 20 ; Стевиа ; 46000 
 4 ; Рубль ; 1727 ;  ; Ag ; VF ; 25 ; skylink ; 27542 
 5 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 29 ; scaevola ; 26520 
 6 ; Рубль ; 1737 ;  ; Ag ; VF-XF ; 29 ; vvt ; 38760 
 7 ; Рубль ; 1757 ; ММД МБ ; Ag ; VF+ ; 66 ; Стевиа ; 21441 
 8 ; Рубль ; 1762 ; СПБ НК ; Ag ; VF-XF ; 42 ; skylink ; 57120 
 9 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; AU ; 30 ; verunk1 ; 24746 
 10 ; Рубль ; 1781 ; СПБ ИЗ ; Ag ; XF- ; 30 ; Стевиа ; 19000 
 11 ; Рубль ; 1804 ; СПБ ФГ ; Ag ; VF-XF ; 50 ; Стевиа ; 18360 
 12 ; Рубль ; 1824 ; СПБ ПД ; Ag ; XF- ; 37 ; 496 ; 7772 
 13 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF ; 39 ; Продано в зале ; 8500 
 14 ; Рубль. Редка. Ильин - 3 р. ; 1830 ; СПБ НГ ; Ag ; XF- ; 58 ; OMT ; 19553 
 15 ; Рубль ; 1840 ; СПБ НГ ; Ag ; AU ; 36 ; verunk1 ; 10211 
 16 ; Рубль ; 1844 ; MW ; Ag ; XF- ; 43 ; 496 ; 14280 
 17 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF+ ; 31 ; 496 ; 9486 
 18 ; Рубль ; 1847 ; MW ; Ag ; XF ; 22 ; Продано в зале ; 11500 
 19 ; Рубль ; 1851 ; СПБ ПА ; Ag ; AU ; 53 ; Продано в зале ; 24000 
 20 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 60 ; verunk1 ; 31620 
 21 ; Рубль ; 1884 ; СПБ АГ ; Ag ; XF+ ; 22 ; арбат ; 22222 
 22 ; Рубль ; 1893 ; (АГ) ; Ag ; XF+ ; 36 ; polk ; 27132 
 23 ; Полтина ; 1742 ; ММД ; Ag ; VF- ; 15 ; igors1969 ; 41934 
