 8 ; Рубль ; 1746 ; СПБ ; Ag ; VF+ ; 32 ; Продано в зале ; 14000 
 9 ; Рубль ; 1750 ; ММД ; Ag ; VF+ ; 23 ; Продано в зале ; 15500 
 10 ; Рубль ; 1751 ; СПБ ; Ag ; VF+ ; 30 ; eastern wind ; 17414 
 11 ; Рубль ; 1754 ; ММД МБ ; Ag ; VF+ ; 34 ; Продано в зале ; 19500 
 12 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; VF+ ; 24 ; Продано в зале ; 11000 
 13 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; AU ; 61 ; erwin ; 24512 
 14 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; AU ; 63 ; Продано в зале ; 25000 
 15 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; AU ; 24 ; Продано в зале ; 34000 
 16 ; Рубль ; 1847 ; СПБ ПА ; Ag ; XF ; 61 ; Продано в зале ; 14000 
 17 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF ; 41 ; валенок ; 74000 
 18 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF ; 41 ; Сыч ; 56610 
 19 ; Рубль ; 1874 ; СПБ HI ; Ag ; VF ; 55 ; }|{ивотное ; 9893 
 20 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF+ ; 24 ; Продано в зале ; 7500 
 21 ; Рубль ; 1892 ; (АГ) ; Ag ; VF+ ; 40 ; arcadymer ; 7075 
 22 ; Рубль ; 1898 ; ( ** ) ; Ag ; XF+ ; 55 ; Продано в зале ; 9000 
 23 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF ; 31 ; papinazu ; 57438 
 24 ; Полтина ; 1745 ; СПБ ; Ag ; VF ; 48 ; Продано в зале ; 31000 
 25 ; Полтина ; 1752 ; СПБ ; Ag ; VF+ ; 31 ; Продано в зале ; 34000 
 26 ; Полтина ; 1756 ; СПБ IM BS ; Ag ; VF- ; 22 ; Продано в зале ; 23000 
 27 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; AU ; 115 ; Valery74 ; 19368 
 28 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF- ; 28 ; Борис Моисеевич ; 5541 
 29 ; Полуполтинник ; 1783 ; СПБ ММ ; Ag ; XF- ; 17 ; Продано в зале ; 4500 
 30 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 70 ; амбал ; 16145 
 31 ; 20 копеек ; 1850 ; СПБ ПА ; Ag ; XF ; 36 ; Продано в зале ; 1900 
 32 ; 15 копеек ; 1771 ; ММД ; Ag ; XF ; 55 ; Продано в зале ; 11500 
 33 ; 15 копеек ; 1783 ; СПБ ; Ag ; VF+ ; 17 ; Mirator ; 5495 
 34 ; 15 копеек ; 1861 ; СПБ ; Ag ; XF ; 29 ; Продано в зале ; 750 
 35 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 21 ; M.M.M. ; 2507 
 36 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 17 ; M.M.M. ; 5667 
 37 ; Гривенник ; 1747 ;  ; Ag ; VF-XF ; 30 ; Foks ; 2399 
 38 ; Гривенник ; 1748 ;  ; Ag ; AU ; 41 ; Продано в зале ; 4000 
 39 ; Гривенник ; 1767 ; СПБ TI ; Ag ; XF ; 13 ; Mirator ; 3776 
 40 ; Гривенник ; 1769 ; СПБ TI ; Ag ; XF- ; 18 ; snupi ; 1490 
 41 ; Гривенник ; 1770 ; СПБ TI ; Ag ; XF ; 23 ; nik41 ; 3631 
 42 ; 5 копеек ; 1757 ; СПБ ; Ag ; XF ; 24 ; Продано в зале ; 1400 
 43 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 34 ; niki ; 6500 
 44 ; 5 копеек ; 1863 ; СПБ АБ ; Ag ; XF ; 45 ; валенок ; 8115 
 45 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 17 ; ААФ ; 3400 
 46 ; 5 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 18 ; Продано в зале ; 1600 
 47 ; 5 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 11 ; Rare Breed ; 1532 
 48 ; 10 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 33 ; erwin ; 6996 
 49 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 24 ; Foks ; 8232 
 50 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; VF+ ; 15 ; M.M.M. ; 4249 
