 5529 ; Бона иностранная ;  ;  ;  ;  ; 17 ; trial ; 102 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Дядя Саша ; 79 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Дядя Саша ; 70 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Русские Люди ; 104 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Русские Люди ; 104 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Русские Люди ; 104 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Olegas ; 57 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Olegas ; 62 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Дядя Саша ; 78 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 25 ; ЛАВ-13 ; 133 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Дядя Саша ; 31 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Дядя Саша ; 30 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Unrest ; 26 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Дядя Саша ; 48 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Дядя Саша ; 50 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Дядя Саша ; 45 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Дядя Саша ; 39 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Дядя Саша ; 40 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Дядя Саша ; 31 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 10 ; bva150979 ; 102 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ек ; 47 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 15 ; беркут ; 101 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 20 ; RusScat ; 87 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Дядя Саша ; 76 
 5377 ; Лот бон 3 шт ;  ;  ;  ;  ; 13 ; cotangens ; 57 
 5378 ; Бона иностранная США 3 шт. ; 1923 ;  ;  ;  ; 46 ; гугл= ; 1400 
 5379 ; Бона иностранная Сербия 5 шт ; 2011 ;  ;  ;  ; 13 ; brat52 ; 41 
 5380 ; Бона иностранная Сербия 5 шт ; 2011 ;  ;  ;  ; 11 ; brat52 ; 86 
 5381 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 25 ; лайк ; 204 
 5382 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; AU ; 23 ; svv ; 2244 
 5383 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 33 ; solder13 ; 1010 
 5384 ; 250 рублей ; 1920 ;  ;  ;  ; 37 ; 19Vlad72 ; 408 
 5385 ; 1 червонец ; 1937 ; Билет ;  ;  ; 24 ; sib8 ; 164 
 5386 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 31 ; sts ; 227 
 5387 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 41 ; ac ; 257 
 5388 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 32 ; GERo ; 102 
 5389 ; 5 рублей (2 шт) ; 1909 ;  ;  ;  ; 10 ; SANGOLD1 ; 68 
 5390 ; 10 рублей (2 шт) ; 1909 ;  ;  ;  ; 15 ; орсан ; 77 
 5391 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 20 ; дорого ; 62 
 5392 ; Бона иностранная. Германия. Оккупационный выпуск на территории Украины. 100 карбованцев.  Ровно. ; 1942 ;  ;  ;  ; 36 ; Agava ; 404 
 5393 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Новик ; 51 
 5394 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Jiamer57rus ; 24 
 5395 ; Бона иностранная ;  ;  ;  ;  ; 8 ; беркут ; 32 
 5396 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bva150979 ; 100 
 5397 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Дядя Саша ; 24 
 5398 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Дядя Саша ; 34 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ек ; 26 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 11 ; В1951 ; 25 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ек ; 34 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ек ; 42 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 11 ; tpkkarat ; 25 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ек ; 26 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 9 ; tpkkarat ; 25 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Русские Люди ; 30 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Potap ; 204 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Unrest ; 32 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 14 ; гугл= ; 31 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Дядя Саша ; 31 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Дядя Саша ; 30 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Jiamer57rus ; 23 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Дядя Саша ; 79 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 12 ; brat52 ; 26 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Дядя Саша ; 31 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Дядя Саша ; 31 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Дядя Саша ; 55 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 4 ; В1951 ; 37 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 9 ; All Frodo ; 35 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Дядя Саша ; 50 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Дядя Саша ; 50 
