 6644 ; Стопка чернение, высокая ;  ;  ; Ag ;  ; 64 ; RAPAN ; 2075 
 6645 ; Стопка, чернение. ;  ;  ; Ag ;  ; 53 ; RAPAN ; 1729 
 6646 ; Рюмка, чернение ;  ;  ; Ag ;  ; 42 ; ЗАБРАЛО ; 1856 
 6647 ; Рюмка с цветком ;  ;  ; Ag ;  ; 16 ; Dahan ; 1070 
 6648 ; Стопка царская, с монограммой ;  ;  ; Ag ;  ; 39 ; ask ; 1813 
 6649 ; Набор 3 предмета. Швеция ;  ;  ; Ж/м ;  ; 37 ; крлкв ; 1003 
 6650 ; Набор соусников 3 шт. Европа ;  ;  ; Ag ;  ; 72 ; никсер ; 3016 
 6479 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 42 ; ALEX1934 ; 1603 
 6480 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 49 ; Экскурсовод ; 1590 
 6481 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 20 ; ask ; 501 
 6482 ; В.Е. Семенов. Куда уходят деньги ;  ;  ;  ;  ; 7 ; ask ; 127 
 6483 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 33 ; B747 ; 287 
 6484 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 52 ; hanim ; 284 
 6485 ; Подделки российских монет. В. Е. Семенов ;  ;  ;  ;  ; 16 ; vladimirV ; 340 
 6486 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 20 ; prostor.71 ; 101 
 6487 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 12 ; ВУЛ ; 104 
 6488 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 23 ; Markgraf ; 108 
 6489 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 14 ; Strat ; 152 
 6490 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 27 ; Terem ; 151 
 6491 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 15 ; ВУЛ ; 153 
 6492 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 20 ; Rjn ; 289 
 6493 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 22 ; прохожий ; 289 
 6494 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 20 ; пупсик ; 289 
 6495 ; Монеты России в экспозиции Музея денежного обращения "Конрос" ;  ;  ;  ;  ; 11 ; an78gg ; 53 
 6496 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 13 ; Андрей/Пермь ; 118 
 6497 ; В.П. Малышев. ЭНЦИКЛОПЕДИЯ. Денежные эмиссии региональных и местных правительств России 1917-1923 гг ;  ;  ;  ;  ; 57 ; igor_k2016 ; 337 
 6498 ; А. Ильин. Русские монеты 1700-1725 гг. Петра I. Медная монета. Репринтное издание ;  ;  ;  ;  ; 22 ; aleksandr733 ; 89 
