 147 ; 1 пенни. В капсуле NGC ; 1901 ; Финляндия ; Cu ; MS 63 ; 29 ; serg2010 ; 1964 
 148 ; Рубль ; 1721 ; K ; Ag ; VF-XF ; 48 ; serg2010 ; 86000 
 149 ; Рубль ; 1739 ;  ; Ag ; VF-XF ; 31 ; Продано в зале ; 29000 
 150 ; Рубль ; 1752 ; СПБ IM ; Ag ; VF-XF ; 35 ; арбат ; 25500 
 51 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 26 ; Продано в зале ; 6000 
 52 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 56 ; Продано в зале ; 14000 
 53 ; Алтын ; 1704 ; БК ; Ag ; VF-XF ; 32 ; serg2010 ; 9015 
 54 ; 2 марки ; 1905 ; L Финляндия ; Ag ; VF-XF ; 50 ; maleevsw ; 31735 
 55 ; 50 пенни ; 1893 ; L Финляндия ; Ag ; AU ; 41 ; Продано в зале ; 11000 
 56 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 14 ; Продано в зале ; 10000 
 57 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; XF- ; 44 ; Rarik ; 12907 
 58 ; 10 копеек ; 1834 ; ЕМ ФХ ; Cu ; VF-XF ; 21 ; Rarik ; 9951 
 59 ; 5 копеек ; 1758 ;  ; Cu ; VF+ ; 43 ; Продано в зале ; 7500 
 60 ; 5 копеек ; 1759 ;  ; Cu ; VF+ ; 19 ; Продано в зале ; 7500 
 61 ; 5 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF-XF ; 42 ; Продано в зале ; 7500 
 62 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 27 ; Продано в зале ; 8500 
 63 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 51 ; Продано в зале ; 4200 
 64 ; 5 копеек (Петров-2р) ; 1802 ; КМ ; Cu ; VF-XF ; 27 ; Продано в зале ; 29000 
 65 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF+ ; 29 ; Продано в зале ; 4400 
 66 ; 5 копеек ; 1879 ; СПБ ; Cu ; AU/XF ; 52 ; Продано в зале ; 7000 
 67 ; 5 копеек ; 1880 ; СПБ ; Cu ; AU/XF ; 39 ; Продано в зале ; 7500 
 68 ; 5 копеек ; 1911 ; СПБ ; Cu ; AU ; 34 ; бегемот ; 2953 
 69 ; 3 копейки ; 1842 ; ЕМ ; Cu ; VF-XF ; 48 ; Продано в зале ; 7000 
 70 ; 3 копейки ; 1854 ; ЕМ ; Cu ; XF- ; 22 ; Продано в зале ; 8500 
 71 ; 3 копейки ; 1867 ; ЕМ ; Cu ; VF-XF ; 29 ; Продано в зале ; 16000 
 72 ; 3 копейки ; 1895 ; СПБ ; Cu ; XF+ ; 33 ; maleevsw ; 8109 
 73 ; 3 копейки ; 1899 ; СПБ ; Cu ; AU ; 52 ; 550055 ; 4029 
 74 ; 3 копейки ; 1912 ; СПБ ; Cu ; AU ; 55 ; Продано в зале ; 2900 
 75 ; 2 копейки ; 1758 ; Гурт надп. Екатер. ; Cu ; VF+ ; 63 ; _kit ; 7707 
 76 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF-XF ; 36 ; salax ; 20196 
 77 ; 2 копейки ; 1851 ; ЕМ ; Cu ; XF- ; 12 ; Продано в зале ; 4600 
 78 ; 2 копейки ; 1856 ; ЕМ ; Cu ; XF+ ; 38 ; AVA01 ; 9000 
 79 ; 2 копейки ; 1862 ; ЕМ ; Cu ; XF ; 59 ; Продано в зале ; 13000 
 80 ; 2 копейки ; 1879 ; СПБ ; Cu ; XF ; 23 ; Продано в зале ; 2800 
 81 ; 2 копейки ; 1893 ; СПБ ; Cu ; AU ; 35 ; Продано в зале ; 6500 
 82 ; 2 копейки ; 1898 ; СПБ ; Cu ; AU/XF ; 38 ; maleevsw ; 7089 
 83 ; 2 копейки ; 1912 ; СПБ ; Cu ; AU ; 86 ; Продано в зале ; 3600 
 84 ; Копейка ; 1728 ;  ; Cu ; XF- ; 55 ; Продано в зале ; 18000 
 85 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 45 ; Продано в зале ; 10500 
 86 ; Копейка ; 1755 ; СПБ ; Cu ; VF+ ; 23 ; Продано в зале ; 10500 
 87 ; Копейка. Перечекан шведского оре ; 1758 ;  ; Cu ; VF ; 61 ; нумизмат ; 32640 
 88 ; Копейка. Брак ; 1759 ;  ; Cu ; VF-XF ; 64 ; Продано в зале ; 14000 
 89 ; Копейка ; 1760 ;  ; Cu ; VF+ ; 65 ; арбат ; 4800 
 90 ; Копейка ; 1798 ; ЕМ ; Cu ; VF-XF ; 33 ; Продано в зале ; 2800 
 91 ; Копейка (Петров-10р, Ильин-10р) ; 1811 ; КМ ПБ ; Cu ; F-VF ; 36 ; арбат ; 62220 
 92 ; Копейка (Ильин-4р) ; 1817 ; КМ АМ ; Cu ; F-VF ; 29 ; арбат ; 17850 
 93 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; XF+ ; 53 ; Logistik ; 6505 
 94 ; Копейка ; 1840 ; СПМ ; Cu ; XF ; 39 ; electra ; 2054 
 95 ; Копейка ; 1897 ; СПБ ; Cu ; AU/XF ; 52 ; Продано в зале ; 2000 
 96 ; Копейка ; 1899 ; СПБ ; Cu ; AU ; 35 ; Продано в зале ; 2900 
 97 ; Копейка ; 1904 ; СПБ ; Cu ; AU ; 36 ; Продано в зале ; 3800 
 98 ; Копейка ; 1905 ; СПБ ; Cu ; AU ; 34 ; Продано в зале ; 3600 
 99 ; Денга  (Ильин-75р) ; 1764 ; ЕМ ; Cu ; VG ; 45 ; арбат ; 19000 
 100 ; Денга ; 1792 ; КМ ; Cu ; XF ; 44 ; Продано в зале ; 20000 
 1 ; Рубль (М - 1,57 г) ; 1757 ;  ; Au ; XF- ; 64 ; Продано в зале ; 66000 
 2 ; Дукат. Нидерланды. Петербургской чеканки. Признаки по Узденикову-8,10,12 М-3,47г ; 1841 ;  ; Au ; AU ; 48 ; Продано в зале ; 27000 
 3 ; Дукат. Нидерланды. Петербургской чеканки. Признаки по Узденикову-4,7 М-3,5г ; 1849 ;  ; Au ; XF ; 44 ; Продано в зале ; 25000 
 4 ; Рубль ; 1720 ; OK ; Ag ; XF ; 46 ; Продано в зале ; 60000 
 5 ; Рубль (Петров-4р) ; 1720 ; OK ; Ag ; XF- ; 46 ; 25 ; 90000 
 6 ; Рубль ; 1731 ;  ; Ag ; VF-XF ; 47 ; нумизмат ; 29415 
 7 ; Рубль ; 1733 ;  ; Ag ; XF ; 58 ; Продано в зале ; 74000 
 8 ; Рубль ; 1733 ;  ; Ag ; XF- ; 25 ; Продано в зале ; 26000 
 9 ; Рубль ; 1738 ;  ; Ag ; XF ; 37 ; Продано в зале ; 28000 
 10 ; Рубль ; 1753 ; ММД IП ; Ag ; XF- ; 36 ; Продано в зале ; 34000 
 11 ; Рубль (Петров-25р, Ильин-15р) ; 1757 ; СПБ ЯI ; Ag ; XF- ; 39 ; Продано в зале ; 740000 
 12 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; AU ; 53 ; Продано в зале ; 86000 
 13 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; XF+ ; 23 ; Продано в зале ; 46000 
 14 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; XF+ ; 17 ; Продано в зале ; 30000 
 15 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; AU ; 35 ; Продано в зале ; 54000 
 16 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; AU/XF ; 21 ; $$$ ; 32000 
 17 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF+ ; 31 ; Продано в зале ; 32000 
 18 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF ; 25 ; Продано в зале ; 135000 
 19 ; Рубль ; 1844 ; MW ; Ag ; XF+ ; 25 ; electra ; 11444 
 20 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF+ ; 35 ; electra ; 11220 
 21 ; Рубль ; 1875 ; СПБ HI ; Ag ; AU/XF ; 27 ; Продано в зале ; 62000 
 22 ; Рубль ; 1895 ; (АГ) ; Ag ; XF/AU ; 34 ; Продано в зале ; 80000 
 23 ; Рубль ; 1901 ; (ФЗ) ; Ag ; AU ; 36 ; INRI ; 65000 
 24 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF+ ; 53 ; Продано в зале ; 110000 
 25 ; Полтина ; 1727 ; СПБ ; Ag ; VF ; 47 ; Продано в зале ; 78000 
 26 ; Полтина ; 1728 ;  ; Ag ; VF+ ; 41 ; Продано в зале ; 120000 
 27 ; Полтина ; 1854 ; MW ; Ag ; XF- ; 40 ; Продано в зале ; 27000 
 28 ; Полтина ; 1896 ; ( * ) ; Ag ; XF/AU ; 33 ; maleevsw ; 8500 
 29 ; Полтина ; 1907 ; (ЭБ) АГ ; Ag ; AU ; 28 ; Продано в зале ; 96000 
 30 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; XF/AU ; 12 ; Продано в зале ; 16000 
 31 ; 25 копеек ; 1840 ; СПБ НГ ; Ag ; AU/XF ; 28 ; Продано в зале ; 25000 
 32 ; 25 копеек ; 1880 ; СПБ НФ ; Ag ; AU/XF ; 32 ; Продано в зале ; 15000 
 33 ; 25 копеек ; 1891 ; (АГ) АГ ; Ag ; XF- ; 41 ; Продано в зале ; 36000 
 34 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 10 ; Продано в зале ; 3000 
 35 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 21 ; Продано в зале ; 3200 
 36 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; Unc/AU ; 12 ; Продано в зале ; 4800 
 37 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 11 ; Продано в зале ; 4000 
 38 ; 15 копеек ; 1785 ; СПБ ; Ag ; XF+ ; 77 ; Продано в зале ; 15000 
 39 ; 15 копеек ; 1787 ; СПБ ; Ag ; XF+ ; 25 ; Продано в зале ; 13000 
 40 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 36 ; sd555 ; 6500 
 41 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 38 ; Продано в зале ; 5500 
 42 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 30 ; Продано в зале ; 4400 
 43 ; Гривенник ; 1783 ; СПБ ; Ag ; XF+ ; 30 ; 37577 ; 8058 
 44 ; 10 копеек (Петров-8р, Ильин-15р) ; 1814 ; СПБ СП ; Ag ; F+ ; 21 ; арбат ; 32000 
 45 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF+ ; 46 ; Продано в зале ; 12500 
 46 ; 10 копеек ; 1828 ; СПБ НГ ; Ag ; XF/XF+ ; 43 ; serg2010 ; 13998 
 47 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 11 ; Продано в зале ; 1300 
 48 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 11 ; Продано в зале ; 1900 
 49 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 11 ; Продано в зале ; 2400 
 50 ; 5 копеек ; 1757 ; СПБ ; Ag ; XF+ ; 40 ; каламбурчик ; 9632 
