 77 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; XF- ; 30 ; Hirosige ; 3600 
 78 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 24 ; Hirosige ; 2000 
 79 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF-XF ; 35 ; Hirosige ; 2600 
 80 ; 5 копеек ; 1850 ; ЕМ ; Cu ; XF ; 63 ; Hirosige ; 32000 
 81 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 82 ; 3 копейки (Ильин-1р) ; 1841 ; СМ ; Cu ; VF ; 98 ; Шиномонтаж ; 20000 
 83 ; 2 копейки ; 1763 ; ММ ; Cu ; VF+ ; 24 ; vit2503 ; 2600 
 84 ; 2 копейки (Петров-1р.) ; 1797 ;  ; Cu ; VF+ ; 50 ; papinazu ; 12000 
 85 ; 2 копейки (Ильин-3р) ; 1810 ; ЕМ НМ ; Cu ; F-VF ; 62 ; Продано в зале ; 3000 
 86 ; 2 копейки. Новодел ; 1810 ; ЕМ НМ Новодел ; Cu ; XF+ ; 69 ; papinazu ; 42000 
 87 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF ; 26 ; papinazu ; 2200 
 88 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF-XF ; 49 ; vit2503 ; 1400 
 89 ; 2 копейки В капсуле ; 1811 ; КМ ПБ ; Cu ;  ; 26 ; Адольф Виссорионов ; 5000 
 90 ; 2 копейки ; 1812 ; ЕМ НМ ; Cu ; XF- ; 11 ; sheriff 0 ; 1224 
 91 ; 2 копейки (Петров-2р, Ильин-1р) ; 1817 ; КМ ДБ ; Cu ; F+ ; 43 ; ЛАВ-13 ; 4559 
 92 ; 2 копейки ; 1821 ; КМ АМ ; Cu ; XF- ; 31 ; братва ; 1900 
 93 ; 2 копейки ; 1824 ; КМ АМ ; Cu ; XF ; 33 ; Продано в зале ; 3000 
 94 ; 2 копейки ; 1827 ; КМ АМ ; Cu ; XF ; 14 ; Ok203 ; 2493 
 95 ; 2 копейки (Ильин-1р) ; 1835 ; СМ ; Cu ; VF-XF ; 63 ; cotangens ; 8500 
 96 ; 2 копейки ; 1877 ; СПБ ; Cu ; XF+ ; 65 ; Продано в зале ; 42000 
 97 ; Копейка ; 1728 ;  ; Cu ; VF ; 39 ; Продано в зале ; 8500 
 98 ; Копейка  (Петров-15р, Ильин-20р) ; 1763 ; ЕМ ; Cu ; F- ; 34 ; Cherpoy ; 7777 
 99 ; Копейка ; 1811 ; СПБ МК ; Cu ; AU ; 49 ; Продано в зале ; 23000 
 100 ; Копейка ; 1814 ; ИМ ПС ; Cu ; VF+ ; 90 ; Шиномонтаж ; 5750 
 1 ; Рубль ; 1721 ;  ; Ag ; VF+ ; 75 ; гудзон ; 62500 
 2 ; Рубль ; 1723 ; ОК ; Ag ; VF+ ; 38 ; Обломов ; 52500 
 3 ; Рубль ; 1742 ; ММД ; Ag ; XF ; 74 ; Продано в зале ; 58000 
 4 ; Рубль ; 1751 ; СПБ ; Ag ; XF ; 46 ; Продано в зале ; 35000 
 5 ; Рубль ; 1762 ; ММД ДМ ; Ag ; VF-XF ; 52 ; iustas ; 95000 
 6 ; Рубль (Петров-3р.) ; 1762 ; ММД ДМ ; Ag ; VF ; 24 ; братва ; 52500 
 7 ; Рубль ; 1811 ; СПБ ФГ ; Ag ; XF- ; 13 ; specta ; 9066 
 8 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF ; 11 ; top1 ; 9500 
 9 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF+ ; 13 ; Продано в зале ; 11000 
 10 ; Рубль (Ильин-3р) ; 1816 ; СПБ ПС ; Ag ; XF- ; 24 ; братва ; 13000 
 11 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF- ; 17 ; iustas ; 12240 
 12 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF ; 25 ; Продано в зале ; 10500 
 13 ; Рубль ; 1833 ; СПБ НГ ; Ag ; AU ; 36 ; sax ; 24552 
 14 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF/AU ; 42 ; vic-dmitri ; 24000 
 15 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF- ; 26 ; Продано в зале ; 20000 
 16 ; Рубль ; 1853 ; СПБ HI ; Ag ; XF ; 57 ; Продано в зале ; 32000 
 17 ; Рубль ; 1853 ; СПБ HI ; Ag ; XF- ; 32 ; PamVan ; 21000 
 18 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF- ; 36 ; top1 ; 16453 
 19 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF- ; 39 ; PamVan ; 22000 
 20 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF+ ; 32 ; papinazu ; 12000 
 21 ; Рубль (Петров-3р) ; 1883 ; СПБ ДС ; Ag ; VF ; 35 ; vic-dmitri ; 36000 
 22 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 35 ; agilent ; 30000 
 23 ; Рубль ; 1890 ; (АГ) ; Ag ; XF ; 69 ; Продано в зале ; 72000 
 24 ; Рубль ; 1894 ; (АГ) ; Ag ; XF ; 34 ; vic-dmitri ; 34000 
 25 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 66 ; agilent ; 52000 
 26 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 56 ; vic-dmitri ; 57500 
 27 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF+ ; 65 ; m-antique ; 25000 
 28 ; Рубль ; 1897 ; ( ** ) ; Ag ; AU/XF ; 40 ; rogogor ; 13056 
