 342 ; 1/4 копейки ; 1895 ; СПБ ; Cu ; VF+ ; 38 ; Zoltan 333 ; 18000 
 343 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; XF ; 43 ; Zoltan 333 ; 3000 
 344 ; Бисти ; 1805 ; Грузия ; Cu ; VF- ; 52 ; 🐿️ ; 19000 
 345 ; Бисти ; 1810 ; Грузия ; Cu ; VF+ ; 31 ; Руслан1981 ; 18133 
 346 ; Полубисти ; 1810 ; Грузия ; Cu ; F ; 52 ; АВС ; 16000 
 347 ; Бисти. М-23,7г ; 1796? ; Грузия ; Cu ; VF- ; 30 ; АВС ; 5250 
 348 ; Полубисти. М-8,1г ; 1787 ; Грузия ; Cu ; F+ ; 44 ; Продано в зале ; 9500 
 349 ; Кырмыз (5 копеек). Хан Шахин-Гирей, Крымское ханство ; 5-й год правления 1781г. ;  ; Cu ; F+ ; 24 ; валенок ; 14000 
 350 ; Копейка. Хан Шахин-Гирей, Крымское ханство ;  ;  ; Cu ; F+ ; 13 ; vic-dmitri ; 1300 
 251 ; Копейка ; 1843 ; СПМ ; Cu ; VF ; 20 ; eastern wind ; 1100 
 252 ; Копейка ; 1843 ; СМ ; Cu ; VF ; 24 ; Hokusai ; 1200 
 253 ; Копейка ; 1853 ; ВМ ; Cu ; VF-XF ; 72 ; Сhatsky ; 9000 
 254 ; Копейка ; 1854 ; ЕМ ; Cu ; VF-XF ; 89 ; кве ; 2200 
 255 ; Копейка ; 1864 ; ВМ ; Cu ; VF-XF ; 41 ; Zoltan 333 ; 10000 
 256 ; Копейка ; 1881 ; СПБ ; Cu ; XF ; 20 ; АВС ; 2000 
 257 ; Копейка ; 1904 ; СПБ ; Cu ; XF+ ; 31 ; Продано в зале ; 4000 
 258 ; Денга ; 1700 ;  ; Cu ; VF- ; 34 ; а1945 ; 6500 
 259 ; Денга ; 1700 ;  ; Cu ; VF ; 49 ; Alexdav ; 2000 
 260 ; Денга ; 1701 ;  ; Cu ; F-VF ; 33 ; а1945 ; 5750 
 261 ; Денга ; 1703 ;  ; Cu ; VF ; 17 ; Alexdav ; 2400 
 262 ; Денга ; 1706 ;  ; Cu ; VF- ; 48 ; Брат ; 4400 
 263 ; Денга ; 1707 ;  ; Cu ; VF- ; 33 ; АВС ; 2200 
 264 ; Денга ; 1707 ;  ; Cu ; VF ; 35 ; Продано в зале ; 3200 
 265 ; Денга ; 1707 ;  ; Cu ; VF- ; 48 ; 333985 ; 1500 
 266 ; Денга ; 1707 ;  ; Cu ; F-VF ; 33 ; а1945 ; 5250 
 267 ; Денга ; 1710 ;  ; Cu ; VF- ; 34 ; 25 ; 8500 
 268 ; Денга ; 1709 ;  ; Cu ; F ; 31 ; eastern wind ; 10000 
 269 ; Денга ; 1730 ;  ; Cu ; VF+ ; 52 ; 16 ; 1102 
 270 ; Денга ; 1731 ;  ; Cu ; VF+ ; 16 ; nik41 ; 793 
 271 ; Денга (Петров-5р, Ильин-5р) ; 1789 ; КМ ; Cu ; F-VF ; 25 ; Hokusai ; 3400 
 272 ; Денга ; 1790 ;  ; Cu ; VF- ; 45 ; Продано в зале ; 12000 
 273 ; Денга (Петров-2р, Ильин-5р) ; 1792 ;  ; Cu ; VF ; 30 ; Hokusai ; 9000 
 274 ; Денга (Петров-6р, Ильин-5р) ; 1794 ;  ; Cu ; F+ ; 32 ; Hokusai ; 5250 
 275 ; Денга ; 1795 ; КМ ; Cu ; VF ; 42 ; Продано в зале ; 4200 
 276 ; Денга (Петров-2р.) ; 1767 ; КМ "Сибирь" ; Cu ; F ; 21 ; eastern wind ; 1100 
 277 ; Денга ; 1771 ; КМ "Сибирь" ; Cu ; VF- ; 18 ; птичкин ; 650 
 278 ; Денга ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 42 ; Продано в зале ; 3800 
 279 ; Деньга (Ильин-3р) ; 1799 ; КМ ; Cu ; VF ; 24 ; кве ; 2400 
 280 ; Деньга (Петров-2,5р, Ильин-5р) ; 1801 ; ЕМ ; Cu ; F ; 52 ; кве ; 11000 
 281 ; Деньга (Петров-2,25р. Ильин-3р.) ; 1807 ; КМ ; Cu ; F-VF ; 52 ; Hokusai ; 10500 
 282 ; Деньга (Петров-4р, Ильин-3р) ; 1813 ; КМ АМ ; Cu ; F+ ; 21 ; Сhatsky ; 2600 
 283 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; XF- ; 24 ; Сhatsky ; 1700 
 284 ; Деньга ; 1825 ; ЕМ ИК ; Cu ; VF ; 3 ; Moryak ; 589 
 285 ; Деньга ; 1827 ; ЕМ ИК ; Cu ; VF/XF ; 35 ; Kupferberg ; 3500 
 286 ; Деньга ; 1828 ; ЕМ ИК ; Cu ; VF+ ; 16 ; Moryak ; 3377 
 287 ; 1/2 копейки ; 1839 ; СМ ; Cu ; VF ; 11 ; птичкин ; 400 
 288 ; 1/2 копейки ; 1843 ; ЕМ ; Cu ; VF-XF ; 19 ; кве ; 350 
 289 ; Денежка ; 1851 ; ЕМ ; Cu ; VF+ ; 25 ; Hokusai ; 850 
 290 ; Денежка ; 1851 ; ВМ ; Cu ; VF-XF ; 35 ; обморок ; 3800 
 291 ; Денежка ; 1855 ; ЕМ ; Cu ; VF-XF ; 40 ; JohnSilver ; 1700 
 292 ; Денежка ; 1859 ; ЕМ ; Cu ; VF+ ; 13 ; Sky2 ; 1700 
 293 ; Денежка ; 1862 ; ЕМ ; Cu ; VF-XF ; 49 ; АВС ; 3800 
 294 ; Денежка ; 1864 ; ЕМ ; Cu ; VF+ ; 41 ; Продано в зале ; 5500 
 295 ; Денежка ; 1866 ; ЕМ ; Cu ; VF+ ; 38 ; Продано в зале ; 3000 
 296 ; 1/2 копейки (Ильин-1р.) ; 1872 ; ЕМ ; Cu ; VF-XF ; 68 ; валенок ; 11000 
 297 ; 1/2 копейки ; 1877 ; СПБ ; Cu ; XF ; 19 ; tisa66 ; 3200 
 298 ; 1/2 копейки ; 1879 ; СПБ ; Cu ; XF ; 21 ; anna53 ; 2800 
 299 ; 1/2 копейки ; 1881 ; СПБ ; Cu ; VF+ ; 21 ; 🐿️ ; 1400 
 300 ; 1/2 копейки ; 1882 ; СПБ ; Cu ; XF ; 54 ; АВС ; 5250 
 201 ; 2 копейки ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 13 ; electra ; 1600 
 202 ; 2 копейки ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 17 ; taa ; 1700 
 203 ; 2 копейки ; 1780 ; КМ "Сибирь" ; Cu ; VF ; 11 ; кабан ; 2500 
 204 ; 2 копейки ; 1797 ;  ; Cu ; VF ; 55 ; Обломов ; 11000 
 205 ; 2 копейки ; 1797 ; КМ ; Cu ; VF-XF ; 20 ; fgd ; 2200 
 206 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+ ; 47 ; Обломов ; 10199 
 207 ; 2 копейки (Петров-8р. Ильин-5р.) ; 1810 ; ЕМ НМ ; Cu ; VG ; 24 ; АВС ; 6750 
 208 ; 2 копейки ; 1810 ; ИМ МК ; Cu ; F ; 7 ; кабан ; 1915 
 209 ; 2 копейки (Илиьн-8р.) ; 1810 ; СПБ ПС ; Cu ; F ; 25 ; АВС ; 16000 
 210 ; 2 копейки ; 1813 ; ИМ ПС ; Cu ; XF ; 66 ; Продано в зале ; 2800 
 211 ; 2 копейки ; 1825 ; ЕМ ИШ ; Cu ; VF-XF ; 17 ; Продано в зале ; 2200 
 212 ; 2 копейки ; 1830 ; КМ АМ ; Cu ; VF+ ; 12 ; electra ; 1100 
 213 ; 2 копейки ; 1837 ; СМ ; Cu ; VF ; 30 ; Сhatsky ; 4200 
 214 ; 2 копейки ; 1839 ; СМ ; Cu ; VF-XF ; 8 ; Обломов ; 1019 
 215 ; 2 копейки ; 1845 ; СМ ; Cu ; VF ; 30 ; Hokusai ; 1800 
 216 ; 2 копейки ; 1856 ; ЕМ ; Cu ; VF+ ; 53 ; Hokusai ; 1500 
 217 ; 2 копейки ; 1857 ; ЕМ ; Cu ; VF+ ; 40 ; АВС ; 5750 
 218 ; 2 копейки ; 1861 ; ВМ ; Cu ; VF ; 26 ; Moryak ; 15453 
 219 ; 2 копейки ; 1862 ; ВМ ; Cu ; VF ; 47 ; Moryak ; 10500 
 220 ; 2 копейки ; 1863 ; ВМ ; Cu ; VF+ ; 37 ; Moryak ; 10199 
 221 ; 2 копейки ; 1877 ; СПБ ; Cu ; XF ; 33 ; Продано в зале ; 4000 
 222 ; 2 копейки ; 1899 ; СПБ ; Cu ; AU ; 94 ; Продано в зале ; 9000 
 223 ; 2 копейки ; 1903 ; СПБ ; Cu ; AU ; 75 ; Пешков87 ; 7500 
 224 ; Копейка ; 1710 ; ·Б·К· ; Cu ; VF- ; 25 ; Брат ; 4800 
 225 ; Копейка ; 1712 ; МД ; Cu ; VF ; 28 ; Продано в зале ; 2800 
 226 ; Копейка ; 1714 ; МД ; Cu ; F-VF ; 11 ; 333985 ; 1300 
 227 ; Копейка ; 1712 ; МД ; Cu ; VF ; 14 ; 333985 ; 1200 
 228 ; Копейка ; 1712 ; ·Б·К· ; Cu ; F-VF ; 30 ; АВС ; 3200 
 229 ; Копейка ; 1716 ; МД ; Cu ; VF ; 11 ; 333985 ; 1400 
 230 ; Копейка ; 1717 ; МД ; Cu ; VF- ; 17 ; АВС ; 2400 
 231 ; Копейка ; 1718 ; МД ; Cu ; F+ ; 16 ; АВС ; 3800 
 232 ; Копейка ; 1728 ;  ; Cu ; VF- ; 26 ; Hokusai ; 4200 
 233 ; Копейка ; 1728 ;  ; Cu ; VF ; 39 ; electra ; 6250 
 234 ; Копейка ; 1728 ;  ; Cu ; VF ; 16 ; electra ; 3600 
 235 ; Копейка ; 1755 ; ММД ; Cu ; VF- ; 40 ; Продано в зале ; 15000 
 236 ; Копейка ; 1757 ;  ; Cu ; F+ ; 28 ; Продано в зале ; 8500 
 237 ; Копейка (Петров-8р. Ильин-8р.) ; 1764 ; ММ ; Cu ; F- ; 29 ; Hokusai ; 4600 
 238 ; Копейка ; 1788 ; ММ ; Cu ; VF ; 27 ; Sumo ; 3200 
 239 ; Копейка (Петров-5р. Ильин-8р.) ; 1766 ; "Сибирь" ; Cu ; VG ; 19 ; Продано в зале ; 8500 
 240 ; Копейка (Петров-40р. Ильин-10р.) ; 1767 ; "Сибирь" ; Cu ; F- ; 32 ; Hokusai ; 13000 
