 72 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 66 ; niki ; 16000 
 73 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 32 ; Продано в зале ; 5000 
 74 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 76 ; волька76 ; 8000 
 75 ; 5 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 59 ; tisa66 ; 10000 
 76 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 45 ; Shootnic ; 11500 
 77 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 76 ; Логистик ; 10000 
 78 ; 5 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 43 ; vic-dmitri ; 3200 
 79 ; 5 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 50 ; niki ; 3600 
 80 ; 5 копеек ; 1885 ; СПБ АГ ; Ag ; XF+ ; 36 ; лампедуза ; 3124 
 81 ; 5 злотых ; 1817 ; IB Польша ; Ag ; VF-XF ; 78 ; Путеец ; 34000 
 82 ; 6 грошей ; 1761 ; Для Пруссии ; Ag ; VF ; 40 ; Hirosige ; 18000 
 83 ; 5 грошей ; 1827 ; IB Польша ; Ag ; VF-XF ; 70 ; Продано в зале ; 16000 
 84 ; Солид (Петров-6р) ; 1760 ; Для Пруссии ; Ag ; VF+ ; 48 ; SwaggaRakka ; 4600 
 85 ; 25 пенни. Капсула ; 1873 ; S Финляндия ; Ag ;  ; 70 ; sax ; 15300 
 86 ; 10 копеек (Ильин-2р) ; 1836 ; СМ ; Cu ; VF-XF ; 42 ; VAG ; 21560 
 87 ; 5 копеек ; 1763 ; СМ ; Cu ; VF ; 56 ; Valera G ; 6500 
 88 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 10 ; PamVan ; 9000 
 89 ; 5 копеек ; 1790 ; КМ ; Cu ; VF-XF ; 51 ; Hirosige ; 7500 
 90 ; 5 копеек ; 1831 ; СМ ; Cu ; XF- ; 97 ; Demenzia ; 10200 
 91 ; 5 копеек ; 1832 ; СМ ; Cu ; VF-XF ; 21 ; Demenzia ; 10200 
 92 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 3 ; Hirosige ; 2800 
 93 ; 5 копеек ; 1833 ; СМ ; Cu ; VF-XF ; 15 ; Demenzia ; 10476 
 94 ; 2 копейки. Новодел ; 1800 ; КМ Новодел ; Cu ; AU ; 132 ; Путеец ; 19000 
 95 ; 2 копейки ; 1810 ; КМ ; Cu ; XF ; 40 ; mai911 ; 5985 
 96 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF ; 38 ; киш-миш ; 3600 
 97 ; 2 копейки (Петров-3р) ; 1830 ; КМ АМ ; Cu ; XF ; 31 ; Анатолий Анатолий ; 4000 
 98 ; 2 копейки ; 1833 ; СМ ; Cu ; VF+ ; 25 ; Продано в зале ; 16000 
 99 ; 2 копейки ; 1836 ; СМ ; Cu ; VF-XF ; 47 ; Анатолий Анатолий ; 11000 
 100 ; 2 копейки ; 1838 ; ЕМ НА ; Cu ; VF+ ; 39 ; Аргонавт ; 3200 
 1 ; 50 злотых (Петров-40р, Ильин-25р). М-9,8г ; 1819 ; IB Польша ; Au ; XF ; 106 ; Продано в зале ; 220000 
 2 ; Рубль ; 1721 ;  ; Ag ; VF+ ; 37 ; SwaggaRakka ; 57500 
 3 ; Рубль ; 1723 ; ОК ; Ag ; XF ; 59 ; Продано в зале ; 155000 
 4 ; Рубль ; 1723 ;  ; Ag ; XF ; 57 ; SwaggaRakka ; 52500 
 5 ; Рубль ; 1738 ;  ; Ag ; VF-XF ; 43 ; iustas ; 30019 
 6 ; Рубль ; 1739 ; СПБ ; Ag ; VF-XF ; 34 ; 35 ; 25000 
 7 ; Рубль ; 1740 ; СПБ ; Ag ; VF ; 48 ; vic-dmitri ; 28000 
 8 ; Рубль(Петров-15р, Ильин-12р). Ремонт поля ; 1741 ; СПБ ; Ag ; VF ; 67 ; 333985 ; 160000 
 9 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF+ ; 49 ; Продано в зале ; 70000 
 10 ; Рубль (Петров-3р, Ильин-3р) ; 1769 ; ММД EI ; Ag ; VF-XF ; 39 ; Продано в зале ; 32000 
 11 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF- ; 24 ; vonrussel ; 21000 
 12 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF ; 4 ; Bolshoi2013 ; 17000 
 13 ; Рубль ; 1813 ; СПБ ПС ; Ag ; XF+ ; 31 ; tisa66 ; 17707 
 14 ; Рубль ; 1814 ; СПБ МФ ; Ag ; AU ; 11 ; Аргонавт ; 22000 
 15 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF+ ; 24 ; Bolshoi2013 ; 26541 
 16 ; Рубль ; 1816 ; СПБ ПС ; Ag ; XF+ ; 55 ; Продано в зале ; 18000 
 17 ; Рубль. Ошибка в надписи на гурте 28 14/25  ; 1817 ; СПБ ПС ; Ag ; XF+ ; 40 ; киш-миш ; 40000 
 18 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF+/AU ; 22 ; tisa66 ; 20000 
 19 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 88 ; Продано в зале ; 28000 
 20 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 36 ; niki ; 26000 
 21 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 10 ; top1 ; 13000 
 22 ; Рубль ; 1819 ; СПБ ПС ; Ag ; XF ; 9 ; asp ; 23100 
 23 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF+ ; 65 ; Волков 70 ; 44144 
 24 ; Рубль ; 1845 ; СПБ КБ ; Ag ; AU ; 89 ; Продано в зале ; 57500 
 25 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF ; 41 ; top1 ; 11500 
 26 ; Рубль ; 1888 ; (АГ) ; Ag ; VF-XF ; 22 ; Продано в зале ; 30000 
 27 ; Рубль ; 1893 ; (АГ) ; Ag ; XF-/XF+ ; 38 ; Продано в зале ; 46000 
 28 ; Рубль ; 1902 ; (АР) ; Ag ; XF ; 48 ; elac ; 55206 
 29 ; Рубль ; 1909 ; (ЭБ) ; Ag ; VF-XF/XF- ; 43 ; Продано в зале ; 26000 
 30 ; Рубль ; 1915 ; (ВС) ; Ag ; XF+ ; 51 ; Продано в зале ; 52500 
 31 ; Полтина (Петров-5р) ; 1705 ;  ; Ag ; XF ; 69 ; Продано в зале ; 200000 
 32 ; Полтина ; 1724 ;  ; Ag ; VF- ; 21 ; Аргонавт ; 32000 
 33 ; Полтина (Ильин-4р) ; 1727 ;  ; Ag ; XF- ; 49 ; sax ; 145000 
 34 ; Полуполтинник (Петров-4,5р) ; 1705 ;  ; Ag ; VF+ ; 50 ; Анатолий Анатолий ; 120000 
 35 ; Полуполтинник (Ильин-5р) ; 1805 ; СПБ ФГ ; Ag ; VF-XF ; 66 ; gelo ; 121557 
 36 ; Полуполтинник ; 1809 ; СПБ МК ; Ag ; VF-XF ; 51 ; gelo ; 65000 
 37 ; 25 копеек ; 1846 ; СПБ ПА ; Ag ; XF+ ; 45 ; 462 ; 11500 
 38 ; 25 копеек ; 1892 ; (АГ) АГ ; Ag ; XF+ ; 97 ; Продано в зале ; 120000 
 39 ; 20 копеек ; 1784 ; СПБ ; Ag ; VF-XF ; 43 ; Аргонавт ; 7250 
 40 ; 20 копеек ; 1811 ; СПБ ФГ ; Ag ; VF-XF ; 43 ; gelo ; 4800 
 41 ; 20 копеек ; 1820 ; СПБ ПД ; Ag ; XF+ ; 51 ; Продано в зале ; 10500 
 42 ; 20 копеек (Петров-10р, Ильин-6р) ; 1825 ; СПБ НГ ; Ag ; F-VF ; 15 ; Шиномонтаж ; 7401 
 43 ; 20 копеек (Ильин-3р) ; 1826 ; СПБ НГ ; Ag ; VF ; 57 ; gelo ; 10500 
 44 ; 20 копеек ; 1855 ; СПБ HI ; Ag ; XF ; 38 ; electra ; 3800 
 45 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 56 ; Продано в зале ; 11500 
 46 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 56 ; Продано в зале ; 13000 
 47 ; Гривенник ; 1794 ; СПБ ; Ag ; XF- ; 39 ; Продано в зале ; 7500 
 48 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 82 ; sdv75-2010 ; 17000 
 49 ; 10 копеек ; 1827 ; СПБ НГ ; Ag ; XF ; 31 ; vv2805 ; 14000 
 50 ; 10 копеек ; 1846 ; СПБ ПА ; Ag ; AU ; 45 ; Продано в зале ; 14000 
