 75 ; Копейка ; 1728 ;  ; Cu ; VF-XF ; 22 ; kaper ; 11222 
 76 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 7 ; сапсан ; 1656 
 77 ; Копейка ; 1819 ; КМ АД ; Cu ; VF-XF ; 26 ; Sky2 ; 711 
 78 ; Копейка ; 1830 ; КМ АМ ; Cu ; VF-XF ; 10 ; Sky2 ; 340 
 79 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 13 ; kaper ; 3945 
 80 ; Копейка. Новодел ; 1834 ; ЕМ ФХ ;  ; AU ; 13 ; Продано в зале ; 31000 
 81 ; Копейка. Новодел ; 1840 ; Новодел ; Cu ; XF+ ; 45 ; Продано в зале ; 24000 
 82 ; Копейка ; 1840 ; СПМ ; Cu ; VF+ ; 19 ; Isay ; 1530 
 83 ; Копейка ; 1841 ; СПМ ; Cu ; VF-XF ; 13 ; нумизмат ; 4200 
 84 ; Копейка ; 1842 ; СПМ ; Cu ; VF-XF ; 9 ; ЛАВ-13 ; 2550 
 85 ; Копейка ; 1889 ; СПБ ; Cu ; AU ; 43 ; Продано в зале ; 4200 
 86 ; Денга. (Петров-5р.) ; 1700 ;  ; Cu ; F+ ; 29 ; Продано в зале ; 3200 
 87 ; Денга ; 1709 ;  ; Cu ; F ; 11 ; ВС ; 1581 
 88 ; Деньга. Брак ; 1730-х гг ;  ; Cu ; F-VF ; 39 ; кs ; 5000 
 89 ; Денга (Ильин - 5р) ; 1793 ;  ; Cu ; F+ ; 20 ; Костян 92 ; 2278 
 90 ; Денга ; 1795 ; ЕМ ; Cu ; VF+ ; 13 ; котик ; 1780 
 91 ; Деньга (Петров-5р, Ильин-3р) ; 1812 ; КМ АМ ; Cu ; F-VF ; 23 ; cotangens ; 2267 
 92 ; Деньга ; 1818 ; ЕМ НМ ; Cu ; XF+ ; 15 ; Продано в зале ; 4000 
 93 ; Деньга ; 1825 ; ЕМ ИК ; Cu ; VF+ ; 14 ; нумизмат ; 5000 
 94 ; 1/2 копейки.Аверс//Реверс-90 градусов ; 1840 ; СПМ ; Cu ; VF+ ; 42 ; Продано в зале ; 1100 
 95 ; Полушка (Петров-5р.) ; 1745 ; Орёл 1744 г. ; Cu ; F+ ; 28 ; ST ; 8670 
 96 ; Полушка (Петров-3р.) ; 1746 ; Орёл 1744 г. ; Cu ; F+ ; 24 ; Isay ; 5100 
 97 ; Полушка (Петров-4р) ; 1791 ; КМ ; Cu ; F-VF ; 17 ; нумизмат ; 5668 
 98 ; Полушка ; 1805 ; ЕМ ; Cu ; F+ ; 23 ; ВС ; 16127 
 99 ; Полушка (Петров-3р.) ; 1804 ; КМ ; Cu ; F+/F ; 26 ; Продано в зале ; 6400 
 100 ; Бисти ; 1796 ; Грузия ; Cu ; F+ ; 41 ; Брат ; 37536 
 1 ; Рубль ; 1720 ;  ; Ag ; VF+ ; 41 ; нумизмат ; 87573 
 2 ; Рубль ; 1721 ;  ; Ag ; VF+ ; 36 ; нумизмат ; 73607 
 3 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 40 ; Продано в зале ; 44000 
 4 ; Рубль ; 1749 ; СПБ ; Ag ; XF ; 51 ; gavrspb ; 24356 
 5 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; AU/XF ; 57 ; sergius ; 40206 
 6 ; Рубль ; 1814 ; СПБ МФ ; Ag ; XF+ ; 26 ; Продано в зале ; 22000 
 7 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF+ ; 35 ; Продано в зале ; 26000 
 8 ; Рубль ; 1897 ; (АГ) ; Ag ; XF/AU ; 42 ; sheff78 ; 20910 
 9 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF+ ; 28 ; karden53 ; 116855 
 10 ; 3/4 рубля-5 злотых ; 1833 ; НГ Рус.-Пол. ; Ag ; VF-XF ; 24 ; arsenich-s ; 4079 
 11 ; Полтина ; 1732 ;  ; Ag ; VF ; 39 ; sax ; 21094 
 12 ; 25 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 56 ; Продано в зале ; 210000 
 13 ; 20 копеек ; 1787 ; СПБ ; Ag ; XF ; 39 ; maka ; 21516 
 14 ; 20 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 38 ; нумизмат ; 6948 
 15 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+/XF- ; 46 ; sax ; 7174 
 16 ; 15 копеек ; 1771 ; ММД ; Ag ; XF/AU ; 50 ; maka ; 24990 
 17 ; 15 копеек-1 злотый ; 1839 ; MW Рус.-Пол. ; Ag ; XF- ; 17 ; нумизмат ; 2348 
 18 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 13 ; sax ; 5715 
 19 ; Гривенник ; 1748 ;  ; Ag ; VF-XF ; 33 ; Lisik ; 3334 
 20 ; Гривенник ; 1757 ; МБ ; Ag ; VF-XF ; 31 ; cotangens ; 7140 
 21 ; Гривенник ; 1771 ; СПБ TI ; Ag ; XF- ; 62 ; maka ; 9180 
 22 ; 10 копеек ; 1866 ; СПБ HI ; Ag ; AU ; 27 ; Продано в зале ; 10000 
 23 ; 10 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 100 ; нумизмат ; 3661 
