 6 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; XF- ; 30 ; Sky2 ; 13526 
 7 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; VF-XF ; 74 ; Ok203 ; 18207 
 8 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; VF-XF ; 40 ; Ok203 ; 10710 
 9 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; XF- ; 21 ; Ok203 ; 13913 
 10 ; Рубль ; 1772 ; СПБ АШ TI ; Ag ; XF- ; 24 ; Sky2 ; 22000 
 11 ; Рубль ; 1773 ; СПБ QЛ TИ ; Ag ; XF ; 35 ; Продано в зале ; 25500 
 12 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF ; 45 ; Ok203 ; 25092 
 13 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; XF- ; 26 ; Ok203 ; 14327 
 14 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF ; 46 ; BA ; 7037 
 15 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF+ ; 32 ; Ok203 ; 16000 
 16 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 38 ; 222211 ; 23455 
 17 ; Рубль ; 1915 ; (ВС) ; Ag ; XF+ ; 32 ; sotnik ; 25120 
 18 ; Полтина ; 1721 ;  ; Ag ; XF- ; 44 ; papinazu ; 43697 
 19 ; Полтина ; 1852 ; СПБ ПА ; Ag ; VF-XF ; 26 ; taa ; 4624 
 20 ; Полуполтинник (Петров-1,25р) ; 1781 ; СПБ АГ ; Ag ; XF/AU ; 56 ; Продано в зале ; 19500 
 21 ; 25 копеек ; 1830 ; СПБ НГ ; Ag ; XF- ; 33 ; sax ; 12000 
 22 ; 25 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 51 ; амбал ; 11323 
 23 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; XF ; 24 ; fgd ; 3555 
 24 ; 20 копеек ; 1781 ; СПБ ; Ag ; VF+ ; 53 ; птичкин ; 3978 
 25 ; 20 копеек. Капсула ННР ; 1857 ; СПБ ФБ ; Ag ;  ; 37 ; sax ; 9000 
 26 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; XF+ ; 29 ; Продано в зале ; 1500 
 27 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; XF+ ; 22 ; papinazu ; 1407 
 28 ; 20 копеек ; 1889 ; СПБ АГ ; Ag ; XF+ ; 26 ; Продано в зале ; 2800 
 29 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; XF+ ; 14 ; Продано в зале ; 3600 
 30 ; 20 копеек ; 1917 ; ВС ; Ag ; XF+ ; 65 ; Продано в зале ; 37000 
 31 ; 15 копеек ; 1764 ; ММД ; Ag ; VF-XF ; 46 ; Продано в зале ; 4600 
 32 ; 15 копеек ; 1779 ; СПБ ; Ag ; VF+ ; 15 ; Olimpia ; 10414 
 33 ; 15 копеек-1 злотый ; 1840 ; MW Рус.-Пол. ; Ag ; VF+ ; 13 ; Продано в зале ; 1600 
 34 ; 15 копеек ; 1861 ; СПБ ФБ ; Ag ; XF ; 25 ; Olimpia ; 1247 
 35 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 30 ; Продано в зале ; 2500 
 36 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 24 ; Продано в зале ; 2600 
 37 ; 15 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 16 ; ЛАВ-13 ; 2017 
 38 ; Гривна ; 1705 ; БК ; Ag ; VF ; 16 ; Продано в зале ; 12500 
 39 ; Гривенник (Ильин-5р) ; 1755 ; ЕI ; Ag ; VF ; 77 ; Star. ; 13000 
 40 ; 10 копеек ; 1799 ; СМ МБ ; Ag ; VF+ ; 43 ; Olimpia ; 20910 
 41 ; 10 копеек (Петров-1р) ; 1810 ; СПБ ФГ ; Ag ; VF-XF ; 57 ; Продано в зале ; 38000 
 42 ; 10 копеек ; 1822 ; СПБ ПД ; Ag ; XF ; 13 ; Olimpia ; 1081 
 43 ; 10 копеек (Ильин - 5р.) ; 1850 ; СПБ ПА ; Ag ; VF-XF ; 38 ; Продано в зале ; 13000 
 44 ; 10 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 24 ; Продано в зале ; 2500 
 45 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; XF ; 19 ; Продано в зале ; 1500 
 46 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 23 ; Продано в зале ; 4200 
 47 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; XF+ ; 18 ; Продано в зале ; 1700 
 48 ; 10 копеек ; 1866 ; СПБ НФ ; Ag ; XF+ ; 36 ; taa ; 3264 
 49 ; 10 копеек ; 1917 ; ВС ; Ag ; XF+ ; 44 ; rogogor ; 5160 
 50 ; 5 копеек ; 1755 ; СПБ ; Ag ; VF ; 39 ; taa ; 5411 
