 169 ; 25 копеек (редкая датировка) ; 1871 ; СПБ HI ; Ag ; AU ; 32 ; Участник № 135 ; 100000 
 170 ; 15 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 20 ; ravs ; 7000 
 171 ; 20 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 35 ; Участник № 133 ; 1600 
 172 ; 15 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 11 ; toto ; 2629 
 173 ; 20 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 119 ; Участник № 7 ; 1100 
 174 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 18 ; Участник № 133 ; 5500 
 175 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; XF+ ; 12 ; Участник № 7 ; 900 
 176 ; 15 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 10 ; ravs ; 3185 
 177 ; 10 копеек ; 1876 ; СПБ HI ; Ag ; XF+ ; 11 ; Участник № 147 ; 2100 
 178 ; Полтина ; 1877 ; СПБ HI ; Ag ; AU/XF ; 22 ; Участник № 7 ; 5500 
 179 ; 15 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 14 ; ravs ; 5000 
 180 ; 15 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 18 ; Участник № 18 ; 3800 
 181 ; 15 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 23 ; toto ; 3787 
 182 ; 1/4 копейки ; 1878 ; СПБ ; Cu ; AU ; 22 ; int1965708 ; 6500 
 183 ; 1/4 копейки ; 1878 ; СПБ ; Cu ; AU ; 18 ; Участник № 51 ; 4600 
 184 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 7 ; andreyx  ; 1400 
 185 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 65 ; Участник № 147 ; 1800 
 186 ; 15 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 30 ; ravs ; 5100 
 187 ; Полтина ; 1880 ; СПБ НФ ; Ag ; VF-XF ; 19 ; Участник № 147 ; 3800 
 188 ; 15 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 24 ; Участник № 30 ; 6000 
 189 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 21 ; Участник № 133 ; 7000 
 190 ; 15 копеек ; 1881 ; СПБ НФ ; Ag ; AU ; 21 ; Участник № 30 ; 6000 
 191 ; Копейка ; 1881 ; СПБ ; Cu ; XF+ ; 11 ; Участник № 1204 ; 2400 
 192 ; Рубль ; 1884 ; СПБ АГ ; Ag ; XF+/XF- ; 19 ; Участник № 147 ; 15000 
 193 ; 15 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 21 ; SАП ; 6119 
 194 ; 5 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 12 ; andreyx  ; 920 
 195 ; Рубль ; 1885 ; СПБ АГ ; Ag ; AU ; 13 ; Участник № 147 ; 36000 
 196 ; 15 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 16 ; Участник № 133 ; 6000 
 197 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 49 ; Участник № 133 ; 1600 
