 65 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 47 ; Продано в зале ; 9000 
 66 ; 20 копеек ; 1769? ; СПБ TI ; Ag ; XF+ ; 30 ; Продано в зале ; 8000 
 67 ; 20 копеек (Петров - 1 руб) ; 1810 ; СПБ ФГ ; Ag ; XF- ; 20 ; Продано в зале ; 3200 
 68 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 40 ; Isay ; 7468 
 69 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 47 ; lupus47 ; 6630 
 70 ; 20 копеек ; 1829 ; СПБ НГ ; Ag ; XF ; 48 ; lupus47 ; 19799 
 71 ; 20 копеек ; 1832 ; СПБ НГ ; Ag ; VF+ ; 30 ; sdv75-2010 ; 6250 
 72 ; 20 копеек ; 1838 ; СПБ НГ ; Ag ; AU ; 41 ; 25 ; 11220 
 73 ; 20 копеек ; 1847 ; СПБ ПА ; Ag ; XF+ ; 24 ; Продано в зале ; 3900 
 74 ; 20 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 23 ; Продано в зале ; 7000 
 75 ; 20 копеек ; 1883 ; СПБ ДС ; Ag ; AU ; 46 ; 25 ; 11000 
 76 ; 15 копеек ; 1866 ; СПБ НФ ; Ag ; AU ; 47 ; Продано в зале ; 11000 
 77 ; 15 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 23 ; Продано в зале ; 4500 
 78 ; 10 копеек (Петров - 8р, Ильин - 15р) ; 1814 ; СПБ СП ; Ag ; F-VF ; 42 ; Продано в зале ; 16200 
 79 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 17 ; Продано в зале ; 6400 
 80 ; 10 копеек ; 1848 ; СПБ HI ; Ag ; XF+ ; 22 ; Продано в зале ; 3200 
 81 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 25 ; pilot2371 ; 2891 
 82 ; 10 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 47 ; prince1959 ; 3147 
 83 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 12 ; Продано в зале ; 4400 
 84 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 40 ; Продано в зале ; 38000 
 85 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 77 ; TaraskaPeter ; 5202 
 86 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 31 ; Продано в зале ; 9600 
 87 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 20 ; Продано в зале ; 13000 
 88 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 76 ; Продано в зале ; 25000 
 89 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 41 ; cheta ; 8057 
 90 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; XF+/AU ; 56 ; Продано в зале ; 5000 
 91 ; 5 копеек ; 1899 ; СПБ ЭБ ; Ag ; AU ; 22 ; Alex22D ; 10714 
 92 ; Копейка ; 1718 ; L перевернута ; Ag ; VF+ ; 16 ; Продано в зале ; 31000 
 93 ; Двойной абаз ; 1833 ; ВК Грузия ; Ag ; VF-XF ; 26 ; Продано в зале ; 15000 
 94 ; Полуабаз ; 1827 ; АТ Грузия ; Ag ; VF+ ; 38 ; Продано в зале ; 34000 
