 93 ; Полкопейки ; 1925 ;  ; Cu ; XF+ ; 28 ; коррозия ; 1485 
 94 ; Копейка. Брак чеканки ; 1854 ;  ; Cu ; VG ; 13 ; Продано в зале ; 4600 
 95 ; Денга. Брак чеканки ; 17?? ;  ; Cu ; VG ; 18 ; 121211 ; 1734 
 96 ; Денга. Брак чеканки ; 17?? ;  ; Cu ; VG ; 9 ; 121211 ; 340 
 97 ; Денга. Брак чеканки ; 1731 ;  ; Cu ; VG ; 5 ; Продано в зале ; 340 
 98 ; Денга. Брак чеканки ; 17?? ;  ; Cu ; VG ; 7 ; 121211 ; 1530 
 99 ; Денга. Брак гурчения ; 1793 ; ЕМ ; Cu ; VG ; 11 ; sotnik ; 1530 
 100 ; Знак миниатюрный. За окончание немедицинских факультетов Императорских российских Университетов ;  ;  ; Au ; XF ; 57 ; Продано в зале ; 30000 
 1 ; 5 рублей. М - 6,49г ; 1828 ; СПБ ПД ; Au ; VF+ ; 49 ; sts ; 43523 
 2 ; 5 рублей. М - 6,545г ; 1849 ; СПБ АГ ; Au ; AU/XF+ ; 68 ; Продано в зале ; 56000 
 3 ; Рубль. Петров-4р ; 1734 ;  ; Ag ; VF-XF ; 37 ; Продано в зале ; 50000 
 4 ; Рубль ; 1736 ;  ; Ag ; XF ; 40 ; fgd ; 27999 
 5 ; Рубль ; 1749 ; ММД ; Ag ; VF-XF ; 29 ; bratss ; 16431 
 6 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; VF/VF+ ; 24 ; AG ; 16575 
 7 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; VF-XF ; 27 ; Andys ; 16007 
 8 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; XF+ ; 31 ; Продано в зале ; 23000 
 9 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; XF- ; 38 ; Продано в зале ; 18000 
 10 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; XF- ; 33 ; Продано в зале ; 18000 
 11 ; Рубль ; 1796 ; СПБ IC TI ; Ag ; VF ; 19 ; mixailov19 ; 8500 
 12 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF- ; 21 ; Drusa80 ; 4620 
 13 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF ; 16 ; bratss ; 10311 
 14 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU/XF ; 34 ; Продано в зале ; 14000 
 15 ; Рубль ; 1909 ; (ЭБ) ; Ag ; VF-XF ; 61 ; ZOLTAN333 ; 24302 
 16 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; AU ; 38 ; Продано в зале ; 10500 
 17 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; AU ; 20 ; Продано в зале ; 9500 
 18 ; Полтина ; 1912 ; (ЭБ) АГ ; Ag ; XF+ ; 26 ; Продано в зале ; 2600 
 19 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF/AU ; 33 ; Продано в зале ; 12000 
 20 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; VF-XF ; 38 ; Drusa80 ; 6000 
 21 ; 25 копеек. В капсуле ННР. XF Details ; 1838 ; СПБ НГ ; Ag ;  ; 30 ; 462 ; 5176 
 22 ; 20 копеек ; 1820 ; СПБ ПД ; Ag ; XF+ ; 33 ; нумизмат ; 9500 
 23 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 82 ; QQ ; 4157 
 24 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 19 ; Продано в зале ; 2800 
 25 ; 15 копеек (Петров - 5 руб, Ильин - 4 руб) ; 1778 ; СПБ ; Ag ; F-VF ; 60 ; никсер ; 9078 
 26 ; 15 копеек ; 1861 ; СПБ ; Ag ; AU ; 32 ; Продано в зале ; 2500 
 27 ; 15 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 30 ; Продано в зале ; 4600 
 28 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 28 ; TaraskaPeter ; 3162 
 29 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 39 ; TaraskaPeter ; 6925 
 30 ; Гривенник ; 1747 ;  ; Ag ; VF-XF ; 25 ; Продано в зале ; 2200 
 31 ; Гривенник. Петров-12р, Ильин-20р ; 1777 ; СПБ ; Ag ; F+/F-VF ; 77 ; Продано в зале ; 28000 
 32 ; 10 копеек ; 1854 ; СПБ HI ; Ag ; XF ; 19 ; Продано в зале ; 2600 
 33 ; 10 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 22 ; TaraskaPeter ; 4208 
 34 ; 10 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 37 ; Продано в зале ; 4600 
 35 ; 10 копеек. В капсуле ННР. MS62 ; 1907 ; СПБ ЭБ ; Ag ;  ; 20 ; Продано в зале ; 2800 
 36 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 40 ; Z,kjrj2015 ; 7242 
 37 ; 5 копеек В капсуле NGC MS 63 ; 1871 ; СПБ HI ; Ag ;  ; 69 ; TaraskaPeter ; 12313 
 38 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 38 ; TaraskaPeter ; 8466 
 39 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 37 ; TaraskaPeter ; 9100 
 40 ; 5 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 45 ; Продано в зале ; 4200 
 41 ; Талер (Узденников - очень редкая) ; 1798 ; для княжества йевер ; Ag ; XF ; 98 ; meroving ; 117034 
 42 ; 2 злотых ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; XF- ; 99 ; дмитрий55 ; 20818 
 43 ; 1 злотый ; 1830 ; FH Польша ; Ag ; XF ; 68 ; shacspir ; 15264 
 44 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; XF ; 20 ; Продано в зале ; 2000 
 45 ; Двойной абаз ; 1822 ; АК Грузия ; Ag ; VF- ; 32 ; нумизмат ; 9190 
 46 ; Двойной абаз ; 1830 ; АТ Грузия ; Ag ; VF- ; 23 ; Продано в зале ; 4600 
 47 ; Двойной абаз ; 1832 ; ВК Грузия ; Ag ; VF ; 15 ; себер ; 4500 
 48 ; 5 копеек (Ильин - 3 руб) ; 1768 ; ММ ; Cu ; F-VF ; 48 ; Продано в зале ; 6000 
 49 ; 5 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF-XF ; 12 ; igors1969 ; 4208 
 50 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 19 ; fgd ; 5150 
