 317 ; Рубль ; 1892 ; (АГ)  ; Ag ; XF+ ; 34 ; Участник № 55 ; 24000 
 318 ; 3 копейки ; 1892 ; СПБ  ; Cu ; AU ; 19 ; Участник № 541 ; 12750 
 319 ; 5 пенни ; 1892 ; Финляндия  ; Cu ; XF- ; 12 ; Участник № 296 ; 1300 
 320 ; 1/4 копейки ; 1892 ; СПБ  ; Cu ; AU ; 12 ; Участник № 147 ; 1800 
 321 ; 10 копеек ; 1893 ; СПБ АГ  ; Ag ; AU ; 23 ; Участник № 30 ; 4400 
 322 ; Полтина ; 1894 ; (АГ)  ; Ag ; AU ; 12 ; Участник № 183 ; 33000 
 323 ; 25 копеек ; 1894 ; (АГ) АГ  ; Ag ; XF- ; 26 ; Участник № 133 ; 9000 
 324 ; 10 копеек ; 1894 ; СПБ АГ  ; Ag ; XF+ ; 13 ; Участник № 9 ; 2550 
 325 ; 3 копейки ; 1894 ; СПБ  ; Cu ; XF+ ; 11 ; Участник № 262 ; 15810 
 326 ; 25 копеек ; 1895 ; АГ  ; Ag ; AU ; 23 ; Участник № 585 ; 10000 
 327 ; Копейка ; 1895 ; СПБ  ; Cu ; AU ; 18 ; Участник № 541 ; 9180 
 328 ; 1/2 копейки ; 1895 ; СПБ  ;  ; AU ; 18 ; Участник № 6 ; 3000 
 329 ; Рубль ; 1896 ; ( * )  ; Ag ; VF-XF ; 18 ; Участник № 462 ; 3458 
 330 ; Рубль ; 1896 ; ( * )  ; Ag ; VF-XF ; 11 ; Участник № 520 ; 1530 
 331 ; 25 копеек ; 1896 ; АГ  ; Ag ; AU ; 21 ; Участник № 520 ; 7650 
 332 ; Рубль ; 1897 ; ( ** )  ; Ag ; VF-XF ; 19 ; Участник № 217 ; 3649 
 333 ; Полтина ; 1897 ; ( * )  ; Ag ; XF- ; 18 ; Участник № 62 ; 6500 
 334 ; Полтина ; 1897 ; ( * )  ; Ag ; VF-XF ; 11 ; Участник № 6 ; 1400 
 335 ; 2 копейки ; 1897 ; СПБ  ; Cu ; AU ; 10 ; Участник № 262 ; 12750 
 336 ; Копейка ; 1897 ; СПБ  ; Cu ; VF-XF ; 5 ; Участник № 720 ; 230 
 337 ; 10 копеек ; 1898 ; СПБ АГ  ; Ag ; AU ; 17 ; Участник № 231 ; 12550 
 338 ; Рубль ; 1899 ; ( ** )  ; Ag ; VF-XF ; 15 ; Участник № 186 ; 4600 
 339 ; Рубль ; 1899 ; (ЭБ)  ; Ag ; VF-XF ; 20 ; Участник № 54 ; 7000 
 340 ; Полтина ; 1899 ; ( * )  ; Ag ; XF+ ; 35 ; Участник № 135 ; 38000 
 341 ; 3 копейки ; 1899 ; СПБ  ; Cu ; AU ; 18 ; Участник № 133 ; 1200 
 342 ; 2 копейки ; 1899 ; СПБ  ; Cu ; AU ; 8 ; Участник № 16 ; 2400 
 343 ; Копейка ; 1899 ; СПБ  ; Cu ; AU ; 5 ; Участник № 55 ; 1900 
 344 ; 1/4 копейки ; 1899 ; СПБ  ;  ; AU ; 12 ; Участник № 495 ; 826 
 345 ; Рубль ; 1901 ; (АР)  ; Ag ; VF ; 16 ; Участник № 54 ; 14000 
 346 ; 20 копеек ; 1901 ; СПБ ФЗ  ; Ag ; AU ; 11 ; Участник № 520 ; 10731 
 347 ; 3 копейки ; 1901 ; СПБ  ; Cu ; XF ; 15 ; Участник № 541 ; 9180 
 348 ; 2 копейки ; 1901 ; СПБ  ; Cu ; AU ; 16 ; Участник № 541 ; 10200 
 349 ; Копейка ; 1901 ; СПБ  ; Cu ; AU ; 20 ; Участник № 173 ; 3060 
 350 ; Копейка ; 1901 ; СПБ  ; Cu ; VF+ ; 20 ; Участник № 16 ; 1300 
 251 ; 15 копеек ; 1861 ; СПБ  ; Ag ; AU ; 14 ; Участник № 9 ; 2200 
 252 ; 15 копеек ; 1861 ; СПБ  ; Ag ; XF+ ; 3 ; Участник № 9 ; 2200 
 253 ; 2 копейки ; 1861 ; ВМ  ; Cu ; VF- ; 18 ; Участник № 402 ; 2600 
 254 ; Полтина (Петров-3р, редкая датировка) ; 1862 ; СПБ МИ  ; Ag ; XF+ ; 36 ; Участник № 9 ; 190000 
 255 ; 15 копеек ; 1862 ; СПБ МИ  ; Ag ; AU ; 9 ; Участник № 222 ; 2300 
 256 ; Денежка ; 1862 ; ВМ  ; Cu ; VF+ ; 23 ; Участник № 9 ; 9000 
 257 ; Полтина (Петров-3р) ; 1863 ; СПБ АБ  ; Ag ; XF/AU ; 32 ; Участник № 9 ; 160000 
 258 ; 20 копеек ; 1863 ; СПБ АБ  ; Ag ; AU ; 14 ; Участник № 9 ; 1300 
 259 ; 20 копеек ; 1863 ; СПБ АБ  ; Ag ; AU ; 11 ; Участник № 9 ; 1500 
 260 ; 2 копейки ; 1863 ; ЕМ  ; Cu ; VF-XF ; 13 ; Участник № 67 ; 1022 
 261 ; Денежка ; 1863 ; ВМ  ; Cu ; F-VF ; 13 ; Участник № 402 ; 1900 
 262 ; 15 копеек ; 1865 ; СПБ НФ  ; Ag ; XF+ ; 5 ; Участник № 222 ; 4600 
 263 ; 5 копеек ; 1865 ; ЕМ  ;  ; VF+ ; 8 ; Участник № 701 ; 1785 
 264 ; 20 копеек ; 1866 ; СПБ HI  ; Ag ; AU ; 19 ; Участник № 541 ; 5100 
 265 ; 1/4 копейки ; 1867 ; СПБ  ; Cu ; VF-XF ; 18 ; Участник № 262 ; 8874 
 266 ; 5 копеек ; 1868 ; СПБ  ; Cu ; VF-XF ; 11 ; Участник № 9 ; 4600 
 267 ; 1/4 копейки ; 1868 ; ЕМ  ; Cu ; AU ; 21 ; Участник № 585 ; 4200 
 268 ; 5 копеек ; 1869 ; ЕМ  ; Cu ; XF+ ; 21 ; Участник № 261 ; 6122 
 269 ; 20 копеек ; 1870 ; СПБ HI  ; Ag ; XF+ ; 11 ; Участник № 9 ; 1900 
 270 ; 1/4 копейки (Ильин-2р) ; 1871 ; ЕМ  ; Cu ; VF-XF ; 41 ; Участник № 262 ; 12000 
 271 ; Рубль ; 1872 ; СПБ HI  ;  ; VF+ ; 35 ; Участник № 9 ; 12000 
 272 ; 5 копеек ; 1872 ; ЕМ  ; Cu ; VF-XF ; 14 ; Участник № 9 ; 1900 
 273 ; 25 копеек (Ильин-6р) ; 1873 ; СПБ HI  ; Ag ; XF- ; 15 ; Участник № 133 ; 140000 
 274 ; 2 копейки ; 1874 ; ЕМ  ; Cu ; XF ; 33 ; Участник № 262 ; 15708 
 275 ; Рубль ; 1876 ; СПБ HI  ; Ag+ ; AU/XF+ ; 47 ; Участник № 457 ; 38169 
 276 ; 25 копеек (редкая датировка) ; 1876 ; СПБ HI  ; Ag ; XF ; 16 ; Участник № 135 ; 80000 
 277 ; 5 рублей ; 1877 ; СПБ НI  ; Au ; AU ; 36 ; Участник № 867 ; 55678 
 278 ; Полтина ; 1877 ; СПБ HI  ; Ag ; XF- ; 23 ; Участник № 462 ; 6630 
 279 ; 25 копеек ; 1877 ; СПБ НФ  ; Ag ; XF+ ; 13 ; Участник № 462 ; 2756 
 280 ; 1/2 копейки ; 1877 ; СПБ  ; Cu ; XF+ ; 7 ; Участник № 607 ; 2323 
 281 ; 1/2 копейки ; 1877 ; СПБ  ; Cu ; XF ; 11 ; Участник № 750 ; 2300 
 282 ; 1/4 копейки ; 1877 ; СПБ  ; Cu ; AU ; 27 ; Участник № 585 ; 5000 
 283 ; Рубль ; 1878 ; СПБ НФ  ; Ag ; XF+/VF-XF ; 5 ; Участник № 62 ; 4000 
 284 ; 25 копеек ; 1878 ; СПБ НФ  ; Ag ; AU ; 39 ; Участник № 808 ; 21000 
 285 ; 20 копеек ; 1879 ; СПБ НФ  ;  ; AU ; 9 ; Участник № 9 ; 2217 
 286 ; Копейка ; 1879 ; СПБ  ; Cu ; AU ; 9 ; Участник № 607 ; 3000 
 287 ; 1/2 копейки ; 1879 ; СПБ  ; Cu ; AU ; 10 ; Участник № 6 ; 1900 
 288 ; Рубль ; 1880 ; СПБ НФ  ;  ; XF/XF- ; 29 ; Участник № 462 ; 19000 
 289 ; 20 копеек ; 1880 ; СПБ НФ  ; Ag ; AU ; 8 ; Участник № 585 ; 1600 
 290 ; 10 копеек ; 1880 ; СПБ НФ  ; Ag ; AU ; 14 ; Участник № 262 ; 4000 
 291 ; 5 копеек ; 1880 ; СПБ  ;  ; XF- ; 7 ; Участник № 9 ; 2400 
 292 ; 1/2 копейки ; 1880 ; СПБ  ; Cu ; AU ; 17 ; Участник № 262 ; 4000 
 293 ; 25 копеек (редкая датировка) ; 1881 ; СПБ НФ  ; Ag ; XF ; 14 ; Участник № 87 ; 230000 
 294 ; 20 копеек ; 1881 ; СПБ НФ  ; Ag ; AU ; 11 ; Участник № 30 ; 6000 
 295 ; 25 копеек (редкая, Ильин-8р) ; 1882 ; СПБ НФ  ; Ag ; VF-XF/VF ; 25 ; Участник № 87 ; 150000 
 296 ; 2 копейки. В капсуле NGC ; 1882 ; СПБ  ;  ; AU 58 ; 74 ; Участник № 262 ; 15356 
 297 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 20 ; Участник № 750 ; 17000 
 298 ; 3 копейки ; 1883 ; СПБ  ; Cu ; XF ; 63 ; Участник № 541 ; 10196 
 299 ; Копейка ; 1883 ; СПБ  ; Cu ; VF-XF ; 10 ; Участник № 6 ; 1122 
 300 ; 5 копеек ; 1884 ; СПБ АГ  ; Ag ; UNC/AU ; 20 ; Участник № 585 ; 6500 
 201 ; 5 копеек ; 1850 ; СПБ ПА  ; Ag ; XF+ ; 13 ; Участник № 607 ; 2297 
 202 ; 2 копейки ; 1850 ; ЕМ  ;  ; AU ; 175 ; Участник № 14 ; 25604 
 203 ; 5 рублей ; 1851 ; СПБ АГ  ; Au ; AU/XF+ ; 28 ; Участник № 640 ; 46000 
 204 ; 5 копеек. В холдере NGC ; 1851 ; СПБ ПА  ; Ag ; MS 62 ; 7 ; Участник № 9 ; 5500 
 205 ; 2 копейки ; 1851 ; ЕМ  ;  ; VF+ ; 8 ; Участник № 750 ; 2300 
 206 ; Денежка ; 1851 ; ЕМ  ; Cu ; VF+ ; 13 ; Участник № 133 ; 650 
 207 ; Полушка ; 1851 ; ЕМ  ; Cu ; VF-XF ; 11 ; Участник № 9 ; 1600 
 208 ; 25 копеек ; 1852 ; СПБ ПА  ; Ag ; AU ; 31 ; Участник № 462 ; 7500 
 209 ; 5 копеек ; 1852 ; СПБ ПА  ; Ag ; AU ; 15 ; Участник № 867 ; 8670 
 210 ; Денежка ; 1852 ; ЕМ  ; Cu ; VF-XF ; 4 ; Участник № 495 ; 600 
 211 ; Денежка ; 1852 ; ЕМ  ; Cu ; VF-XF ; 1 ; Участник № 133 ; 300 
 212 ; Полтина (Ильин-3р) ; 1853 ; СПБ HI  ; Ag ; XF+ ; 25 ; Участник № 520 ; 95000 
 213 ; 5 копеек ; 1853 ; СПБ HI  ; Ag ; AU ; 13 ; Участник № 867 ; 5100 
 214 ; Рубль ; 1854 ; СПБ HI  ; Ag ; XF- ; 14 ; Участник № 55 ; 10000 
 215 ; Рубль ; 1855 ; СПБ HI  ; Ag ; VF-XF ; 12 ; Участник № 262 ; 11000 
 216 ; 25 копеек ; 1855 ; СПБ HI  ; Ag ; AU/XF+ ; 16 ; Участник № 9 ; 2700 
 217 ; 5 копеек ; 1855 ; СПБ HI  ;  ; XF+ ; 12 ; Участник № 9 ; 2100 
 218 ; Копейка ; 1855 ; ЕМ  ; Cu ; VF-XF ; 15 ; Участник № 262 ; 1903 
 219 ; Денежка ; 1855 ; ВМ  ;  ; VF ; 30 ; Участник № 262 ; 3200 
 220 ; Денежка ; 1855 ; ЕМ  ; Cu ; VF-XF ; 9 ; Участник № 607 ; 1500 
 221 ; 25 копеек ; 1856 ; СПБ ФБ  ; Ag ; XF+ ; 11 ; Участник № 9 ; 2200 
