 97 ; 5 копеек ; 1793 ; АМ ; Cu ; XF ; 22 ; vit2503 ; 2400 
 98 ; 5 копеек ; 1794 ; АМ ; Cu ; VF+ ; 27 ; lsp25 ; 1497 
 99 ; 5 копеек ; 1795 ; АМ ; Cu ; VF+ ; 19 ; Продано в зале ; 3400 
 100 ; 5 копеек ; 1795 ; КМ ; Cu ; VF-XF ; 30 ; vit2503 ; 2800 
 1 ; 10 рублей. M-12,88г. ; 1894 ; (АГ) АГ ; Au ; XF/AU ; 66 ; Продано в зале ; 350000 
 2 ; 10 рублей. M-8,6г. ; 1910 ; (ЭБ) АГ ; Au ; XF+ ; 45 ; cr4987 ; 168176 
 3 ; 5 рублей. M-6,42г. ; 1894 ; (АГ) ; Au ; XF ; 67 ; Акоп ; 170000 
 4 ; 5 рублей. M-4,3г. ; 1910 ; (ЭБ) ; Au ; XF+/AU ; 50 ; papinazu ; 125000 
 5 ; 5 рублей. M-4,29г. ; 1911 ; (ЭБ) ; Au ; XF+ ; 125 ; Продано в зале ; 280000 
 6 ; Рубль ; 1720 ; OK ; Ag ; XF ; 89 ; Продано в зале ; 160000 
 7 ; Рубль ; 1735 ;  ; Ag ; XF/AU ; 51 ; Продано в зале ; 65000 
 8 ; Рубль ; 1751 ; СПБ IM ; Ag ; VF+ ; 23 ; Продано в зале ; 23000 
 9 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; XF+ ; 32 ; Продано в зале ; 67500 
 10 ; Рубль (Петров-3,5р. Ильин-3р) ; 1758 ; СПБ НК TI ; Ag ; XF ; 12 ; sax ; 80000 
 11 ; Рубль (Петров-4р, Ильин-3р) ; 1760 ; СПБ ЯI TI ; Ag ; XF ; 42 ; Dude8220 ; 150000 
 12 ; Рубль ; 1782 ; СПБ ИЗ ; Ag ; VF-XF ; 61 ; Ok203 ; 25395 
 13 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF+ ; 28 ; electra ; 36000 
 14 ; Рубль ; 1812 ; СПБ МФ ; Ag ; VF-XF ; 41 ; Продано в зале ; 27000 
 15 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF- ; 29 ; papinazu ; 18000 
 16 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 56 ; Продано в зале ; 19000 
 17 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF+ ; 45 ; Продано в зале ; 175000 
 18 ; Рубль (Ильин-5р) ; 1835 ; СПБ НГ ; Ag ; XF ; 41 ; covishild ; 55000 
 19 ; Рубль ; 1845 ; СПБ КБ ; Ag ; XF/AU ; 29 ; Продано в зале ; 30000 
 20 ; Рубль ; 1847 ; СПБ ПА ; Ag ; AU ; 11 ; covishild ; 38556 
 21 ; Рубль ; 1849 ; СПБ ПА ; Ag ; AU ; 49 ; Продано в зале ; 29000 
 22 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF ; 48 ; sax ; 23000 
 23 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF+ ; 62 ; serg2010 ; 38000 
 24 ; Рубль ; 1868 ; СПБ HI ; Ag ; XF- ; 35 ; у44 ; 28000 
 25 ; Рубль ; 1875 ; СПБ HI ; Ag ; VF-XF ; 53 ; Продано в зале ; 27000 
 26 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF+ ; 40 ; sax ; 15000 
 27 ; Рубль ; 1888 ; (АГ) ; Ag ; XF ; 55 ; Продано в зале ; 67500 
 28 ; Рубль ; 1892 ; (АГ) ; Ag ; XF+ ; 38 ; заяц побегаец ; 56517 
 29 ; Рубль ; 1893 ; (АГ) ; Ag ; XF+/AU ; 52 ; Менеджер ; 95000 
 30 ; Рубль ; 1907 ; (ЭБ) ; Ag ; AU ; 65 ; Potapiev ; 85000 
 31 ; Рубль ; 1908 ; (ЭБ) ; Ag ; XF+/AU ; 52 ; snupi ; 190000 
 32 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF/AU ; 26 ; Valera G ; 18000 
 33 ; Рубль. Капсула ; 1913 ; (ЭБ) ; Ag ;  ; 33 ; сифон ; 75000 
 34 ; Полтина ; 1732 ;  ; Ag ; VF ; 64 ; Sky2 ; 40000 
 35 ; Полтина (Петров-3р) ; 1805 ; СПБ ФГ ; Ag ; VF-XF ; 48 ; Продано в зале ; 82500 
 36 ; Полтина ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 53 ; Sky2 ; 18959 
 37 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; XF- ; 60 ; taa ; 9066 
 38 ; Полтина (Ильин-3р.) ; 1860 ; СПБ ФБ ; Ag ; VF+/VF ; 93 ; Братск ; 28000 
 39 ; Полтина ; 1871 ; СПБ HI ; Ag ; VF+ ; 58 ; Логистик ; 52500 
 40 ; Полуполтинник ; 1783 ; СПБ ММ ; Ag ; VF ; 34 ; vit2503 ; 12000 
 41 ; Полуполтинник (Петров-1,5р) ; 1798 ; СМ МБ ; Ag ; VF ; 60 ; papinazu ; 32000 
 42 ; 25 копеек ; 1852 ; СПБ ПА ; Ag ; XF ; 39 ; Dude8220 ; 9121 
 43 ; 25 копеек ; 1880 ; СПБ НФ ; Ag ; VF-XF ; 34 ; Dude8220 ; 7595 
 44 ; 20 копеек ; 1769 ; СПБ TI ; Ag ; VF+ ; 38 ; vit2503 ; 5500 
 45 ; 20 копеек ; 1817 ; СПБ ПС ; Ag ; XF ; 53 ; 25 ; 8000 
 46 ; 20 копеек ; 1820 ; СПБ ПД ; Ag ; XF ; 20 ; Продано в зале ; 2600 
 47 ; 20 копеек ; 1821 ; СПБ ПД ; Ag ; XF- ; 37 ; Продано в зале ; 4000 
 48 ; 20 копеек ; 1821 ; СПБ ПД ; Ag ; XF ; 42 ; у44 ; 3800 
 49 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 49 ; Dude8220 ; 19000 
 50 ; 15 копеек ; 1861 ; СПБ ; Ag ; AU ; 28 ; Продано в зале ; 2400 
