 77 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 15 ; Продано в зале ; 12000 
 78 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AUUNC ; 26 ; ДМИТРИЙ С ; 15300 
 79 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; AU/XF ; 24 ; Продано в зале ; 4800 
 80 ; 5 копеек ; 1888 ; СПБ АГ ; Ag ; Unc/AU ; 50 ; Продано в зале ; 2300 
 81 ; 5 копеек ; 1903 ; СПБ АР ; Ag ; Unc/AU ; 16 ; Продано в зале ; 2300 
 82 ; 5 злотых ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; AU ; 46 ; Продано в зале ; 34000 
 83 ; 1 злотый ; 1818 ; IB Польша ; Ag ; AU/XF ; 36 ; Продано в зале ; 19000 
 84 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 33 ; Продано в зале ; 4400 
 85 ; 5 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; XF- ; 20 ; Продано в зале ; 2500 
 86 ; 24 доли. В капсуле PCGS ;  ; АД ; Ag ; AU ; 51 ; DAndy-2003 ; 27698 
 87 ; 10 копеек ; 1770 ; КМ "Сибирь" ; Cu ; VF-XF ; 20 ; Продано в зале ; 14500 
 88 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF+ ; 47 ; $$$ ; 3966 
 89 ; 10 копеек ; 1836 ; ЕМ ФХ ; Cu ; XF ; 55 ; dsidorov ; 20186 
 90 ; 5 копеек ; 1726 ; НД Дата снизу вверх ; Cu ; VF-XF ; 68 ; Продано в зале ; 17000 
 91 ; 5 копеек ; 1785 ; КМ ; Cu ; XF ; 38 ; Продано в зале ; 12000 
 92 ; 5 копеек ; 1787 ; ТМ ; Cu ; F-VF ; 23 ; $$$ ; 18462 
 93 ; 5 копеек ; 1789 ; КМ ; Cu ; XF- ; 47 ; $$$ ; 4520 
 94 ; 5 копеек, (Петров-10р.,Ильин-20 р.) ; 1794 ; АМ Павл.перечекан ; Cu ; VF+ ; 68 ; finger ; 49588 
 95 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF- ; 25 ; evgenijzhuk ; 3200 
 96 ; 5 копеек ; 1807 ; КМ ; Cu ; VF+ ; 17 ; 657756 ; 5000 
 97 ; 5 копеек. (Ильин - 3 руб.) ; 1808 ; ЕМ ; Cu ; VF-XF ; 62 ; бабушка ; 20429 
 98 ; 5 копеек. (Петров-1,5 руб) ; 1835 ; СМ ; Cu ; VF+ ; 22 ; sheff78 ; 4400 
 99 ; 5 копеек ; 1855 ; ЕМ ; Cu ; XF+ ; 78 ; evgenijzhuk ; 12387 
 100 ; 5 копеек ; 1868 ; СПБ ; Cu ; VF-XF ; 46 ; нумизмат ; 8162 
 1 ; 5 рублей. М - 6,495г ; 1841 ; СПБ АЧ ; Au ; XF ; 37 ; Продано в зале ; 42000 
 2 ; 5 рублей. М - 6,455г ; 1846 ; АГ АГ ; Au ; XF ; 37 ; Продано в зале ; 44000 
 3 ; 5 рублей. М - 6,51г ; 1870 ; СПБ НI ; Au ; XF ; 25 ; Продано в зале ; 46000 
 4 ; Рубль ; 1723 ; ОК ; Ag ; VF ; 62 ; Продано в зале ; 65000 
 5 ; Рубль ; 1732 ;  ; Ag ; VF-XF ; 29 ; Продано в зале ; 24000 
 6 ; Рубль ; 1745 ; ММД ; Ag ; VF-XF ; 44 ; ksun ; 25500 
 7 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; XF- ; 35 ; $$$ ; 16830 
 8 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; XF- ; 42 ; Продано в зале ; 22000 
 9 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; XF ; 50 ; 78gen ; 35000 
 10 ; Рубль ; 1786 ; СПБ ЯА TI ; Ag ; XF+/XF- ; 32 ; Продано в зале ; 50000 
 11 ; Рубль (Ильин - 4р) ; 1817 ; СПБ ПС ; Ag ; AU ; 49 ; Продано в зале ; 100000 
 12 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 55 ; Продано в зале ; 24000 
 13 ; Рубль ; 1819 ; СПБ ПС ; Ag ; AU ; 30 ; Продано в зале ; 40000 
 14 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF+ ; 30 ; Продано в зале ; 30000 
 15 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF ; 31 ; Продано в зале ; 19000 
 16 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF+/XF- ; 36 ; Продано в зале ; 24000 
 17 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; AU/XF ; 17 ; Продано в зале ; 13000 
 18 ; Рубль ; 1844 ; СПБ КБ ; Ag ; AU ; 18 ; icebreaker ; 15411 
 19 ; Рубль ; 1846 ; MW ; Ag ; XF ; 13 ; 78gen ; 13000 
 20 ; Рубль ; 1852 ; СПБ ПА ; Ag ; AU ; 15 ; Продано в зале ; 29000 
 21 ; Полтина ; 174? ;  ; Cu ; VF ; 86 ; finger ; 27539 
 22 ; Полтина ; 1764 ; СПБ СА TI ; Ag ; XF ; 32 ; Продано в зале ; 46000 
 23 ; Полтина ; 1826 ; СПБ НГ ; Ag ; VF+ ; 45 ; Boss Orange ; 16980 
 24 ; Полтина ; 1855 ; СПБ HI ; Ag ; AU ; 13 ; Продано в зале ; 17000 
 25 ; Полтина ; 1877 ; СПБ HI ; Ag ; XF+/XF ; 31 ; Продано в зале ; 8500 
 26 ; Полуполтинник ; 1748 ; ММД ; Ag ; VF-XF ; 18 ; Продано в зале ; 4600 
 27 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; VF-XF ; 24 ; Продано в зале ; 6500 
