 82 ; 5 копеек ; 1790 ; АМ ; Cu ; XF- ; 7 ; nemoYA ; 1224 
 83 ; 5 копеек ; 1791 ; АМ ; Cu ; XF- ; 12 ; Продано в зале ; 900 
 84 ; 5 копеек ; 1791 ; КМ ; Cu ; XF- ; 17 ; nemoYA ; 3468 
 85 ; 5 копеек ; 1792 ; ЕМ ; Cu ; XF- ; 15 ; nemoYA ; 1275 
 86 ; 5 копеек ; 1795 ; ЕМ ; Cu ; XF- ; 27 ; nemoYA ; 1032 
 87 ; 5 копеек ; 1795 ; КМ ; Cu ; XF- ; 15 ; arsenich-s ; 3071 
 88 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 25 ; nemoYA ; 4567 
 89 ; 5 копеек ; 1806 ; ЕМ ; Cu ; XF- ; 24 ; nemoYA ; 4590 
 90 ; 5 копеек ; 1836 ; ЕМ ФХ ; Cu ; XF- ; 20 ; OMT ; 5100 
 91 ; 5 копеек ; 1838 ; ЕМ НА ; Cu ; VF+/XF- ; 26 ; taa ; 4507 
 92 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF+ ; 11 ; Продано в зале ; 1200 
 93 ; 5 копеек ; 1859 ; ЕМ ; Cu ; VF+ ; 26 ; OMT ; 3366 
 94 ; 5 копеек ; 1866 ; ЕМ ; Cu ; XF- ; 17 ; OMT ; 3040 
 95 ; 3 копейки ; 1897 ; СПБ ; Cu ; XF+ ; 32 ; 222211 ; 8046 
 96 ; 2 копейки ; 1770 ; ЕМ ; Cu ; VF+ ; 20 ; nemoYA ; 3400 
 97 ; 2 копейки ; 1773 ; ЕМ ; Cu ; VF+ ; 15 ; кабан ; 1825 
 98 ; 2 копейки ; 1798 ; КМ ; Cu ; VF+ ; 16 ; robby ; 1377 
 99 ; 2 копейки ; 1799 ; КМ ; Cu ; VF+ ; 22 ; robby ; 1227 
 100 ; 2 копейки ; 1810 ; КМ ; Cu ; XF- ; 7 ; а1945 ; 1500 
 1 ; 10 рублей ; 1775 ; СПБ ТI ; Au ; VF-XF ; 48 ; Продано в зале ; 330000 
 2 ; 10 рублей. В капсуле NGC ; 1903 ; (АР) АГ ; Au ; AU58 ; 7 ; Petrogradka ; 20000 
 3 ; 10 рублей. В капсуле PCGS ; 1909 ; (ЭБ) АГ ; Au ; AU58 ; 20 ; nemoYA ; 30498 
 4 ; 5 рублей. В капсуле ICQ ; 1903 ; (АР) ; Au ; MS65 ; 11 ; Продано в зале ; 13000 
 5 ; 5 рублей. В капсуле NGCA ; 1904 ; (АР) ; Au ; MS65 ; 11 ; nemoYA ; 17340 
 6 ; 3 рубля. М-3,90гр ; 1871 ; СПБ НI ; Au ; XF+ ; 23 ; nemoYA ; 72420 
 7 ; Рубль ; 1732 ;  ; Ag ; VF-XF ; 54 ; nemoYA ; 41820 
 8 ; Рубль ; 1737 ;  ; Ag ; VF-XF ; 21 ; амбал ; 17735 
 9 ; Рубль ; 1738 ; СПБ ; Ag ; VF+ ; 31 ; nemoYA ; 17170 
 10 ; Рубль ; 1743 ; СПБ ; Ag ; VF-XF ; 16 ; nemoYA ; 15435 
 11 ; Рубль ; 1750 ; ММД ; Ag ; VF+ ; 26 ; nemoYA ; 16537 
