 6459 ; Оптовый лот. 7 книг (коробка).  В.Е. Семенов. Монетный передел 1700-1917 гг. ;  ;  ;  ;  ; 39 ; статир ; 1689 
 6460 ; Оптовый лот, 20 книг (коробка).  Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 21 ; zabor ; 2876 
 6461 ; Оптовый лот, 8 книг (коробка). Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 15 ; zabor ; 714 
 6462 ; Оптовый лот. 8 книг (2 коробки).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 25 ; статир ; 6063 
 6601 ; Лопатка для торта, серебро. ;  ;  ; Ag ;  ; 40 ; манома ; 3213 
 6602 ; Стопка царская, серебро. ;  ;  ; Ag ;  ; 58 ; Rjym gtlfkmysq ; 3808 
 6603 ; Ложка, серебро, золочение. ;  ;  ; Ag ;  ; 11 ; (.!.) ; 1248 
 6604 ; Лопатка для торта. ;  ;  ; Ж/м ;  ; 46 ; $круджЪ ; 706 
 6605 ; Солонка птица. ;  ;  ; Ж/м ;  ; 17 ; Holder31 ; 569 
 6606 ; Сливочник. Германия. ;  ;  ; Ж/м ;  ; 21 ; kygeCHuk ; 561 
 6607 ; Кофейник. Европа. ;  ;  ; Ж/м ;  ; 64 ; КСИФОС ; 1532 
 6608 ; Сахарница. Европа. ;  ;  ; Ж/м ;  ; 30 ; ъъ ; 1281 
 6609 ; Сливочник. Европа. ;  ;  ; Ж/м ;  ; 24 ; $круджЪ ; 694 
 6610 ; Поднос. Европа. ;  ;  ; Ж/м ;  ; 21 ; $круджЪ ; 738 
 6611 ; Подсвечник. ;  ;  ; Ж/м ;  ; 39 ; veektor ; 216 
 6612 ; Подсвечник?, гравировка. Европа ;  ;  ; Ж/м ;  ; 47 ; rem. ; 107 
 6613 ; Конфетница. Европа ;  ;  ; Ж/м ;  ; 52 ; КСИФОС ; 510 
 6614 ; Кольцо с гранатом ;  ;  ; Ag925 ;  ; 50 ; КСИФОС ; 1077 
 6327 ; Фотография 1932 г. Кавалер орденов Боевого Красного Знамени ;  ;  ;  ;  ; 14 ; Гаечка ; 247 
 6328 ; Пресс фото "Новости планеты" . Дрейфующая станция "Северный полюс" ; 1937 ;  ;  ;  ; 3 ; Разум ; 57 
 6329 ; Лот фотокарточек (3 штуки) ;  ;  ;  ;  ; 33 ; kalinich ; 1134 
 6330 ; Фотокарточка ;  ;  ;  ;  ; 15 ; doc2 ; 610 
 6331 ; Фотокарточка ;  ;  ;  ;  ; 24 ; doc2 ; 579 
 6332 ; Фотокарточка ;  ;  ;  ;  ; 11 ; Кемская ; 567 
 6333 ; Фотокарточка ;  ;  ;  ;  ; 18 ; doc2 ; 828 
 6334 ; Фотокарточка ;  ;  ;  ;  ; 17 ; doc2 ; 787 
 6335 ; Фотокарточка ;  ;  ;  ;  ; 33 ; doc2 ; 1587 
 6336 ; Почтовая карточка. На помощь Жертвам Войны (Худ. С.Виноградов) ;  ;  ;  ;  ; 13 ; Разум ; 306 
 6337 ; Почтовая карточка со спецгашением ;  ;  ;  ;  ; 7 ; Asandr ; 50 
 6338 ; Почтовый конверт с гашением. Нью-Йорк ; 1959 ;  ;  ;  ; 8 ; Ok203 ; 51 
 6339 ; Почтовый конверт с гашением. Канада ; 1959 ;  ;  ;  ; 7 ; Ok203 ; 51 
 6340 ; Почтовый конверт с гашением (с вложением). Аргентина ; 1991 ;  ;  ;  ; 5 ; Ok203 ; 51 
 6341 ; Лот открыток (28 штук, из неполных комплектов) ;  ;  ;  ;  ; 13 ; Meshok ; 305 
 6342 ; Лот открыток (22 штуки, из неполных комплектов) ;  ;  ;  ;  ; 15 ; Ratmen ; 436 
 6343 ; Лот почтовых карточек (100 штук) ;  ;  ;  ;  ; 18 ; hmel-v ; 725 
 6344 ; Лот почтовых конвертов со спецгашением (3 штуки) "Северный полюс" ; 1993 ;  ;  ;  ; 20 ; Овсянка ; 414 
 6345 ; КПД с автографами А.Николаева и В. Севастьянова ;  ;  ;  ;  ; 13 ; hmel-v ; 308 
 6346 ; Почтовая карточка с автографами А.Николаева и В. Севастьянова ;  ;  ;  ;  ; 13 ; Овсянка ; 240 
 6347 ; Лот почтовых конвертов со спецгашением (3 штуки) "Северный полюс" ; 1995 ;  ;  ;  ; 13 ; Овсянка ; 404 
 6348 ; Лот почтовых конвертов со спецгашением (3 штуки) "Северный полюс" ; 1992 ;  ;  ;  ; 12 ; Овсянка ; 412 
 6349 ; Лот почтовых конвертов со спецгашением (3 штуки) "Северный полюс" ;  ;  ;  ;  ; 20 ; Овсянка ; 523 
 6350 ; Лот картмаксимум (22 конверта и > 100 штук карточек) Лихтенштейн 70-80е годы ;  ;  ;  ;  ; 11 ; Meshok ; 503 
 6401 ; Работа Сергея Зиновкина ;  ;  ;  ;  ; 27 ; Rjym gtlfkmysq ; 663 
 6402 ; Работа Сергея Зиновкина ;  ;  ;  ;  ; 17 ; MUPS ; 476 
 6403 ; Стикерпак #30 Саши Твердой ;  ;  ;  ;  ; 21 ; ctepanovich ; 216 
 6404 ; Комплект авторских открыток Саши Твердой. (5 шт.) ;  ;  ;  ;  ; 55 ; 915 ; 441 
 6405 ; Комплект авторских закладок Дарьи Шадриной (4 шт.) + открытка ;  ;  ;  ;  ; 21 ; Meshok ; 126 
