 134 ; 2 копейки В капсуле PCGS ; 1802 ; ЕМ ; Cu ;  ; 28 ; verunk1 ; 23664 
 135 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF- ; 33 ; Кабак ; 2600 
 136 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF ; 42 ; sdv75-2010 ; 4200 
 137 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF ; 23 ; Кабак ; 1500 
 138 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF ; 46 ; sdv75-2010 ; 2200 
 139 ; 2 копейки ; 1841 ; СПМ ; Cu ; XF- ; 74 ; Продано в зале ; 3600 
 140 ; 2 копейки ; 1856 ; ЕМ ; Cu ; AU ; 70 ; Продано в зале ; 30000 
 141 ; 2 копейки ; 1875 ; ЕМ ; Cu ; XF ; 36 ; Продано в зале ; 4200 
 142 ; Копейка. Новодел. Капсула PCGS. ; 1809 ; КМ Новодел ; Cu ;  ; 73 ; Продано в зале ; 44000 
 143 ; Копейка ; 1858 ; ВМ Венз.уже ; Cu ; XF ; 28 ; Продано в зале ; 10000 
 144 ; Копейка ; 1898 ; СПБ ; Cu ; AU ; 22 ; sdv75-2010 ; 3200 
 145 ; 1/2 копейки ; 1916 ;  ; Cu ; XF ; 50 ; Продано в зале ; 17000 
 146 ; Полушка ; 1861 ; ЕМ ; Cu ; XF- ; 36 ; Продано в зале ; 3400 
 147 ; 2 пара-3 копейки ; 1773 ; Валахия ; Cu ; VF ; 28 ; Продано в зале ; 9500 
 148 ; Бисти ; 1796 ; Грузия ; Cu ; VF- ; 19 ; Продано в зале ; 15000 
 149 ; Полубисти ; 1796 ; Грузия ; Cu ; VF ; 32 ; Продано в зале ; 17000 
 150 ; Один червонец. В коробке ; 1980 ; ММД ; Au ; Proof ; 23 ; Продано в зале ; 29000 
 51 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 27 ; Продано в зале ; 32000 
 52 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF ; 23 ; Прокурор ; 15500 
 53 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF- ; 43 ; sdv75-2010 ; 10500 
 54 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF+ ; 38 ; NB ; 200000 
 55 ; Рубль (Ильин-5р) ; 1835 ; СПБ НГ ; Ag ; VF-XF ; 66 ; Продано в зале ; 38000 
 56 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF+ ; 25 ; Продано в зале ; 16000 
 57 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF ; 28 ; serg2010 ; 20000 
 58 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF ; 22 ; ЛАВ-13 ; 13000 
 59 ; Рубль (Ильин-3р) ; 1838 ; СПБ НГ ; Ag ; XF- ; 65 ; Продано в зале ; 44000 
 60 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ; XF ; 49 ; Продано в зале ; 142500 
 61 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF ; 25 ; Продано в зале ; 11000 
 62 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+ ; 30 ; Продано в зале ; 16000 
 63 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 26 ; Продано в зале ; 20000 
 64 ; Рубль ; 1845 ; СПБ КБ ; Ag ; XF ; 49 ; Продано в зале ; 18000 
 65 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF ; 17 ; Продано в зале ; 13000 
 66 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; VF-XF ; 31 ; masterovoi ; 70000 
 67 ; Рубль ; 1871 ; СПБ HI ; Ag ; XF- ; 28 ; eastern wind ; 15302 
 68 ; Рубль ; 1877 ; СПБ HI ; Ag ; VF-XF ; 15 ; Квазимода ; 4626 
 69 ; Рубль ; 1885 ; СПБ АГ ; Ag ; XF ; 45 ; Druja ; 23000 
 70 ; Рубль ; 1886 ; (АГ) ; Ag ; XF+/AU ; 77 ; Продано в зале ; 200000 
