 96 ; Полушка ; 1707 ;  ; Cu ; F ; 15 ; у44 ; 1100 
 97 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 78 ; sax ; 4800 
 98 ; 1/4 копейки. Капсула ; 1899 ; СПБ ; Cu ;  ; 83 ; Продано в зале ; 4200 
 99 ; 10 пенни ; 1867 ; Финляндия ; Cu ; XF+ ; 118 ; Продано в зале ; 19000 
 100 ; 5 пенни ; 1866 ; Финляндия ; Cu ; VF-XF ; 19 ; anna53 ; 3000 
 1 ; Рубль ; 1749 ; СПБ ; Ag ; VF-XF ; 25 ; sax ; 21000 
 2 ; Рубль (Петров-3р.) ; 1756 ; СПБ IM BS ; Ag ; VF-XF ; 21 ; Продано в зале ; 25000 
 3 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 31 ; electra ; 14000 
 4 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF ; 21 ; Продано в зале ; 15000 
 5 ; Рубль ; 1898 ; ( * ) ; Ag ; XF ; 38 ; rogogor ; 15000 
 6 ; Рубль ; 1912 ; (ЭБ) ; Ag ; VF-XF ; 15 ; moneta1924 ; 9792 
 7 ; Полтина (Петров-4р) ; 1725 ;  ; Ag ; VF-XF ; 45 ; vit2503 ; 60000 
 8 ; Полтина ; 1819 ; СПБ ПС ; Ag ; VF+ ; 81 ; Михмих ; 9500 
 9 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; VF-XF ; 16 ; Volemar ; 4458 
 10 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; XF ; 38 ; Продано в зале ; 6000 
 11 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; XF ; 37 ; CapsulЪ ; 3000 
 12 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 19 ; vit2503 ; 1222 
 13 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 52 ; tisa66 ; 15000 
 14 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 60 ; Продано в зале ; 14000 
 15 ; 20 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 58 ; Альянс ; 18000 
 16 ; 15 копеек ; 1880 ; СПБ НФ ; Ag ; XF ; 49 ; Продано в зале ; 7500 
 17 ; 15 копеек ; 1882 ; СПБ НФ ; Ag ; XF+ ; 36 ; cotangens ; 8000 
 18 ; 15 копеек ; 1891 ; СПБ АГ ; Ag ; XF+/AU ; 30 ; cotangens ; 3600 
 19 ; 15 копеек ; 1917 ; ВС ; Ag ; XF+ ; 27 ; Продано в зале ; 10500 
 20 ; 10 копеек ; 1827 ; СПБ НГ ; Ag ; XF- ; 66 ; Zenit68 ; 24000 
 21 ; 10 копеек ; 1861 ; СПБ ФБ ; Ag ; XF+ ; 20 ; lesnik1 ; 1100 
 22 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 19 ; cotangens ; 3166 
 23 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; XF+ ; 26 ; cotangens ; 3600 
 24 ; 10 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 48 ; cotangens ; 3513 
 25 ; 10 копеек ; 1869 ; СПБ HI ; Ag ; XF+ ; 35 ; катран1970 ; 3944 
 26 ; 10 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 44 ; Продано в зале ; 16000 
 27 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 59 ; Продано в зале ; 12000 
 28 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 22 ; Продано в зале ; 7500 
 29 ; 5 копеек ; 1756 ; СПБ ; Ag ; VF ; 79 ; Продано в зале ; 24000 
 30 ; 5 копеек ; 1757 ; СПБ ; Ag ; VF+ ; 29 ; Sky2 ; 2754 
 31 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; AU ; 46 ; cotangens ; 15000 
 32 ; 5 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 51 ; Продано в зале ; 16000 
 33 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; XF ; 34 ; lesnik1 ; 3400 
 34 ; 5 копеек ; 1858 ; СПБ ФБ ; Ag ; XF ; 67 ; Продано в зале ; 34000 
 35 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 43 ; Продано в зале ; 11000 
 36 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; XF ; 39 ; Zenit68 ; 7000 
 37 ; 5 копеек ; 1890 ; СПБ АГ ; Ag ; XF+ ; 23 ; sergius ; 1900 
 38 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; VF-XF ; 54 ; vit2503 ; 11000 
 39 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 75 ; у44 ; 14000 
 40 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF ; 44 ; primetime ; 19000 
 41 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF+ ; 47 ; Продано в зале ; 12000 
 42 ; 5 копеек ; 1806 ; ЕМ ; Cu ; VF-XF ; 75 ; Продано в зале ; 4200 
 43 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 29 ; Продано в зале ; 1400 
 44 ; 5 копеек ; 1834 ; СМ ; Cu ; XF- ; 34 ; Продано в зале ; 8000 
 45 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; XF- ; 37 ; sergius ; 1800 
 46 ; 5 копеек. Капсула ; 1858 ; ЕМ ; Cu ;  ; 41 ; sdv75-2010 ; 3800 
 47 ; 3 копейки ; 1843 ; ЕМ ; Cu ; VF+ ; 35 ; Продано в зале ; 4200 
 48 ; 3 копейки ; 1913 ; СПБ ; Cu ; Unc ; 71 ; Продано в зале ; 90000 
 49 ; 3 копейки ; 1915 ;  ; Cu ; AU ; 52 ; Продано в зале ; 2000 
 50 ; 2 копейки (Петров-35р. Ильин-8р.) ; 1766 ; "Сибирь" ; Cu ; VF- ; 24 ; Продано в зале ; 55000 
