 99 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 29 ; 😺 ; 2000 
 100 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 26 ; electra ; 2100 
 1 ; 3 рубля. M-10,25г ; 1842 ; СПБ ; Pt ; VF-XF ; 39 ; krugerrand ; 80000 
 2 ; Рубль. М-1,23г ; 1779 ; "Для дворцового обихода" ; Au ; XF ; 32 ; Продано в зале ; 58000 
 3 ; Полтина. М-0,82г ; 1756 ;  ; Au ; XF ; 26 ; Сыч ; 57500 
 4 ; Рубль ; 1719 ; OK ; Ag ; XF ; 73 ; Продано в зале ; 120000 
 5 ; Рубль ; 1721 ;  ; Ag ; XF ; 24 ; 1999 ; 114444 
 6 ; Рубль ; 1723 ; ОК ; Ag ; XF+ ; 36 ; Продано в зале ; 145000 
 7 ; Рубль ; 1726 ;  ; Ag ; XF- ; 28 ; zrtg ; 130000 
 8 ; Рубль ; 1729 ;  ; Ag ; XF ; 30 ; Продано в зале ; 65000 
 9 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 24 ; eastern wind ; 18521 
 10 ; Рубль ; 1742 ; СПБ ; Ag ; VF-XF ; 13 ; Продано в зале ; 18500 
 11 ; Рубль ; 1748 ; СПБ ; Ag ; VF-XF ; 17 ; Продано в зале ; 23000 
 12 ; Рубль ; 1750 ; СПБ ; Ag ; XF- ; 18 ; Sky2 ; 24000 
 13 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; XF ; 5 ; Продано в зале ; 40000 
 14 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; XF ; 30 ; ацетон ; 36000 
 15 ; Рубль ; 1768 ; ММД EI ; Ag ; VF-XF ; 62 ; Продано в зале ; 18000 
 16 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF ; 35 ; rogogor ; 16139 
 17 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; VF-XF ; 20 ; Sky2 ; 19541 
 18 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF-/XF+ ; 31 ; Продано в зале ; 19000 
 19 ; Рубль ; 1819 ; СПБ ПС ; Ag ; XF- ; 38 ; ацетон ; 14500 
 20 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF ; 43 ; Продано в зале ; 26000 
 21 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 33 ; Продано в зале ; 9500 
 22 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF ; 35 ; ацетон ; 9000 
 23 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF ; 26 ; Продано в зале ; 8500 
 24 ; Рубль ; 1847 ; MW ; Ag ; XF+ ; 59 ; sergius ; 29898 
 25 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF ; 64 ; Продано в зале ; 20000 
 26 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF ; 67 ; gusar ; 9293 
 27 ; Рубль ; 1893 ; (АГ) ; Ag ; AU ; 67 ; Продано в зале ; 110000 
 28 ; Рубль ; 1907 ; (ЭБ) ; Ag ; XF ; 26 ; Продано в зале ; 21000 
 29 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF/AU ; 61 ; ZOLTAN333 ; 13000 
 30 ; Рубль. Плоский чекан ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; AU ; 25 ; Продано в зале ; 10000 
 31 ; Рубль. Выпуклый чекан ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; AU ; 28 ; lastfast ; 13000 
 32 ; Рубль. Размытый рельеф ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF+ ; 58 ; Продано в зале ; 12000 
 33 ; Полтина ; 1732 ;  ; Ag ; VF- ; 27 ; Продано в зале ; 19000 
 34 ; Полтина ; 1750 ; СПБ ; Ag ; VF-XF ; 75 ; Продано в зале ; 38000 
 35 ; Полтина ; 1894 ; (АГ) ; Ag ; XF+ ; 39 ; rogogor ; 27532 
 36 ; Полтина ; 1913 ; (ВС) АГ ; Ag ; AU ; 79 ; Продано в зале ; 16000 
 37 ; 25 копеек (Петров-2,5р, Ильин-3р) ; 1852 ; СПБ HI ; Ag ; XF ; 77 ; ЛАВ-13 ; 34000 
 38 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 52 ; Продано в зале ; 7000 
 39 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; XF+ ; 65 ; Продано в зале ; 7000 
 40 ; 20 копеек ; 1771 ; СПБ TI ; Ag ; XF- ; 32 ; Продано в зале ; 7000 
 41 ; 20 копеек ; 1840 ; СПБ НГ ; Ag ; XF+ ; 37 ; Продано в зале ; 18000 
 42 ; 15 копеек ; 1770 ; ММД ; Ag ; XF ; 78 ; Продано в зале ; 23000 
 43 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 25 ; electra ; 4000 
 44 ; Гривенник ; 1781 ; СПБ ; Ag ; XF- ; 24 ; обморок ; 6882 
 45 ; Десять денег. Заделано отверстие (Петров-6р) ; 1704 ;  ; Ag ; F ; 66 ; Продано в зале ; 15000 
 46 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 55 ; pilot2371 ; 6136 
 47 ; 5 копеек ; 1829 ; СПБ НГ ; Ag ; VF+ ; 64 ; eastern wind ; 5697 
 48 ; 5 копеек ; 1841 ; СПБ НГ ; Ag ; VF ; 39 ; Продано в зале ; 6800 
 49 ; 5 копеек ; 1842 ; СПБ АЧ ; Ag ; XF ; 64 ; Продано в зале ; 16000 
 50 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 55 ; rogogor ; 4444 
