 57 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU ; 44 ; Продано в зале ; 115000 
 58 ; Рубль ; 1914 ; На 200-летие гангутского сражения ; Ag ; UNC полир ; 104 ; Продано в зале ; 980000 
 59 ; 10 злотых ; 1823 ; IB Польша ; Ag ; XF+ ; 65 ; Продано в зале ; 215000 
 60 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; AU/XF+ ; 93 ; Продано в зале ; 32000 
 61 ; 2 злотых ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; XF ; 83 ; Victory-2001 ; 11220 
 62 ; 15 копеек-1 злотый ; 1839 ; MW Рус.-Пол. ; Ag ; XF+ ; 40 ; Продано в зале ; 8000 
 63 ; Полтина (Конрос - R2) ; 1702 ;  ; Ag ; VF-XF ; 28 ; Продано в зале ; 310000 
 64 ; Полтина ; 1721 ;  ; Ag ; VF+/VF-XF ; 42 ; Продано в зале ; 37500 
 65 ; Полтина ; 1727 ;  ; Ag ; UNC ; 73 ; Продано в зале ; 1600000 
 66 ; Полтина ; 1727 ; СПБ ; Ag ; VF+ ; 24 ; Продано в зале ; 95000 
 67 ; Полтина ; 1732 ;  ; Ag ; AU ; 65 ; Продано в зале ; 175000 
 68 ; Полтина ; 1739 ;  ; Ag ; VF-XF ; 45 ; нумизмат ; 37740 
 69 ; Полтина (Петров-20р, Ильин-20р) ; 1741 ; СПБ ; Ag ; XF+ ; 39 ; Продано в зале ; 580000 
 70 ; Полтина ; 1762 ; ММД ДМ ; Ag ; XF ; 29 ; Продано в зале ; 130000 
 71 ; Полтина ; 1762 ; СПБ НК TI ; Ag ; XF- ; 35 ; Продано в зале ; 24000 
 72 ; Полтина ; 1894 ; (АГ) ; Ag ; XF+/AU ; 19 ; sax ; 26456 
 73 ; Полтина ; 1896 ; (АГ) АГ ; Ag ; UNC полир. ; 5 ; Продано в зале ; 145000 
 74 ; Полтина ; 1897 ; ( * ) ; Ag ; AU полир ; 24 ; Продано в зале ; 165000 
 75 ; Полтина ; 1899 ; (АГ) АГ ; Ag ; UNC полир. ; 32 ; Продано в зале ; 195000 
 76 ; Полтина ; 1899 ; ( * ) ; Ag ; UNC полир ; 75 ; Продано в зале ; 200000 
 77 ; Полтина ; 1901 ; (ФЗ) АГ ; Ag ; UNC полир. ; 57 ; Продано в зале ; 150000 
 78 ; Полтина ; 1901 ; (АР) АГ ; Ag ; UNC Proof ; 26 ; Продано в зале ; 370000 
 79 ; Полтина ; 1902 ; (АР) АГ ; Ag ; UNC Proof ; 60 ; Продано в зале ; 540000 
 80 ; Полтина ; 1906 ; (ЭБ) АГ ; Ag ; AU полир ; 64 ; Продано в зале ; 380000 
 81 ; Полтина ; 1907 ; (ЭБ) АГ ; Ag ; UNC полир ; 39 ; Продано в зале ; 215000 
 82 ; Полтина ; 1908 ; (ЭБ) АГ ; Ag ; UNC полир ; 74 ; Продано в зале ; 240000 
 83 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; UNC полир ; 35 ; Продано в зале ; 150000 
 84 ; Полтина ; 1913 ; (ЭБ) АГ ; Ag ; UNC Proof ; 40 ; Продано в зале ; 160000 
 85 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU полир ; 25 ; Продано в зале ; 130000 
 86 ; 25 копеек ; 1895 ; АГ ; Ag ; AU ; 12 ; sherst1 ; 18000 
 87 ; 25 копеек ; 1896 ; АГ ; Ag ; UNC полир ; 19 ; Продано в зале ; 170000 
 88 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 45 ; sherst1 ; 10500 
 89 ; 25 копеек ; 1900 ; АГ ; Ag ; UNC Proof ; 72 ; Продано в зале ; 380000 
 90 ; 25 копеек ; 1900 ; АГ ; Ag ; XF+ ; 47 ; Продано в зале ; 48000 
 91 ; 20 копеек. В капсуле NGC. MS66 ; 1905 ; СПБ АР ; Ag ; AU ; 48 ; sheff78 ; 18062 
 92 ; 20 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 15 ; tisa66 ; 4805 
 93 ; 15 копеек ; 1785 ; СПБ ; Ag ; XF- ; 49 ; Продано в зале ; 5200 
 94 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 6 ; Продано в зале ; 3800 
 95 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 16 ; Продано в зале ; 4200 
 96 ; Гривенник ; 1756 ; МБ ; Ag ; AU ; 37 ; Продано в зале ; 32000 
 97 ; 10 копеек ; 1839 ; СПБ НГ ; Ag ; XF+ ; 32 ; Продано в зале ; 4400 
 98 ; 10 копеек ; 1882 ; СПБ НФ ; Ag ; XF+ ; 72 ; Olimpia ; 9860 
 99 ; 10 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 18 ; TaraskaPeter ; 4382 
 100 ; 10 копеек ; 1898 ; СПБ АГ ; Ag ; AU ; 35 ; Продано в зале ; 8200 
 1 ; 10 рублей. М - 12,93г ; 1766 ; СПБ ТI ; Au ; XF ; 39 ; papinazu ; 210000 
 2 ; 5 рублей. М - 6,55 г ; 1767 ; СПБ ТI Нов.вар. ; Au ; XF- ; 29 ; nikolas1957 ; 155000 
 3 ; Полтина. М - 0,66г ; 1777 ; "Для дворцового обихода" ; Au ; XF- ; 31 ; Сыч ; 28764 
 4 ; 3 рубля-20 злотых. М - 3,91г ; 1836 ; СПБ ПД Рус.-Пол. ; Au ; AU ; 69 ; Продано в зале ; 92000 
 5 ; 3 рубля. М - 10,26г ; 1829 ; СПБ ; Pt ; VF-XF ; 26 ; papinazu ; 59555 
 6 ; 3 рубля. М - 10,28г ; 1844 ; СПБ ; Pt ; XF ; 41 ; Продано в зале ; 96000 
 7 ; Рубль (Петров-6р) ; 1705 ;  ; Ag ; AU ; 82 ; int1965708 ; 660000 
 8 ; Рубль (Петров-10р) Следы лёгкой реставрации л/с ; 1707 ; Н ; Ag ; XF+ ; 37 ; Продано в зале ; 390000 
 9 ; Рубль (Петров-8р) ; 1712 ; G ; Ag ; XF ; 58 ; Продано в зале ; 550000 
 10 ; Рубль (Петров - 8 р.) ; 1712 ; G ; Ag ; VF+ ; 61 ; Продано в зале ; 145000 
 11 ; Рубль ; 1719 ; OK ; Ag ; XF ; 60 ; Продано в зале ; 70000 
 12 ; Рубль ; 1722 ;  ; Ag ; VF-XF ; 48 ; papinazu ; 80123 
 13 ; Рубль ; 1723 ; ОК ; Ag ; XF ; 26 ; sotnik ; 54681 
 14 ; Рубль ; 1725 ;  ; Ag ; VF-XF ; 45 ; гус4 ; 33200 
 15 ; Рубль ; 1726 ;  ; Ag ; VF-XF ; 51 ; Sky2 ; 52000 
 16 ; Рубль ; 1727 ; СПБ ; Ag ; VF+ ; 62 ; Продано в зале ; 42000 
 17 ; Рубль ; 1729 ;  ; Ag ; XF+ ; 50 ; lupus47 ; 45869 
 18 ; Рубль ; 1729 ;  ; Ag ; XF- ; 24 ; нумизмат ; 39372 
 19 ; Рубль ; 1733 ;  ; Ag ; XF ; 105 ; Продано в зале ; 44000 
 20 ; Рубль (Петров-10р) ; 1737 ;  ; Ag ; VF+ ; 78 ; finger ; 200000 
 21 ; Рубль ; 1737 ;  ; Ag ; XF ; 46 ; Продано в зале ; 34000 
 22 ; Рубль ; 1739 ;  ; Ag ; XF- ; 60 ; swoon ; 41000 
 23 ; Рубль ; 1753 ; ММД IП ; Ag ; XF ; 48 ; 462 ; 32640 
 24 ; Рубль ; 1757 ; СПБ IM BS ; Ag ; AU ; 101 ; Продано в зале ; 125000 
 25 ; Рубль ; 1762 ; СПБ НК ; Ag ; XF- ; 48 ; Продано в зале ; 90000 
 26 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; AU ; 57 ; Продано в зале ; 48000 
 27 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF+/AU ; 46 ; 462 ; 29706 
 28 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; XF+ ; 44 ; Продано в зале ; 16000 
 29 ; Рубль ; 1772 ; СПБ АШ TI ; Ag ; AU ; 62 ; Продано в зале ; 48000 
 30 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF- ; 51 ; 462 ; 14466 
 31 ; Рубль ; 1786 ; СПБ ЯА TI ; Ag ; XF/AU ; 67 ; Продано в зале ; 60000 
 32 ; Рубль (Петров-12р, Ильин-8) ; 1796 ; БМ ; Ag ; XF+ ; 55 ; Продано в зале ; 900000 
 33 ; Рубль (Петров-4р, Ильин-4р) ; 1797 ; СМ ФЦ ; Ag ; XF- ; 57 ; Продано в зале ; 165000 
 34 ; Рубль (Петров-4р, Ильин-4р) ; 1797 ; СМ ФЦ ; Ag ; XF ; 70 ; Продано в зале ; 190000 
 35 ; Рубль ; 1802 ; СПБ АИ ; Ag ; VF-XF ; 96 ; paul196262 ; 31840 
 36 ; Рубль ; 1808 ; СПБ МК ; Ag ; AU ; 79 ; Продано в зале ; 105000 
 37 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF ; 52 ; Продано в зале ; 13000 
 38 ; Рубль ; 1814 ; СПБ ПС ; Ag ; XF+/AU ; 44 ; electra ; 18564 
 39 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF+ ; 71 ; нумизмат ; 18347 
